1 - Nelson,69,691,3478,2856,3250,2628,3432
2 - Jack,142,1773,8925,7294,8440,6809,8822
3 - Davie,45,689,3598,2954,3427,2783,3564
4 - Gillian,60,934,4788,3914,4533,3659,4741
5 - Mick,24,272,1464,1216,1383,1135,1448
6 - Eva,12,122,654,544,595,485,646
7 - Nina,25,274,1421,1172,1334,1085,1405
8 - Figure,1,3,20,18,17,15,20
9 - Bianca,108,1128,5694,4674,5405,4385,5622
10 - Tanya,14,94,493,413,449,369,486
11 - Cheryl,7,24,141,124,130,113,136
12 - Lopez,2,42,210,170,204,164,206
13 - Garcia,1,7,39,33,37,31,38
14 - Nick,1,11,62,52,56,46,61
15 - Tomas,6,22,110,94,102,86,109
16 - Arturo,6,27,130,109,118,97,130
17 - Roberto,13,136,729,606,672,549,722
18 - Mitch,1,12,63,52,61,50,62
19 - Bartender,7,43,211,175,192,156,209
20 - Sophia,7,27,143,123,130,110,140
21 - Officer,3,56,269,216,256,203,266
22 - Labeau,2,16,89,75,85,71,88
