1 - CASS,552,3432,17294,14414,16368,13488,17085
2 - ANDREW,34,265,1395,1164,1323,1092,1385
3 - JOHN,65,375,1890,1580,1774,1464,1871
4 - MATTHEW,221,1355,6929,5795,6503,5369,6825
5 - REPORTER,7,103,581,485,566,470,580
6 - RACHEL,140,902,4733,3971,4490,3728,4675
7 - SUSIE,30,200,984,814,927,757,974
8 - JACK,2,14,70,58,66,54,70
9 - NEWSCASTER,4,31,180,153,165,138,178
10 - SECURITY MAN,19,144,726,601,690,565,713
11 - DC LAWSON,91,611,3231,2711,3080,2560,3197
12 - GHOSTLY FEMALE VOICE,24,24,132,132,96,96,132
13 - DISPATCHER,1,1,12,12,9,9,12
14 - OFFICER,4,22,108,90,102,84,108
15 - MAN,1,16,90,75,88,73,90
16 - ALEX,20,138,681,563,657,539,675
17 - DR. DEAKINS,9,59,355,305,342,292,351
18 - ACTRESS ON TV,3,24,113,92,103,82,112
19 - DOCTOR,1,6,32,27,29,24,32
20 - AMY,9,80,411,340,396,325,409
21 - KATHERINE FUSSEY,51,184,842,709,834,701,824
