Voice Over	Previously on Agent.

Lesego	Oh wait, let me guess, Gloria fucking Gaynor.

Blaze	Every time, every God damn time, that song makes me think of you and Delilah.

Lesego	What about the boy huh? Shouldn’t you have saved the boy too B?

Christopher	Pack a bag bruv, we going to Cape Town. Football expo.

Nina	You look like shit by the way.

Lesego	This is my money.

Lesego	Uh uh, it’s God damn Gloria Gaynor. It don’t mean nothing B.

Blaze	I’m ready to tell you everything.

Monte 	I’ve got you.

Godi	Yoh! Yoh! Yoh! Oh my God.

Godi	What are you doing here?

Monte 	Eh, you know...

Monte	I got lost, lost, lost, lost, lost.

Godi	So, you come to my reception and walk into this office like it’s your house?

Monte	You see what happened, ne? My, my supervisor upstairs, they forgot to sign my pass out receipt.

Monte	So then I decided to come here to see if there’s somebody who can help me.

Godi	Okay. So, where is it?

Godi	The passout?

Monte	Oh.

Monte	So tell me sister, does Lesego ever come here to the office?

Godi	Hardly ever. 

Monte	Ja but he’s your client?

Godi	Hey, doesn’t mean he works here you.

Monte	Uh ja, sorry sister, it’s just, I’m just a fan you see.

Godi	Look, we talk on the phone mostly, for business. Hmm?

Godi	Ja, he can’t be socializing.

Godi	You get that?

Monte	Ja, and you are right, you know these soccer players, yoh, yoh, yoh, they are very busy... busy, busy, busy..	

Godi	Yes.	

Monte	Ja, no thanks for signing, yes sister? Sharp.

Godi	Sharp.

Godi	This guy...

Natalie	Do you mind?

Blaze	Go for it.

Natalie	Sounds like I’m gonna need it.

Natalie	Last chance for you to walk away.

Natalie	You don’t have to tell me anything.

Blaze	I’m not going anywhere. I want to tell.

Blaze	I, I need to tell someone for my own sake.

Blaze	But not just someone. You.

Blaze	Six years ago when I was still a professional footballer, we had just won the league final. We’d finally beaten Goliath. The Buccaneers. 

Blaze	It was our first league win, league victory, in over twenty years.

Lesego 	Well hello ladies. How we doing?

Delilah	We’re sharp.

Lesego	What are your names?

Friend	Dee.

Friend 2 	Phima.

Delilah	Delilah.

Lesego	Hoooo, watch out now, De-li-lah

Lesego	You know...

Lesego	... we won the league tonight so, you know...

Lesego	They gave us the whole VIP area, that’s for us tonight, yeah...

Lesego	Just tell them you’re with Lesego Moleko... and, and Blaze.

Delilah	Sure.

Lesego	Aren’t you too young to be here? 

Delilah	No. I’m eighteen. I’m actually a model, so...

Lesego	Yeah!

Blaze	Alright.

Lesego	You will come right.

Blaze	Ciao ladies.

Delilah	Ciao.

Delilah	Blaze is mine, Blaze is mine, Blaze is mine.

Delilah	I’m claiming him, I’m claiming him.

Natalie	So you’ve been on this no-alcohol kick for years?

Blaze	Yeah.

Blaze	They say alcoholism is hereditary. Funny cos I ran into my dad in Cape Town.

Blaze	For a moment he didn’t even remember me.

Natalie	This Delilah. It’s about her, isn’t it?

Blaze	It starts with her.

Lesego	Wooooo!

Lesego	We won the league, league champiooooons!

Blaze 	Yes!

Lesego	Aaaaah! Voetsek (Go away). Haaa!

Lesego 	What, what, what!

Blaze	We were actually having fun at the club.

Blaze	Our friends were there. It felt good.

Lesego	Wooooh!

Lesego	Bro where’s that chick Delilah?

Lesego	Where is she?

