TITLE CARD:	DISCLAIMER The people, characters, companies and clubs in this Series are purely fictional. Any resemblance to any person, company, club or situation is coincidental.

Voice Over	Previously on Agent.

TITLES	Previously on Agent

Godi	Joh! Joh! Joh.

Phunlani	Fuck Blaze Baba. Baba, Lesego is messing up tremendously.

Delilah	Do you have bullets for that?

Natalie	You don't have to tell me anything.

Blaze	I'm not going anywhere.

Blaze	Under age, walk away.

Blaze	Lesego!

Blaze	Get your fucking hands... oh shit.

Natalie	Did you fuck her?

Phumlani	Ladies and Gentlemen thank you, thank you so very much for being with us here today. 

Phumlani	Before we begin, we have a very special treat for you. 

Phumlani	We would like to begin with a song of praise. A song of praise, for my father. Mister Walter Dube.

Praise Singers	“Hallelujah, hallelujah... 

Praise Singers	There is no one like Him. 

Praise Singers	Phumlani, I love You. Boss, I love You

Praise Singers	Boss I love you

Praise Singers	There is no one like him

Praise Singers	There is no one like him.”

Christopher	Does this guy have any limits?

Blaze	She knows, Chris. Natalie. She knows.

Blaze	I told her everything.

Christopher	<whistles> Fuck me... and?

Blaze	She... she was okay with it.

Christopher	"She's okay with it"? Mate, she's a copper and she just let you off the hook?

Blaze	She understands the context of that night... and why things went down the way they did.	

Christopher	She's playing you bruv. Letting you feel secure, meanwhile back at the station, she's launching an official investigation...

Blaze	Maybe, but that's not the real reason why she wouldn't take me back...

Christopher	What other reason could there possibly be?

Blaze	Remember Cape Town... remember Bay Crystal...?

Christopher	Why would you volunteer that information?

Blaze	Because I'm tired of harbouring secrets.

Christopher	That's why she turfed you? That's the real reason bruv?

TITLE CARD	Agent

TITLE CARD	Yellow Card

Phumlani	When my grandfather Evans began this football club, many many years ago, they had to wear their shirts inside out for their away games. 

Phumlani	And that's because they could not afford a change of kit. 

Phumlani	Fifty years later we stand on the threshold of becoming Africa's biggest football club. 

Phumlani	And yes, my father's blood runs, or rather, is ingrained, in every single blade of grass here at this club. What shall I call it? Hmm? The theatre of dreams. 

Phumlani	But his blood...yes, his blood is now needed by his weakening heart. 

Phumlani	And whilst we may all never forget the significant contribution that this great man, Walter Dube, has made for this football club. I believe today, it is time to look forward. 

Phumlani	It is time to look forward into a brighter future where Marlboro United will not aim for the Top 8 like they used to. 

Phumlani	No more Bobsave. No more Mainstay. And no more Knock Out.

Phumlani	We will now aim for the stars. We aim, we achieve. 

Phumlani	"We carry a new world here, in our hearts. That world is growing this minute".

Phumlani	I now invite each and every one of you, to ask any questions.

Jade	Jade Singh, Laduma. Mr Dube--

Phumlani	Yes I know exactly who you are, sister.

Jade	Before I begin, any reason why you choose to end your speech with a quote from Spanish revolutionary Buenaventura Durruti?

Phumlani	Well... my dear sister, we must give credit where it is due.

Jade	But that quote is about the workers overcoming the bourgeoisie... 

Jade	... surely that's not what you're saying?

Phumlani	Yes.

Ademola	African Soccer Today. 

Ademola	Yes uh, Ademola Babatunde, African Soccer Today. Is it true that you have sent Herve Touré to the under-17s? And if so, why?

Phumlani	If you refer to this noble crest...

Phumlani	... of our dear club, it says Marlboro United. It does not say Marlboro Divided. Or Marlboro Individual. 

Phumlani	There is no question ladies and gentleman, that indeed Toure is a very very talented young player. 

Phumlani	There is no question of that.

Phumlani	Oh, but like my good old friend Sir Alex Ferguson said, 'no player is bigger than the club'.

Jade	Uh, if I may...

Jade	... Mr Dube... there has been lots of speculation regarding the recent movements of club captain Lesego Moleko... 

Jade	.... who has missed the last three games and wasn't with the team at the awards dinner. 

Jade	Could you confirm or deny reports that the club is going to off-load him?

Phumlani	Mr. Moleko has been granted a period of compassionate leave just to sort out a family issue.

Blaze	What does 'family issues' even mean?

