
DISCLAIMER	The people, characters, companies and clubs in this Series are purely fictional. Any resemblance to any person, company, club or situation is coincidental.

Voice Over	Previously on Agent.

TITLES	‘Previously on Agent’

Blaze	So this is it?

Natalie	It's not it. Not by a long way. It's just beginning, my investigation.

Blaze	Investigation?

Natalie	An investigation into alleged rape and culpable homicide.

Monte	So is Lesego going to be there, in the box?

Godi	Well he might make an appearance later, I don't know.

Sean	I can't tell, beneath all of that. 

Sean	I, I need to see the full picture here.

Vuyo	What's going on? You are starting to scare me. I've never seen you like this.

Kim	I'm pregnant.

Lesego	Whether you choose to believe it or not, that's up to you, but, but I'm a changed man.

Christopher	If you ever cross Blaze again, I will fucking end you.

Phumlani	Makhosi may I ask, has there been any message from the ancestors?

Olipha	I will perform the ritual properly first thing tomorrow morning, before the game starts.

Blaze	He's not trying to win her back, okay.

Lesego	I'm not. I...

Nina	You're not? Good.

Blaze	The deals, the money, the women... it ain't worth shit.

Lesego 	Blaze, we have to come out.

Lesego	We must tell the truth.

Lesego	There's no other way. 

Lesego	We'll we’ll tell, we'll tell Jade tomorrow after the game. No B, we've been living on borrowed time man. Just let the devil come for his pound of flesh.

TITLE CARD	Late May, Saturday, 7:15am

Delilah	I don’t think you should use this gun anymore... 

Delilah	... it’s better for you to use a knife. If you get caught what will we do? 


Monte	Someone is going to let me in there.

Delilah	Do you have a ticket?

Monte	Private area.

Delilah	You’re going to be able to see Lesego, right?

Monte	Blaze said he’s going to be there.

Delilah	And then you’re going to catch him by the changing rooms? 

Delilah	Then you’ll keep him there for me.

Monte	That was all before I received the ticket.

Delilah	Here, take the knife.

Monte	This is going to be difficult.

Delilah	Then let’s stop this whole thing, you don’t have to do this.

Monte	No, no, no, listen, no. 

Monte	We can’t stop, I have to do this.

Delilah	And if you get caught? What am I going to do? 

Delilah	If they catch you and shoot you, what will I do without you Monte?

Monte	Dee, Dee, listen. This guy has ruined you, he’s destroyed our family.

Monte	Maybe I was put on this earth to do this one thing, so that I can deal with this guy. 	

Delilah	Okay. Okay.

Delilah	Monte, please return with my freedom... 

Delilah	... please return it. Please return it.

Monte	Sure. Okay Dee.

TITLE CARD	Agent

TITLE CARD	Sudden Death

Blaze	Oh shit.

Blaze	Hello.

Phumlani	I'm returning your call?

Blaze	Yeah uh, do you have five minutes over the phone?

Phumlani	No, I don't have 5 minutes, but what I do have is fifteen minutes in person.

Blaze	Oh okay.

Blaze	Where can we meet up?

Phumlani	There's a place I'd like us to meet...

Phumlani	It's an industrial part of town. I'll send you the address. Half-past eight.

Blaze	Okay.

Phumlani	And Blaze.

Blaze	Ja?

Phumlani	Don't be fucking late this time round.

Mila	Too little... way too late, Sli. Huh.

Lesego	You know, I actually, I used to think you were into Blaze... and not just because you guys are Liverpool supporters but... you know...

Jade	Well the thought did cross my mind, but it never happened.

Lesego	Oh, huh huh, I like that. 

Lesego	Can you believe it, I actually have butterflies in my stomach. Like I'm about to play my first game.

Jade	This could be your last game for the club?

Lesego	Yeah even though I know that... I, when I run out onto that pitch today, and give it my best, dance the beautiful game. 

Lesego	And playing my heart out, one last time. For the fans.

Jade	Are you seriously thinking of retiring at the age of 29? 

Jade	That's young for a footballer.

Lesego	Today, after the game, Blaze and I have an exclusive for you.

Jade	An exclusive?

Lesego	We uh, we could do it at the, at the Marlboro Boardroom. Just you, me and 

Blaze.	

Jade	Wait, are you announcing your retirement?

Lesego	This is important Jade. Can you do this?

Jade	Yes of-course...

Phumlani	Your fifteen minutes start now.

Blaze	Let's talk about Lesego.

Phumlani	Ja, what about him?

