Voice Over	Previously on Agent

Natalie	You left these behind.

Blaze	Of course my house keys.

Christopher	Number one, you will keep Lesego as a client. 

Lesego	Just making sure you picking up Nina, she lands in ten. Do not let her come to the team hotel, yeah?

Blaze	I've got three deals in the mix on deadline day and I'm out here baby-sitting your fucking girlfriend.

Lesego	How long have the two of you been alone in this room?

Christopher	Number two, you will keep Vuyo as a client.

Zoe	Then I’m gonna keep Vuyo.

Zoe	But Blaze just sort out his love life.
	
Christopher	And Number three, you will close the fucking deal with Herve.

Blaze	I will close him.

Jean-Pierre	Jean-Pierre Yasbeck.

Jean-Pierre	I’m the biggest agent in town.

Lesego	Key to room 433.

Blaze	What’s in room 433?

Lesego	It’s kinda like 'hide and seek'.

Natalie	I thought you’d be one of those guys who doesn’t know his left foot from his right.

Blaze	And I thought you’d be one of those girls that don’t know the song or the period. Not to mention the moves that go with it.

Natalie	What’s your name?

Blaze	Blaze.

Natalie	Uh what kind of a name is that?

Blaze	It’s an adopted one.

Natalie	Well what’s your real name?

Blaze	Slindile.

Natalie	I prefer it.

Blaze	And you are… Nadia?

Natalie	No but close, keep trying though. Listen Slindile... 

Blaze	Slindile.

Natalie	... I don’t really do relationships.

Blaze	Angela, if I was in a relationship I wouldn't know what to do with it myself.

Natalie	You know boyfriends will just let you down and, oh, plus there's my over-protective older brother and he never approves of anyone anyway so...

Blaze	Which is why I don’t have a boyfriend.

Blaze	And which is why Naomi, your brothers have nothing to worry about.

Natalie	It's like you're there, but you're a thousand miles away at the same time.

Natalie	Let’s just go wherever the night takes us.

Blaze	I’m already on that train.

Natalie	And we should keep drinking, we shoul….we should, we should definitely keep drinking.

Blaze	Charlize!

Natalie	What’s my name?

Blaze	Natalie.

Natalie	What?

Blaze	I didn’t say anything.

Natalie	Yeah but you got that look on your face most guys get when I tell them. It's either they're thinking 'have I committed any crimes lately' or 'can I get to fuck her in a uniform’.

Natalie	So which is it?

Blaze	Both.

Natalie	Well forget the uniform, I'm a detective.

Natalie	Not now but usually.

Blaze	What does that mean?

Blaze	What?

Natalie	I took a life... the wrong one.

Natalie	A hostage situation that turned into a major Charlie Foxtrot and that's why I'm currently on suspension... and bringing strange men home.

Blaze	Are you serious?

Natalie	Do I look like I’m joking?

Blaze	No, it’s just, it’s…

Natalie	I get it, it's okay... you don't know me. I just, I just wanted to tell you... I just wanted to tell someone I guess.

Natalie	You said you were thinking both when I told you that I was a cop. What crime have you committed lately?

Blaze	So you called him?

Natalie	What?

Blaze	If you wanted him to leave you alone why the fuck would you call him?

Natalie	I don't know. You acted like you didn't care earlier.

Blaze	So did you?

Natalie	I didn't, but then I did. I don't know, maybe I just wanted to get back at you.

Blaze	So now that you're sober, is he still funny? I mean he must be, you're, you’re, you’re still here right?

Natalie	A version of me is here. 

Natalie	You know what I'm dealing with.

Natalie	You know that I'm using every single excuse not to be alone in a room, thinking too much. 

Natalie	It was a mistake, okay. A stupid mistake. Seem to be making a lot of those lately.

Blaze	So did you two…

Natalie	No. No.

Blaze	Not even close?

Natalie	Not even close.

Blaze	Good. Good. 

Blaze	Keep it that way at least until I take you out for coffee or supper.

Natalie	Relax.

Natalie	Maybe you’ll remember me this time.

Blaze	I never forgot your name.

Blaze	Chris, it has to be quick I'm rushing to Zoe.

Christopher	I am the most important call you are ever going to receive motherfucker. So, what's the story bruv?

Blaze	What do you mean?

Christopher	Godi said the same thing, the same way, when I buzzed her.

Blaze	I thought you were in a conference call with London?

Christopher	I was... I excused myself. I'm not calling to find out which one of you burnt the carpet. What happened?

Blaze	It's, it's, it's my fault okay, I'm handling it. I’m handling it. JP took Herve.

Christopher	Took?

Blaze	He played Godi. He told her that you were looking for her and she went upstairs, by the time she got back, the kid was already gone.

Christopher	Jesus H Christ, Blaze.

Blaze	I know, I know, I know. Look Godi's a sweetheart okay, she respects you far too much. She heard your name and she came running.

Christopher	I'm touched. How do we fix this cluster fuck? You've got nine hours son, then it's all up for grabs.

Blaze	Five minutes is a life time in football, what's nine hours?

Christopher	Don't embarrass me. I don't want to have to send you in line to pick up UIF cheques, or worse, let Zoe get her claws into you.

Blaze	Can you just relax okay. Relax.

Blaze	And there's something else.

Christopher	When isn't there? What is it?

Blaze	It's Les. He's really out of control this time.

Blaze	He had me baby sit Nina just so he could get busy with a girl that I was with.

Christopher	We discussed this.

Blaze	That was before I knew that I was with this girl.

Christopher	Who cares, unless you caught feelings?

Blaze	It's about the principle okay, that's the problem this cannot be my norm. I need to drop him from the roster.

Christopher	Your one man roster?

Blaze	I'm serious okay. All that talk earlier, all that bullshit about there being no line, there is a line and Les has crossed it far too many times.

Christopher	You are six years and one night gone wrong too late, you... you me and that wanker are married for life.

Blaze	Let's have a sit down later tonight okay, just the three of us, when all is said and done, we need to talk.

Christopher	Whatever.

Christopher	Prick!

Blaze	Jade?

Jade	Did you hear about your golden boy?

Blaze	Talk to me.

Jade	Jean-Pierre's been pimping him to a few legends and execs in Soccer City.

Blaze	Are you sure?

Jade	Don't hurt my feelings. I heard from a contact. He introduced Herve to some football VIPs.

Blaze	Herve's hat size must've doubled in no time.

Jade	Uh huh. Apparently Jean-Pierre was playing Mr. Congeniality.

Blaze	JP might be a sleaze-ball but he's a master when it comes to seduction, okay? Aaight.	

Victor	What are you doing now?

Mila	Shhh... 

Mila	I'm working on both your aura and your chakras.

Victor	Hmm. Chakras.

Mila	Like we did earlier. First I started with your crown chakra, then your third eye, then your heart, then into your solar plexus, then down into your root chakra just above your hips.

Victor	You know if it doesn't work, the deal is off.

Mila	Victor please. Victor, healing isn't just physical, it's mental, it’s emotional, spiritual and metaphysical too. So please, focus.

Victor	Yeah I'm focussing, I'm focussing.

Mila	Good. 

Mila	Now focus on oneness, connecting with the universe, connecting with your body.	

Victor	Your hands feel warm.

Mila	I'm not actually touching you. I'm transferring energy through myself into you.

Mila	If people were to understand their bodies a bit better, they wouldn't be so reliant on pharmaceuticals.

Victor	Trust me, I've tried every single one of those pharmaceuticals.

Mila	Okay, let's be quiet now.

Victor	<breathes out>

Mila	We’re done.

Victor	Hmmm?

Mila	I've sealed the healing. We're done.

Victor	That’s it?

Victor	What the fuck have you done? 

Victor	It's perfect. I can't believe it, haaa, you've cured me. Woooo. 

Mila	Slow down.

Victor	It's like it's never been there before. I used to think all this stuff was just absolute bullshit, but hey. Huh? Huh?

Mila	Woah, slow down.

Victor	I don't know how I'm ever going to thank you.

Mila	Well, you can start by picking up that phone and making that call. So maybe avoid the somersaults, just a little bit.

Victor	Nadia...ja  put me through to the Baresi Brothers.

Blaze	Zoe, I’m there.

Zoe	If you were here, we wouldn't be talking on the phone Blaze. You're 47 minutes late.

Blaze	Traffic.

Zoe	Original. You got ten minutes and then we're moving on without you.

Blaze	Jennifer Lawrence or is it Emma Stone?

Mila	Don’t.

Blaze	But you do know you could murder both of them on screen, right?

Mila	Whatever.

Blaze	So how'd it go? Any luck?

Mila	I did it?

Blaze	And?

Mila	And it worked. Are you happy now?

Blaze	You do know I love you, right?

Mila	Yeah yeah, can we please speak about my career now?

Blaze	Yes we can, just not right now babycakes, I'm late for my next meeting.

Mila	And you love me?

Blaze	I do.

Mila	We’ll see.

Blaze	Look a promise is a promise okay...  Babycakes?

Mila	Okay bye Blaze.

Blaze	Alright bye.

Mila	Bye Felicia.

Blaze	Leon... my man... the last time we spoke you were in the 18 yard area. Did you close on that deal?

Leon	Well would you look at that, it fell through before pen was being put to paper.

Blaze	Ah man bummer, I'm sorry to hear that man.

Antonio	Uhh, why don't you take your condolences and shove them straight up--

Blaze	Yeah yeah, I know exactly where to put them Antonio.

Blaze	So look the good news is Pascal's up for grabs okay, I need you to get on the phone right now with Zoe and make her an offer.

Blaze	Listen, I've got it on good report that she's willig to take four hundred up front... and then the other two hundred in add-ons... and the kid's all yours.

Leon	How much time do we have?

Blaze	Fifteen minutes the whistle blows brother.

Pascal	You know I just wanna put on a jersey long enough to feel comfortable in it, hmm?

Pascal	I want to get on the field and feel like man, in fact, I'm home.

Pascal	I deserve that and I think I earned that.

Jean-Pierre	You see what you're doing to him?

Zoe	Right.

Jean-Pierre	I don't... I don't get this.  You gave him a deadline. This is negotiating.

Zoe	You're going to sit in my office and school me about making a deal like this is my first time?

Jean-Pierre	I'm not questioning your professionalism, I'm questioning his professionalism, okay. The way I see it Blaze had a... you know his five minutes in a career and he fucked it up and it's a sad story, that’s the, you know, it's the story.

Jean-Pierre	The offer I got for Vuyo from the Thembisa Tigers is a good offer.

Jean-Pierre	It's a good offer.

Jean-Pierre	Come on take it, take the offer, It's a good God damn deal.

Jean-Pierre	Let's finish this.

Zoe	Right, let's hash out the details.

Jean-Pierre	Yeah it's all standard.

Blaze	So you know those days when you debating whether to go straight on the highway or to go around it?

Blaze	I took a gamble on the N1 and lost.

Blaze	This truck just jack knifed on the freeway and it was bumper to bumper until the next off ramp.

Zoe	Late is late. We've gone ahead.

Jean-Pierre	Yes we have.

Blaze	You, you could do that... but then you'd be sacrificing a lot of what you’ve earned in a lot of circles.

Zoe	What are you talking about?

Blaze	The word on the street would be that Zoe Zante is the type of owner who leaves money on the table.

Zoe	Blaze for someone who's on the clock, you got a lot of preambles here.

Blaze	There's an offer... for Pascal.

Blaze	Berea FC, 400k. No allotment of payments, everything up front.

Zoe	Wow. You come up with that all by yourself when you were stuck behind the truck?

Jean-Pierre	Look at him. I mean look at him come on. Coming in here all sweaty, stinking of desperation…

Jean-Pierre	…do you know what he's doing? Do you know what he's doing? He's clinging to his last two clients. It's pathetic, that's what it is, it's pathetic.

Blaze	What have you been doing apart from throwing me under the bus?

Blaze	Let's see what figures you pull up French fry?

Jean-Pierre	I have this one.

Zoe	Nicko!

Zoe	Check the fax.

Blaze	Zoe come on, are we doing this deal in 1986?

Zoe	No fax, no deal.

Zoe	And just out of curiosity Blaze, this deal of yours…

Jean-Pierre	This fictitious deal.

Zoe	This deal of yours... how's it going to affect this Pascal, Kim and Vuyo Sunday paper story, hmm?

Zoe	So why don't we put a price tag on Vuyo and we put him on the market?

Jean-Pierre	Actually I've done that already.

Blaze	Come on. Stop reading the back page of the Sunday news JP. Vuyo and Kim are sorted, alright.

Blaze	Pascal, he's focussed on the future? 

Blaze	Ask him yourself.

Zoe	Where's your client anyway to back all this up?

Nick	No fax madam.

Zoe	Thank you Nickolaki. What do we say around here when there is no fax?

Nick	No deal.

Zoe	You actually had me moderately convinced but I cannot sit here Blaze and play fantasy football with you, because what Jean-Pierre has might not be ideal, but it's real.

Zoe	Vuyo's new home is in Thembisa with the Tigers.

Blaze	Look Zoe, you're making a big mistake here alright.

Blaze	You know me. You know my word is good and it's always been that way.

Blaze	Just... just give it a few more minutes, okay.

Zoe	A few more minutes? Blaze after you were an hour late, I don't think so. I’m sorry.

Blaze	Just, just... check, check the fax one last time, alright? I will not ask you again.

Jean-Pierre	What are you still doing here man, it's ridiculous?

Vuyo	Did we miss the party?

Zoe	This is a football club, not the fucking country club so no there is no fashionably late.

Blaze	Zoe... look, they're together. Just look.

Zoe	Holding hands and everything.

Zoe	Was that you?

Blaze	I was the Best Man at their wedding you know.

Zoe	Blaze your deal is still a myth.

Jean-Pierre	Yes so if you would like to put your initials at the bottom of this page it will be very helpful.

Zoe	It's over.

Nick	Excuse me madam.

Nick	From Berea F.C.

Blaze	Happy?

Zoe	With the transfer... relatively. With you, not so much.

Blaze	But I make it happen for you.

Zoe	On occasion.

Blaze	You just don't like what you can't own.

Zoe	What I don't like is not having the smartest person in the room on my side.

Zoe	Have you given any more thought to joining my little family here?

Blaze	I thought about it, yeah. Hell I even entertained it, but you know that I cannot leave Christopher.

Zoe	Please explain to me this, this 'Chris or die' attitude that you have?

Blaze	You know the terms of my agreement, okay.

Zoe	I know. It might be enough to just get you over the line this time. But what about tomorrow? Hmm? What about the day after that?

Blaze	You just can't just respect my decisions can you?

Zoe	Oh yes I can, if you can honestly tell me that you're happy with your place in the world right now.

Zoe	Blaze, do you know what I see? I see a man with ghosts, so your past and whatever Christopher has to do with it, it's gonna close the window on your chance to be brilliant in this business

Blaze	I appreciate your endorsement. You and I, we work well together. We have ongoing Vuyo business

Zoe	Uh huh yeah and I've got some calls to make so be a dear and give Christopher my best won't you?

Pascal	How about the women in Durban?

Blaze	They're going to love you stud.

Pascal	I'm sure they gonna do.

Blaze	But look, women are one thing, a man can always handle that, as long as if he keeps two types of plastics, close by and never hands them over.

Blaze	One, credit cards, two condoms. The wrong woman will poke a hole in one and leave you in a hole with the other.

Pascal	Okay.

Blaze	No more putting that shit up your nose.

Pascal	Yeah, okay.

Blaze	Look I mean it. That was the deal, alright.

Blaze	You can't handle that shit. It will win every time. Besides, I'm not interested in representing another cautionary tale.

