
APRESENTADORA	(Tevê) Na calada da noite, a reserva de Cari, localizada no estado do Amazonas é extinta sem consulta pública. 

NATALIE	(off) Em vinte e quatro de março, (cenas da reserva)... A reserva de Cari foi extinta de maneira velada. (on) Hoje eu estou indo até lá, fazer uma expedição "pra" (para) entender o quê que tá por trás desse movimento. 

LUIZA	Olha. A Verônica acabou de conseguir o fato novo dela. 

VERÔNICA	(off) Eu vou "pra" (para) Brasília, eu quero descobrir quem que está por trás dessa manobra. 

JAIME	Você sabe que eu tenho um irmão, o deputado Ducídio Ferraz, e ele tá preso injustamente porque ele foi pego com uma mala cheia de dinheiro. 

VERÔNICA	É perigoso andar com uma mala de dinheiro nessa cidade. 

JAIME	Uma decisão a favor do meu irmão, ia me encher de coragem "pra" (para) fazer a sua vontade e a das minhas filhas também. 

NATALIE	Amir. O quê é que você tá fazendo? 

AMIR	Eu estou precisando de um quarto "pra" (para) fazer de escritório. (REAC) 

NATALIE	E você pode parar com isso, pelo amor... 

AMIR	Calma! 

NATALIE	Sai daqui! 

AMIR	(off) Você precisa se tratar.

VERÔNICA	Amir, não dificulta as coisas, (off) tá muito difícil "pra" (para) mim também.  

AMIR	(celular) Eu estou com muita saudade, Verônica, muita. 

VERÔNICA	Eu também estou com saudade. 

NATALIE	O que é que foi, o que é que você tem? 

LUIZA	O Gilberto pediu a guarda exclusiva do Yan.

NATALIE	Isso não significa nada, nada. 

LUIZA	Será que isso não é o melhor pro Yan? 

NATALIE	Ai! (GRITO) 
  
PAULO	Ele estava espionando a gente. 

NATALIE	Quem é você e "pra" (para) quem que você trabalha? 
	 
GREGORY 	Gregory Meloy, eu sou um antropólogo, eu trabalho na biodiversidade internacional.

ANDRÉ	Você vai ser pivô amanhã de uma ação muito importante. (Flash ação) (off) Quem for preso por reincidência tem muito mais dificuldade de ser solto. (on) Quem aqui nunca foi preso?  
 
GARIMPEIRO	Que merda é essa?

FALCÃO	Rapaz, tenha calma. 

GARIMPEIRO	Você por acaso consultou quem vive disso, seu “filho da puta”? 

FALCÃO	Calma, por favor, tenha calma.  

GARIMPEIRO	(AGRESSÃO)

FALCÃO 	(REAC) 

GARIMPEIRO	Seu merda! 

HOMEM ALEATÓRIO	Sujou, sujou. 

POLICIAL 2	Quem começou essa zona aqui? 

CLARA	Sou eu! Fui eu! 

ANDRÉ	(REAC) 

CLARA	Eles não têm nada a ver com isso. 

DÉCIO	Essas meninas não vão mais embora daqui não, é? 

POLICIAL 3	Vieram te tirar daqui. 

CLARA	A Verônica? 

RAMIRO	Tá tudo bem agora. 

CLARA	O quê que você tá fazendo aqui? 

RAMIRO	Eu estava com saudade de você. 

CLARA	(REAC) Tira a mão. 

RAMIRO	Eu estava com saudade... Só isso. 

CLARA	Tira a mão de mim, Ramiro! 

RAMIRO	Por quê? 

CLARA	Tira a mão de mim. Tira a mão de mim! 

RAMIRO	Tá bom. Certo, desculpa. 

CLARA	(REAC) 

RAMIRO	Por favor, não fica com medo de mim. 

CLARA	(REAC) 

RAMIRO	Eu mudei. Eu sei, você tem todas as razões do mundo "pra" (para) não querer mais me ver... 

CLARA	Então para o carro. 

RAMIRO	... Eu sei, eu mudei. 

CLARA	Para o carro, Ramiro. 

RAMIRO	Tá, tá, tá. 

CLARA	Para. 

RAMIRO	Tá, tá, tá, eu vou parar. Pronto. Espera! Clara, espera. Escuta... 

CLARA	(REAC) 

RAMIRO	... Eu vim aqui porque eu queria te pedir desculpa. 

CLARA	Desculpa pelo quê?

RAMIRO	Por tudo. 

CLARA	Tudo o que? 

RAMIRO	Você sabe. Pela, pela maneira autoritária e, e um pouco agressivo que eu fui com você. (REAC) me desculpa. (CHORO) Por favor, desculpa. 

CLARA	(REAC) 

RAMIRO	(CHORO) Me desculpe. 

CLARA	Tira a mão! 

RAMIRO	(CHORO) Tá, eu já entendi. Agora eu já vou... Espera, Clara, Clara! Clara, (REAC) Clara, me espera! Clara, Clara, volta pro carro! 

CLARA	(REAC) 

RAMIRO	Volta pro carro, é perigoso. 

CLARA	Não "pra" (para) mim. (REAC) (CHORO) 

LUIZA	Me dá o cinquenta e quatro, por favor. 

RECEPCIONISTA	Não tem chave nenhuma aqui não. 

LUIZA	(REAC) Alguém deixou alguma mensagem "pra" (para) mim, ou um recado? Brasileira!  

RECEPCIONISTA	Nem o Gilberto Yan? “Porra”.

LUIZA	(REAC) “Porra”. Psiu. 

CLARA	Ai. Desculpa! 

LUIZA	Sou eu. 

CLARA	Desculpa. 

LUIZA	Tá tudo bem? 

CLARA	(REAC) 

LUIZA	O que aconteceu? 

CLARA	(REAC) Depois eu te conto. (REAC) 

LUIZA	Tá. Dorme. (REAC) 

CLARA	(REAC) 
	
PONTOCOM	Luiza, a Verônica não atende. 

LUIZA	Então é isso, né, galera? Bora, avante! 

ANDRÉ	Não, esperou, "pera aí" (espera aí). Eu faço questão primeiramente, parabéns "pra" (para) Clara. 

FALCÃO	(RISOS) 

PONTOCOM	Né?

FALCÃO	Ela se garantiu. 

ANDRÉ	É brincadeira. 

FALCÃO	Me salvou da décima prisão. 

PONTOCOM	Saiu sozinha ela. 

CLARA	(RISO)

ANDRÉ	Cafezinho alguém? 

PONTOCOM	Eu quero.

LUIZA	Ontem eu e a Nati...

CLARA	Eu aceito. 

LUIZA	... A gente esbarrou num antropólogo...

ANDRÉ	Deixa eu pegar. 

LUIZA	... Lá na reserva.  

CLARA	(REAC) 

