

(BORN A CHAMPION)


DIRECTOR	And roll sound please.

INTERVIEWER	All right. So just be thinking of anything you’d like to include while we set up. We’ll be ready to get started in a just a minute.

ROSCO	All right.

INTERVIEWER	Do you know anything about his parents?

ROSCO	A few things.

INTERVIEWER	Good.


INTERVIEWER	Because we couldn't find anything. And we also couldn't find any military records for a Mickey Kelly.

ROSCO	(Chuckles) Yeah. There's a reason for that.

INTERVIEWER	Which is?

ROSCO	How much time you got?

INTERVIEWER	As long as it takes. We're rolling. Okay, just start by telling us how you two met?

ROSCO	I met Mickey Kelley later on in our lives. Back in 1991 when he’d just gotten back from Desert Storm. He retired from the Marines. I was working at a restaurant called “The Patio” ...valeting cars. Mick was just a customer. When this asshole cut in line, wanted me to get his ride first. When I said no, he started calling me names. Shit like ‘beaner’ and ‘taco'…bro fight broke out. Before I knew it Mick jumped in, pulled the guy off me, but the guy had friends with him. I tried to help but...fuck. (Laughs) Mick had it under control. He wiped the floor with all of them. Crazy thing was he never threw a punch. And that was it. It was over. I thanked him. And afterwards...I went around and got his piece-of-shit car, brought it to him…and then that dude he looked me right in the eye...and he said 'thanks a lot taco.' Now I saw what this guy could do, but I just had to fucking ask him 'what did you just call me'? And I think he was a little surprised by my tone but he said…'hey sorry man I thought them was your friends and they was calling you taco.' After that he just broke out into the biggest grin…and he became the best friend I ever had.

INTERVIEWER	Was Mickey Kelley really that amazing of a fighter?

ROSCO	People seem to think that the Holy Grail of MMA videos is the Hickson Gracie versus Yoji Anjo fight…it's not. It's Kelly versus Blaine. And people think that it didn't happen, that just makes me laugh. Cause I was there. It all happened back in the early 90's before the sport even had a name.

STEWARDESS	Water.

WOMAN	Thank you.

STEWARDESS	You are welcome.

WOMAN 2	Did you see this article?

STEWARDESS	Here is your water.

MRS. MILLER	So when we got to the airport…they told us our flight was overbooked… which left only one open seat in first class. And I wanted my husband to have that ‘cause it supports his back a little better.

MICKEY	Well I just had to ask because for a minute there I thought he was upset because I was bad company.

MRS. MILLER	No and it may seem very silly but...I miss him. We're on our way…

MR. MILLER	to Dubai to celebrate our fiftieth...wedding anniversary, it’s where we met.

LAYLA	Oh wow. Wow fifty years. Congratulations.

MRS. MILLER	Since our...last child left for college…we haven't been apart more than 4 or 5 hours at a time.

MICKEY	Wow. Maybe the person sitting next to him with swap chairs with you. Excuse me. Pardon. Sir do you happen to know who's seated in the chair next to you?

MR. MILLER	A real nice young lady...and she's heading back that way.

MICKEY	Is that right. I appreciate it sir. Thank you. Hi.

LAYLA	Hi.

MICKEY	I…uh...shit…uh...you're in seat 5F right?

LAYLA	Yeah.

