(Q&A)
C+ S	 Salut tout le monde
C	 Aujourd’hui, on va vous faire un épisode spécial « Questions / réponses ».
S	 Donc soyez indulgents car on n’a rien préparé et c’est la fin de journée…
??	Bon, allez on y va ?
C	 C’est parti !
??	Ça se passe comment avec ton diabète en ce moment ?
S	Bah, mon diabète, ça se passe pas trop mal.
??	Forcément, il y a des moments, comme en ce moment d’ailleurs, où mon hémoglobine glyquée est un peu haute, et où mes résultats ne sont pas toujours bons.
??	Mon diabétologue m’a parlé d’une histoire d’hormones à l’adolescence qui rend la gestion plus compliquée. Il y a aussi le fait que je sorte avec des potes et que je ne fasse pas toujours très attention à ma glycémie. Donc parfois, cela peut faire monter ou descendre ma glycémie sans que je m’en rende compte. Faut réussir à gérer ça !
C	 En ce moment mon diabète c’est pas dingue. J’ai des résultats qui sont vraiment hauts. Mais comme Simon, c’est l’adolescence qui fait ça.
??	Moi je sais que je suis une personne qui stresse vite, donc la glycémie elle monte vite, et je me dis « c’est pas de ma faute » ! je fais les bolus, les dextros, je ne me mange pas trop gras non plus, et pourtant je suis à 300. A ce moment-là, tu te dis : « Mais pourquoi ? » « c’est quoi le truc qui fait que je suis comme ça ? » A ce moment-là, tu te dis « ouais, j’aimerais bien que ce soit quelqu’un d’autre qui l’ait ».
S	 Moi, j’ai un coup de gueule à passer. J’ai été hospitalisé une semaine ! une semaine ! je suis resté enfermé, sans téléphone, sans aucun contact avec l’extérieur, c’était atroce, et ça n’a rien changé. Donc oui, c’est ultra frustrant, je sais que ça va finir par s’arranger, mais pour l’instant, je commence vraiment à en avoir ras-le-bol.
C	 moi aussi
??	Quels conseils tu donnerais à un nouveau DT1 ? 
C	de regarder nos vidéos. 
??	Déjà ! c’est vrai qu’on fait des vidéos, qui sont plutôt dans la comédie, avec de l’humour etc.
??	Mais c’est vrai qu’on essaie de faire passer un message, déjà par rapport à vous. Il faut s’accepter en fait. Vraiment. Il faut s’accepter et se dire qu’on n’est pas tout seul.
??	Ca t’est arrivé à toi, et il faut que tu transformes, cette faiblesse, cette maladie – qui est quand même une faiblesse – en force. Et que tu dises que maintenant, ça, c’est en moi, et je suis comme ça et je l’assume et je m’accepte avec. Je suis plus fort parce que j’ai un passé, quelque chose que toi tu n’as pas. Et moi je connais plus de choses que toi.
??	Que dire à ses parents pour avoir leur confiance ?
S	heu…c’est nous qui l’avons, c’est nous qui le vivons tous les jours. C’est nous qui savons le mieux reconnaître une hypo ou une hyper quand ça arrive. Quand on dit quelque chose, qu’on le ressent, et que vous n’être pas d’accord avec nous, faites d’abord confiance à notre point de vue parce que c’est nous qui le vivons tous les jours.
??	Et ce dont je vous parle, en dehors du côté théorique, vous n’en savez rien.
C	Avec les hypers, les hypos, il y a forcément des sensations qu’on ressent et que les autres ne peuvent pas avoir. Et nous seuls pouvons les expliquer. On sait que la plupart du temps, ils ne nous font pas forcément confiance juste car ils ont envie de nous protéger. 
??	Ils nous disent « t’es sûre ? t’es sûre ? t’es sûre ? » Mais oui, je suis sûre ! parce que c’est moi qui l’ai l’hyper, pas toi.
??	Faites-nous confiance 
??	Des conseils pour supporter les piqûres ?
S	J’ai pas vraiment de conseil à donner parce que les piqûres… certains peuvent en avoir plus peur que d’autres. Et même sans avoir peur, c’est jamais très agréable. Et il n’y a pas de technique miracle pour les supporter. Il faut juste se dire que c’est obligatoire. Si t’en fais pas, tu seras vraiment mal.
C	 je sais que je connais quelqu’un qui préfère les piqûres à la pompe.
S	 ouais
C	mais c’est vraiment chacun ses goûts en quelque sorte.
??	Soit c’est la piqûre et c’est tous les jours, et soit c’est le cathé et c’est tous les trois jours.
??	Mais forcément, dans tous les cas, tu vas devoir en faire, donc maintenant, il faut juste s’y habituer et te dire que tu as en besoin. Plus que tu n’en as envie
??	Que répondre aux moqueries ?
C	 Comme je le disais tout à l’heure, il faut vraiment s’assumer, donc, heu… Moi c’est vrai que j’ai eu de la chance, on ne s’est jamais moqué de moi.
??	Mais en même temps, j’ai jamais eu honte de mon diabète. Je l’ai jamais caché, j’ai jamais dit « ah non, ça c’est mon téléphone », ou quelque chose comme ça.
??	Donc vraiment, il ne faut pas y répondre.
