

IMPOSTER 2

EPISODE 2




1 (10:00:00:01)

BOMB EXPERT	À neuf mille cent mètres d'altitude, boumm,

DALI	Pablo, donne-lui la serviette.

GARY	Ils ont gagné beaucoup d'argent grâce à moi, Des abrutis sans scrupules! Au moins, en l'air, je serai en sécurité.

TEBZA	Lis.

CANDY	(oh) Et puis, on s'aperçoit que j'avais deux bébés. Une femme m'a parlé d'un couple qui ne pouvait pas avoir d'enfants. Ils sont venus me trouver et on a fait un accord. Ils m'ont proposé de l'argent en échange d'un des bébés, et j'ai accepté.

TURBO	Tu vas faire semblant d'être lui? Tu sais qu'usurpation d'identité est un crime. Il est amnésique,

TEBZA	[glousse]

TURBO	il souffre d'amnésie. Nous allons être riches! Tu coupes court, mais pas à ras, il faut faire croire que la coupe date d'au moins... quinze jours,

TEBZA	Gary Mokoena.

TURBO	Hansie.

TEBZA	(ah) (ah) Je te paie tout, et avec des intérêts,

HANSIE	si tu ne me rends pas mon argent... ta payera pour les bêtises de son père,

TEBZA	J'ai pas le choix, je vais le faire coûte que coûte.

VALETA	Oh mon fils, mon-mon-mon garçon!

POLICIER 1	Madame, il... souffre de-de... d'amnésie,

TEBZA	C'est ma... c'est elle?

MASEGO	Papa!

TEBZA	Huh? (h)

VALETA	Dali et Pablo

TEBZA	Ce sont...

KELEBOGILE	ton oncle et de ton frère.

TEBZA	Santé!


2 (10:01:01:12)

PABLO	Je ne comprends pas, la bombe aurait dû se déclencher dès que l'avion atteignait une altitude de neuf kilomètres. Qu'est-ce qui a cafouillé?

DALI	Tout ça c'est ton erreur. Si tu n'avais pas abattu le mécanicien on aurait déjà des réponses. Au lieu de se poser des questions.

PABLO	(h) Tu penses qu'ils ont retrouvé la bombe?

DALI	(hm) Peut-être.

PABLO	Et tu en penses quoi de son amnésie au passage? Parce que quand il est revenu il se souvenait de rien, même pas qu'il possédait une compagnie.

DALI	Il a perdu la tête.

PABLO	Tu sais ce que je pense? (h) C'est que si Gary est au courant que c'est nous qui avons piégé son avion, (h) alors on est morts, on est foutus, fin du voyage, rien à faire.

DALI	(h) C'est impossible. Gary a trop d'ennemis pour penser à nous. Ce qu'on doit faire absolument, notre priorité la plus importante, (h) c'est vérifier ce qu'il sait sur nous.

OUT (10:01:56:07)


3 (10:02:48:16)

DOCTEUR	J'ai le résultat des analyses, vous serez ravies d'apprendre que Gary n'a pas de lésions cérébrales importantes. Il semble souffrir d'une amnésie rétrograde, due à une sévère commotion cérébrale suite à l'accident d'avion.

TEBZA	(hm)

KELEBOGILE	Mais est-ce qu'il va retrouver la mémoire, docteure?

DOCTEUR	Ce n'est pas facile à dire, mais s'il est entouré par des objets familiers, et les personnes qu'il aime, ça pourrait stimuler sa mémoire et l'aider à se rappeler de choses.

VALETA	Oh mon pauvre petit. Je ne le quitterai pas, docteur, est-ce que je peux faire quelque chose pour l'aider?

KELEBOGILE	Moi aussi, docteur. Je suis sa femme, est-ce que je peux faire quelque chose?

DOCTEUR	Hé bien, Gary est encore très fragile actuellement, je pense que le mieux à faire pour lui c'est de le tenir à l'écart de tout stress ou pressions.

VALETA	Oh mon petit, mon fiston. (X) Ce qui t'arrive est complètement injuste.

TEBZA	(h)

VALETA	Tu le sais?


4 (10:03:36:11)

KELEBOGILE	J'avais une question, docteur, (h) c'est par rapport à l'accent de Gary, il est un peu différent depuis son retour.

VALETA	(hm) Oui, c'est vrai ça. A l'entendre, on dirait qu'il a passé toute sa vie dans une de ces banlieues mal famées.

DOCTEUR	Ça pourrait être un autre symptôme de sa commotion cérébrale, mais ne vous inquiétez pas, il ne court plus aucun risque grave. Il suffit de patienter quelques jours, peut-être quelques mois, pour qu'il récupère la mémoire.

KELEBOGILE	Sa mémoire pourrait ne jamais revenir?

VALETA	Hé, mais de quoi tu parles!

KELEBOGILE	Je demande, c'est tout!

VALETA	(h) Sa mémoire finira par revenir, j'en suis convaincue.

DOCTEUR	Effectivement, dans le pire des cas son amnésie pourrait être définitive. Ce dont Gary a besoin en ce moment, c'est d'amour.

VALETA	Docteur, cette maison est fondée sur l'amour. (h) Nous en avons à revendre, il n'en manquera pas.

DOCTEUR	Parfait. C'est tout pour moi. Si vous avez besoin de quoique ce soit, vous avez mon numéro n'hésitez pas.

VALETA	Merci.

KELEBOGILE	Merci.

DOCTEUR	Bonne journée.


5 (10:04:26:04)

VALETA	Mon petit, tu as faim? Je peux te cuisiner quelque chose?

TEBZA	Alors ça oui. (h)

VALETA	(ah) Je sais, je vais te faire un ragoût d'agneau, exactement comme quand tu étais petit! Ça te tente?

TEBZA	(oh) (h) Oui, c'est une excellente idée.

VALETA	Parfait!

KELEBOGILE	Tu essayais de limiter la viande rouge dans tes repas, alors le ragoût...

VALETA	Une salade?

KELEBOGILE	Oui! Avocat bacon, il adore.

TEBZA	Avocat? (h) (mts) Je préfère l'agneau.

VALETA	Et le bacon c'est de la viande rouge.

KELEBOGILE	C'est classifié comme viande rose.

