

IDEAL HOME - PART 1






1 (00:00:25:15)

RADIO POLICE	Code dix- trente et un sur Central avenue.

POLICIER	Police d'Albuquerque. Ouvrez la porte, s'il vous plaît.

BILL	[chuchotte]

POLICIER	Ouvrez la porte.

BILL	Papa, réveille- toi!

BEAU	h !

BILL	Debout!

BEAU	h

BILL	Réveille- toi!

BEAU	. h !

POLICIER	Police d'Albuquerque, ouvrez.

BEAU	[chuchotte] M___Merde!

NOTE D'AUTEUR	[ "#" Aspiration ou expiration dents serrées]

BEAU	# h h h Okay. Faut qu'on s'tire. h h Mets tes chaussures.

POLICIER	Ouvrez!

BEAU	[chuchotte] h .

FEMME 1	C't'enfoiré m'a frappé et m'a volé mon sac Channel!Un vrai, en plus!

NOTE D'AUTEUR	--------------------------------------

POLICIER	J'vous comprends, j'ai des mocassins Channel que j'adore. Ouvrez cette porte tout d'suite.


2 (00:01:03:00)

BILL	Pourquoi est- c'que j'fais ça?!

BEAU	Shhh! Pose pas d'questions. C'est bon. Attention.

BILL	Urgh!

BEAU	[choc] h ! [effort X 2] h ! h ! Oh_, bordel.

BILL	Qu'est- c'qu'y s'passe_?

BEAU	Oh, c'est pas vrai. h h ! h À l'intérieur de la Bible, il y a une adresse à Santa Fe. Je veux que tu prennes un taxi et qu'tu y ailles.

BILL	Non_!

BEAU	Écoute, ce s'ra mieux... h ... que les services sociaux. Tu dois m'faire confiance... sur c'coup- là. h Okay? Regarde- moi. h J'sais qu'j'suis pas l'meilleur père du monde,... h ... ça, c'est clair, mais je t'aime.

BILL	[ jette]

BEAU	[voirVO]

BILL	h !

BEAU	h ! Nom de dieu. Hé!

BILL	[ jette]

BEAU	h

BILL	h

BEAU	!

BILL	!

BEAU	Bon sang, mais qu'est- c'qui t'prend?

BILL	Tu fous toujours tout en l'air!

NOTE D'AUTEUR	--------------------------------------------------

BILL	[ jette] h !

BEAU	h ! h h h h h .


3 (00:01:56:15)

POLICIER	À terre! Mettez- vous à terre!

POLICIÈRE	Tout d'suite!

BEAU	[stress] J'résiste pas! Je n'résiste pas!

OUT (00:02:01:15)


4 (00:02:32:20)

ERASMUS	Oh_. Bonjour à tous. Bienvenue. N'avez- vous jamais été invités à un petit- déjeuner Ranchero? Eh bien, mes amis,... en ce jour glorieux,... ... vous avez de la chance. Parce que nous...

PAUL	Est- c'que ça va? Tu penches vers l'arrière.

ERASMUS	C'est une selle western. Je n'peux pas m'asseoir en avant comme les Anglais. Les cowboys s'assoient sur les hanches contre le troussequin. Oh! Huh!

PAUL	Mon dieu.

METTEUR EN SCÈNE	D'accord.

ERASMUS	h

PAUL	Rien d'cassé?

ERASMUS	Non, ça va.

PAUL	On n'est pas obligés d'faire la scène à cheval, tu sais.

ERASMUS	J'veux l'faire.C'est... c'est... ... c'est important. Ça fait plus masculin, ça donne de la grandeur.

PAUL	Oh_,... ça, c'est sûr.

ERASMUS	Es- tu facétieux?

PAUL	[acquièsce] Uh huh.


5 (00:03:13:10)

METTEUR EN SCÈNE	Tenez.

ERASMUS	Merci. Merci infiniment. Vous êtes un gentleman.

METTEUR EN SCÈNE	[voirVO] Oh. h

ERASMUS	Vraiment.

METTEUR EN SCÈNE	. Merci.

ERASMUS	Dieu sait qu'il y en a peu par ici_.

PAUL	Oh, c'est pas vrai. Tu veux bien arrêter d'flirter avec lui? Ça l'met mal à l'aise. Et il est hétéro.

ERASMUS	Non, c'est toi que ça met mal à l'aise. Et il est gay.

PAUL	Eh bien, ça met tout l'monde mal à l'aise de te voir jouer comme une... vieille femme bizarre.

ERASMUS	Non_, tu es une vieille femme bizarre.

PAUL	Tu sais quoi? J'aurais pu travailler avec Rachel Ray. Et elle est gentille.

ERASMUS	[voirVO] h . h .

METTEUR EN SCÈNE	Et si nous reprenions, euh,... tout depuis l'début?

ERASMUS	J'en serais ravi.

METTEUR EN SCÈNE	Bien. Allez, tout l'monde, on y retourne.

OUT (00:03:52:00)


6 (00:03:59:00)

POLICIER	Écarte- toi, mon garçon.

OUT (00:04:01:00)


7 (00:04:30:00)

ERASMUS	Ceci est une pelle de four Basque... ... que j'ai transformé en plateau à tapas. J'aime servir mes poivrons piquillos farcis... ... à dos d'cheval. Bien sûr, un_... ... vaste ranch n'est pas nécessaire pour ce petit- déjeuner. La prochaine fois,... ... je vous montrerai comment préparer ces mets délicieux... ... dans votre propre petite cuisine. Ciao. Servez- vous, amigos.

MANNY	Ça a l'air bon.

ERASMUS	Oh, Manny. Salut, ma couille, j't'avais pas vu.

PAUL	On n'peut pas dire "ma couille" sur les chaines basiques du cable.

NOTE D'AUTEUR	----------------------------------------------

METTEUR EN SCÈNE	Coupez.

ERASMUS	Retirez- moi ces jarres en terre cuite. Beurk. Idem pour le plat en fer blanc. Pitié, s'il vous plaît, enlevez ces_... ... atroces bandanas des gobelets. Toi, jeune homme,... ... mets ta caméra là_... pointant dans cette direction.


8 (00:05:16:04)

PAUL	Regardez- ça_. On a devant nous Butch Cassidy_...

NOTE D'AUTEUR	[rupture]

PAUL	... version village people.

ERASMUS	Si seulement nous avions un producteur_ ... qui comprenait que les objets existent dans un espace. Ne serait- ce pas merveilleux?

PAUL	Si seulement tu venais aux réunions d'production pour faire part de tes idées à l'avance. Oh, mais ça nuirait à ton rigoureux programme d'alcool et d'masturbation.

ERASMUS	[sourit] h .

TINO	Vous êtes pareils à la maison?

PAUL	Oh non, on n's'entend pas aussi bien à la maison.

TINO	Pourquoi tu n'le quittes pas?

PAUL	Je l'ferai sans doute. h Mais une partie d'moi veut rester, rien qu' pour l'regarder mourir.

TINO	[rit] h ! h

OUT (00:05:51:15)


9 (00:06:02:00)

ERASMUS	Oh,... pouvons- nous faire une trêve?

AMB INVITÉS X 10	h[brouhaha] -

PAUL	Oui_. Merci. Enfin.

ERASMUS	Enfin? Quand as- tu déjà demandé une trêve?

PAUL	Tu réalises que tu commences une dispute à propos d'une trêve?

ERASMUS	h Je_ crois que tu es manipulateur et passif- agressif_.Et la trêve commence maintenant. Ah__! Mes Mexicains préférés_. Me llamo Mexico_.

AMB INVITÉS X 10	.

OUT (00:06:28:06)


10 (00:06:44:15)

DORIS	[rit]

AMB INVITÉS X 30	h[brouhaha]

DORIS	h

AMB INVITÉS X 30	-

FEMME 2	On vient d'rentrer du Machu Picchu...

DORIS	!

FEMME 2	... et c'est inintéressant au possible. Inintéressant. On dirait l'village des Pierrafeu. J'étais là: "

DORIS	Quoi?

FEMME 2	Quoi? C'est ça_?"

DORIS	Mais... Qu'est- c'que t'aimes, alors?

FEMME 2	Archi nul. Zéro étoiles.

DORIS	Comme coin?

FEMME 2	J'aime Epcot.

DORIS	h !

ERASMUS	Bobby Flay_. Je_ l'aime en tant que personne.

ALEX	C'est un d'mes meilleurs amis.

ERASMUS	Oh, non, non, non. Tu m'as mal compris. Il_, euh,... il a un superbe_... visage_... et_... ... et aussi un_... ... culot incroyable.

KATE	Vous êtes de Los Angeles?

MAIRE	Je suis l'maire.

KATE	Une minute, quoi?

MAIRE	De Santa Fe.

KATE	h Ça alors! J'adore!

PAUL	À ça_ de la frontière Syrienne, on peut entendre les coups d'feu.

NOTE D'AUTEUR	--------------------------------------------------------

PAUL	On entend même les gens crier. Terrifiant. Mais... ... le poulet Zatar... ... était le meilleur qu'j'ai jamais mangé.

HOMME 1	Les pauvres enfants qui criaient n'ont pas dérangé l'repas?

PAUL	Pommes et oranges.

DORIS	Faut bien manger.

HOMME 1	Je vois.

MAIRE	C'est la ville de la Sainte Foi.

KATE	Oh__.

MAIRE	Santa Fe.

KATE	J'l'ignorais.C'est génial__.

MAIRE	Oui.

AMB INVITÉS X 30	...


11 (00:07:41:00)

AMB INVITÉS X 30	h[brouhaha]

FEMME 3	Et là, j'lui dis: "Hey, connard, le putain de Dalaï Lama m'a donné ce coussin d'prière.

AMB INVITÉS X 30	-

MAIRE	Mesdames et messieurs,... ... veuillez vous joindre à moi et porter un toast...

AMB INVITÉS X 30	...

MAIRE	... en l'honneur de deux des meilleurs hôtes de Santa Fe_.

ERASMUS	h

MAIRE	Non. Qu'est- c'que j'raconte?

ERASMUS	.

MAIRE	Du monde. Paul_,... Erasmus.

ERASMUS	Et_ si je peux vous interrompre, Monsieur l'Maire, n'oublions pas... ... toutes les petites gens. Toutes les abeilles ouvrières,... quelles qu'elles soient. Aux petites gens.

AMB INVITÉS X 30	h["Oui"/"Santé"/etc...] -

PAUL	Je suis avec_ un vrai trou du cul.

AMB INVITÉS X 30	...

FEMME 2	[rit] h

HOMME 1	Wah.

DORIS	Ha!

FEMME 2	!

HOMME 1	Félicitations.

PAUL	J'aime un trou du cul.

FEMME 2	Oui, félicitations. h[rit]-

HOMME 1	[rit] h

PAUL	Façon d'parler.

FEMME 2	!

DORIS	[rit]

FEMME 2	h[rit]

DORIS	h

FEMME 2	-

HOMME 1	.

DORIS	!

PAUL	Allons, buvons à ça.

FEMME 2	! h

HOMME 1	[rit]

DORIS	Ha, ha! Oui!

HOMME 1	h

FEMME 2	Buvons à ça.

HOMME 1	!

FEMME 2	À la votre.

HOMME 1	Santé.

DORIS	Santé.

OUT (00:08:20:15)


12 (00:08:57:00)

AMB INVITÉS X 30	h[brouhaha] -

KATE	Je sais qu'je suis à Santa Fe_, mais j'en peux plus des pierres turquoises.

MAIRE	C'est une tradition.

