(THE MYSTERY OF THE DRAGON SEAL)

NARRATOR	Far-far away in the south of The Heavenly Empire…there lived the Great Dragon. His eyelashes went down deep into the ground and came back up… as beautiful plants healing the souls and bodies of those who suffered. People called the leaves of this plant “tea”. The glory of this drink spread far and wide. Soon, the Great Dragon found men to take care of his eyelashes… and preserve the healing properties of tea. They were called "The White Wizards". The Great Dragon made a magical seal and gave it to the wizards he trusted the most: the Master, his daughter and the Princess. Merchants from all over the world traded great riches for this tea. But then, some of the wizards got greedy. They went to the evil side to control the Dragon. These Black Wizards were led by the Two-Faced Witch. She raised an ancient army… and they took the Dragon's cave. To get more tea, they stopped trimming the Great Dragon's eyelashes. His eyes became heavy and he fell into a deep sleep. The White Wizards fought back to free the Great Dragon… but the Black Wizards were too powerful. The evil forces captured The Master and the Princess. They then put them into prisons on opposite sides of the world.

GUARD	Feeding time, you lazy maggots! We should hang the half of you lot! Hands off!

PRISONER	That’s not enough for breakfast. Give me that! Give me some food, please!

GUARD	Sod off! Come late, get nothing!

JAMES HOOK	One... Two… three!  All in attendance! Of course you are. Where would you go? It's the Tower! 

PETER THE FIRST	Years fly but the jokes are still the same…

CELLMATE	We'll never escape this place.  But we won’t live long anyway.

PETER THE FIRST	Hmm? How do you survive if you don't eat anything? 

MASTER	The sun that rises in the East nourishes me....

CELLMATE	Give it to me!

PETER THE FIRST	Little birdie, pretty little birdie.

CELLMATE	I’ll have water too!

PETER THE FIRST	God damn it!

CELLMATE	I will tell you where I’ve hid my treasure for a tiny piece of this bird. Please, give it to me!


PETER THE FIRST	Ha! I’ve got you, you white little beauty. You see how easily I caught him.

MASTER	That’s a homing pigeon. Not afraid of people.

CELLMATE	Please give it to me!

PETER THE FIRST	Yeah! I can see what you mean! I don't understand... It's... Bloody nonsense!

MASTER	It's a secret code. It’s written backwards.

PETER THE FIRST	Backward? Dear Miss Dudley, I’m missing you immensely… and every day I recall your silhouette in the moonlight ... It looks like it’s somebody's private correspondence.. So, you think we still should read it?

CELLMATE	Oh yes, we should!

PETER THE FIRST	So listen. “Once again I am apologizing for my sudden departure.” I would never leave you, Miss Dudley, if not for the disagreement with your father...

LORD DUDLEY	Debauching yourself|in your father‘s house, and with a common teacher! 

JONATHAN GREEN	I‘m not just a teacher. I‘m a Bachelor of geography and cartography!

LORD DUDLEY	Set the dogs on him!

MISS DUDLEY	Run darling, I love you!

JONATHAN GREEN	I love you too, darling, believe in me!

PETER THE FIRST	Your father, Lord Dudley was absolutely right…

JONATHAN GREEN	Your father, Lord Dudley, was absolutely right. I have indeed spent all of my fortune. I've not wasted it but invested it in my invention.  I've managed to produce a revolution in cartography.  With the help of the fifth wheel of the coach…I can measure distance precisely. Meanwhile, the rest of world is still doing it the old fashioned way.… My fame reached the Russian Tsar… who ordered me to map of the borders of his European possessions. 

PETER THE FIRST	Yes, right! I remember him! The clever scientist! I met him during my embassy trip to England. "I crossed the whole of Europe..."

