NON	I(blows saxophone) It's impossible.

CECIL	Don't ever use that word in my presence.

SYDNEY	Another girl came forward. If we go to the police together, maybe they'll get off their asses and arrest him.

CARLTON	Right about now, you might want to make travel plans.

EBONIE	I told you everything that Danny and his goons did to me. And you joined that band anyway?

EVA	It's not a bad thing to do something you love to do, despite how you feel.

TERRENCE	Why?

COACH HARDWICK	Right now, you need a lawyer.

DRE	Chantel won't want you getting down like that, bro. Mess up what you got here.

CARLTON	Ooh. Mmm. Ooh. (chuckles)

JASON	See, that's good...

DEREK	Yeah.

CARLTON	Ah--ah. (chuckles) Oh. Mmm. Mm-hmm. Yeah. Yeah. Yeah.

JASON	That's style, right there.

DEREK	Mm, yeah, mm.

MAN	(chuckling)

WOMAN	(laughing)

CARLTON	(laughs)

ALL	(laughing)

EVA	(exhales) Shit.

NONI	Oh. Sir. You're back.

CECIL	I am. And you're here. Why?

NONI	Just--just to return this. We didn't know you were getting out so soon.

CECIL	I discharged myself. I can't be laying around a hospital bed with homecoming around the corner. Giving up?

NONI	Oh, no-no-no. No, never. I am just ready for bigger challenges, sir. I mastered this one.

CECIL	Good. The great mold themselves in the fire of their will.

NONI	Yes, we do, sir--they. Yes, they do. Sir. I do. I was there. At the hospital. Um, but you were pretty...

CECIL	Sedated.

NONI	Yeah.

CECIL	The great are also conscious of the gifted. I knew you were there.

NONI	That's good to know, sir. Thank you.

PROFESSOR RUDOLPH	Not only did you all pass the midterm, but two of you solved the extra credit problem. Mr. Hobbs, Ms. Platt, go ahead and stand, take a bow.

PROFESSOR RUDOLPH	All right. Uh--you all are dismissed.

BRONWYN	Hey, Cedric. Hi, I'm Bronwyn.

CEDRIC	Good job on the test.

BRONWYN	Oh, thanks. You too. Um, I was wondering. I tutor math at Andrew Young Elementary. You think you might be interested in something like that?

CEDRIC	Nah, that's not really my thing, no offense.

BRONWYN	(soft laugh) None taken. But look, you just look as far from a math geek as anybody can get, and the at-risk kids might respond to you, you know?

CEDRIC	(soft laugh) You saying I look at-risk?

BRONWYN	No, no. I--I'm not saying that, I'm just...

CEDRIC	Damn. Supposed to be a joke.

BRONWYN	Oh.

CEDRIC	Nah, but on the real, I don't know nothing about teaching.

BRONWYN	No, but look, you just got an A on a crazy hard exam. That's all you need to know. Look, I really got to get to class. Just think about it, okay?

TRINA	Hey.

MADISON	Hi.

SYDNEY	Hello, Trina.

TRINA	You ready, Sydney?

SYDNEY	I am.

TRINA	Good.

MADISON	Syd, you sure about this?

