GARY	Say you love me.

SABRINA	Previously on "Sistas…"

ANDI	I love you.

CALVIN	I'm a cool dude.  I work hard.  I'd really like to take you out.

ANDI	I just got the largest divorce settlement my firm has ever seen.

ALL	(cheering)

ZAC	I never had a woman like you before.

KAREN	And you never will again.

DANNI	Damn, you fine, Gary.  We've been waiting to meet this mystery man for 6 months!

ANDI	Thank you for not telling the girls that Gary's married.  First, I'd like to say I hate that we're here to talk about divorce.

JASMIN	Where do we start?

ANDI	Let's start with your husband's name.

JASMIN	Gary Marshall Borders.

ANDI	I'm sorry.  What was his name?

JASMIN	Gary Marshall borders.

ANDI	(stammers) I'm sorry.  Would you like some water?

JASMIN	No, thanks.  I'm fine.  I'm used to the heat.  I'm from Albuquerque.

ANDI	Right.  Ok.  Would you excuse me for a moment?

JASMIN	Yeah.  Sure.

ANDI	I had too much coffee.

JASMIN	Mmm.  Gotcha.  Yeah, no worries.

ANDI	Ok, thanks.  (breathing hard)

KAREN	Ok, I didn't make it.

ANDI	Karen.

KAREN	Ok, yeah, well, I know you didn't either, ok?  Why was you so weak?

ANDI	Karen…

KAREN	Don't call me judging me, ok?  At least Zac is not married.

ANDI	Karen!  She's here.

KAREN	Who?

ANDI	His wife.

KAREN	Where?

ANDI	(sighs) She's in my office.

KAREN	Wait.  What the hell you talkin' about?

ANDI	The woman I won all that money for?  She recommended me to her.

KAREN	Oh, that's a good thing.

ANDI	No, the hell it's not.

KAREN	Well, it means he's telling the truth.  He's getting a divorce.

ANDI	(grunts) You don't understand.  She wants me to represent her.

KAREN	Oh, hell, no!  You can't do that.

ANDI	I know that.

KAREN	Well, just give her to someone else.  Give her to another lawyer.

ANDI	She cannot be represented here at all.  That is a clear conflict.

KAREN	Well, then, you gotta tell your boss.

ANDI	What, that I am sleeping with a married man?

KAREN	Andi, what else you gonna do?  You just got the job.

ANDI	(sighs) I know, and I have never made this much money.

KAREN	(on phone) What you gonna do, girl?

ANDI	I don't know.

KAREN	Look, you better figure it out.

ANDI	(on phone) I'm gonna call you back.

KAREN	Ok.  Bye.

SINGER	Don't my girls hold me down.  Let them boys mess around.  My love life is a headache.  We're going out tonight.  'Cause I'm into the love.

ANDI	Sir, I need to talk to you.

AARON	What are you doing?  She's waiting.

ANDI	Yes, I know, but I just need to tell you something before I go back in there.

AARON	Andi, talk to her first.

ANDI	I think that she needs another lawyer, sir.

AARON	Why?

ANDI	Because I am not suitable to handle this case.

DON	I hate to be blunt, but Helen said she wanted a black woman.  She referred you to her.  What's the problem?

ANDI	I think that there may be a conflict of interest.

DON	Listen, this is just cold feet, ok?  You got this.  You're gonna be great at it.  You made $6 million for this firm in just 2 cases and 800,000 for yourself. This is another big one.  Go on.  Go get it.  We're counting on you.  Make this work.

ANDI	Yes, sir.

JASMIN	(sighs)

ANDI	So sorry.

