LEGENDA	Visky. Ok, obrigado. Eu. Eu que agradeço. Eu. Estou mandando as digitais. Só no seu email, ok?Visky. Ok. Eu. Vou pra aula. A gente se fala depois.

CAROLINA	Vem tomar café, filha. 

ROGÉRIO	Hoje eu não posso me atrasar, meu amor. Eu tenho, no máximo, três horas pra chegar na agência, lá em Sorocaba. 

CAROLINA	Ai, não corre na estrada, Rogério, pelo amor de Deus.

ROGÉRIO	Ué? Que é isso, agora? "Tô" fazendo essa viagem há anos, toda semana, você nunca se preocupou. Só vou tomar mais esse cafezinho aí fresco, oh, e vou-me embora. 

CAROLINA	Dá aqui, vem. 

ROGÉRIO	Mais um pouquinho aqui. 

CAROLINA	Amor. Dessa vez, eu coloquei mais camisa e cueca na tua mala, viu? 

ROGÉRIO	“Aham” (afirmação). 

CAROLINA	De uns tempos pra cá, você tem passado mais dias em Sorocaba. Não é?

ARLETE (ANGEL)	Bom dia.

CAROLINA	Bom dia. 

ROGÉRIO	Bom dia. 

CAROLINA	Com o tanto que você trabalha, você tinha que ganhar mais, amor. 

ROGÉRIO	É, mas a combinação sempre foi ganho por comissão, "né", Carolina?

CAROLINA	Hum, e você sem nenhum conforto. Viaja pra lá, fica em pensão. Come mal, dorme mal. 

ARLETE (ANGEL)	Pai, mãe. 

ROGÉRIO	Hum?

ARLETE (ANGEL)	O cara da agência de São Paulo, o booker...

CAROLINA	Hum...

ROGÉRIO	Booker?

CAROLINA	É.

ROGÉRIO	Que é que é booker? 

CAROLINA	Booker. Essa meninda fala tanto em ser modelo, que até eu já sei o que é. Booker é o rapaz que contrata as modelos, que agenda os trabalhos. 

ROGÉRIO	Hum. Ah... Entendi. 

CAROLINA	A Arletinha anda falando com ele, aí. Pela internet. 

ARLETE (ANGEL)	Então. Ele adorou minhas fotos. 

CAROLINA	Hum?

ARLETE (ANGEL)	E disse que eu posso morar em São Paulo com mais meninas, tipo numa república, sabe?

CAROLINA	Você "tá" maluca? Você tem que estudar, garota. E quando chegar a hora da faculdade, se passar pra alguma em São Paulo, você vai morar com a sua vó. 

ROGÉRIO	Tua mãe tem razão. Tinha graça, agora, (até parece) você ficar sozinha em São Paulo, morando com gente que eu não sei quem é, "né"?

ARLETE (ANGEL)	É. Mas eu quero ser modelo. 

CAROLINA	Primeiro tem que estudar. Quando você crescer, tiver idade, aí você decide. 

ARLETE (ANGEL)	Ô  mãe, você já viu modelo velha? 

CAROLINA	É por isso mesmo. Você tem que ter uma profissão segura, estudar. 

ARLETE (ANGEL)	Você diz isso porque você não estudou, "né"?

CAROLINA	Fiquei grávida de você, garota. Tive que largar minha faculdade de Sociologia. E você sabe disso. Me arrependo. 

ARLETE (ANGEL)	De eu ter nascido?

CAROLINA	Claro que não, Letinha. Você é a coisa mais importante que tem na minha vida. Mas oh aqui, oh, linda, oh, bota uma coisinha na tua cabeça. Pra São Paulo, você só vai depois que terminar o Ensino Médio.

ROGÉRIO	Hum. 

CAROLINA	E assunto encerrado.  

ROGÉRIO 	"Aham". 

ARLETE (ANGEL) 	Que saco. Vocês nunca me entendem. “Tão” Sempre contra mim, viu? 

CAROLINA	Ah...

ROGÉRIO	Letinha, pelo amor de Deus, olha aí...

CAROLINA	(MURMÚRIO). 

ARLETE (ANGEL)	Pai, desculpa... Pai, mãe... 

CAROLINA	Meu Deus... Não... Letinha? Vai...

ROGÉRIO	Tudo bem, deixa que eu mudo, é só pegar aqui...

ARLETE (ANGEL)	Pai...Mãe...

CAROLINA	Vai pra escola... Espera... 

ROGÉRIO	Tudo bem, meu amor... Tudo, tudo bem...

ARLETE (ANGEL)	Mãe, desculpa. (BEIJO). Desculpa, desculpa, "tá"?

CAROLINA	"Tá", vai, minha filha. Vai pra escola, "tá" tudo bem. "Tá" bom? Vai, Letinha. 

ARLETE (ANGEL)	Pai?

ROGÉRIO	Beijo, amor. Tudo certo. Beijo. 

CAROLINA	Vai, que você vai perder a aula. 

ROGÉRIO	Pra quem "tava" atrasado, o dia começou super bem, "né"? Olha aí. Olha aí. 

CAROLINA	Olha aqui, oh. Ai, que sujeirada, Jesus do céu...
		
ROGÉRIO	Ô meu Deus... Deixa eu ir, meu amor. (BEIJO). 

CAROLINA	Hum... Boa viagem. 

ROGÉRIO	"Tô" atrasado...

CAROLINA	Aí, Rogério? 

ROGÉRIO	Hã?

CAROLINA	Espera... Aqui, oh. 

ROGÉRIO	Ah...

CAROLINA	Sua carteira. 

ROGÉRIO	(RISOS).

CAROLINA	Vai. Vai sair sem documento, sem dinheiro?

ROGÉRIO	É a pressa, meu amor. 

CAROLINA	(REAC). 

ROGÉRIO	Olha só, vê se você consegue tirar essa mancha, "tá"? Porque um paletó desse "tá" custando uma nota, Carol. 

CAROLINA	"Tá". Vai agora mesmo pra lavanderia. 

ROGÉRIO	Vamos economizar...

CAROLINA	Vai. Boa viagem. (BEIJO). 

ROGÉRIO	Fui, meu amor. 

CAROLINA	Cuidado. 

CAROLINA	Rogério Gomes...

CAROLINA	"Tá" vendo? Como é que tem uma conta de luz de Sorocaba no nome dele?

ELIDA	Ah, Carolina, amiga. A gente tem que ser fria, nessas horas. 

CAROLINA	Ah...

ELIDA	E prática. É óbvio que seu marido tem uma casa em Sorocaba. 

CAROLINA	Não, ele fica em pensão, Elida, pra economizar. 

ELIDA	Carolina, você é burra? 

CAROLINA	Ô Elida? Você é minha amiga ou veio aqui pra me desancar?

ELIDA	É, eu sou tua amiga. Você me pediu uma força, eu vim aqui pra dar. Agora, hipócrita, eu não sou. 

CAROLINA	Ai... Você acha mesmo que o Rogério... Você acha que ele...

ELIDA	Amiga, ele tem outra casa, sim. Olha aqui, pra falar a verdade, essa história do seu marido trabalhar três ou quatro dias lá e o resto da semana aqui, nunca me cheirou bem.

CAROLINA	(RISO) É pra ganhar mais, Elida. 

ELIDA	É? Duas concessionárias de automóvel e vocês vivem na pendura? 

CAROLINA	Ah...

ELIDA	Bom, pelo menos agora você sabe o motivo. 

CAROLINA	Não pode ser. Outra casa? Quer saber? De São Carlos até Sorocaba são duas horas e meia. Você me empresta seu carro?

ELIDA	Não, eu dirijo. Você não tem a menor condição de dirigir...

CAROLINA	Nada, "tô" ótima. Eu dirijo. 

