Time stamp	4.00pm

Pilot	Cabin crew prepare for landing, thank you 

Airplane landing scene	Suvarnabhumi International Airport, Thailand

Immigration officer	Welcome to Bangkok, we hope you enjoy your stay

Kai	Mahalo

Immigration officer	Next

Sign	Welcome to Bangkok

Skytrain announcer	Next station, Ratchaprarop station

Kai	Bathroom

Mobile phone app	Taxi plus, a four passenger ride when you need more space

Fah	Good evening sir….I hope I didn't make you wait for too long

Kai	Oh, not at all, you're right on time

Kai	Perfect actually

Fah	Hehehe

Main title	One Night In Bangkok

Fah	I hope you had a nice nap

Fah	Water

Kai	Ah…......thank you

Fah	You're welcome

Kai	You weren't kidding about the traffic!

Fah	haha, believe it or not I was expecting much worse

Fah	We're not too far away now

Kai	Ah…......thank you

Fah	Oh….......thank you

Fah	Most people would just toss it to the side

Kai	Most people are inconsiderate

Fah	Yeah

Kai	This car is spotless!

Kai	You must really like this job?

Fah	Well, its decent money Plus I get to choose my own hours And I get to meet a lot of interesting people

Kai	You like to drive at night?

Fah	I have more time at night

Kai	Can't it get dangerous?

Fah	Probably, but I've been lucky

Fah	Plus the app tells me where I'm being called and where I'm heading to so, it's alright

Kai	You're a pretty woman  you must get propsitioned all the time?

Fah	Haha, I'd be worried if it stopped I'm not getting any younger you know, hehe

Kai	I take it you're not married?

Fah	No

Kai	May I ask you….......why?

Fah	Never got around to it

Fah	I have a brother he has a mass

Fah	They detected it ten years ago h'es alive now

Fah	He's everything to me

Kai	I'm sure he is

Kai	And I'm sure you're doing everything you can

Fah	I am

Fah	It's just this past year

Kai	It's gotten much worse

Fah	Yeah

Kai	Sigh, a mass can be like that a lot of people who suffer from it  tend to live a lot longer than their expected to

Fah	Are you a Doctor?

Kai	No

Kai	But I was a field medic a long time ago

Kai	I know a little about a lot of things

Fah	Jack of all trades, ha

Kai	Master of none, that's right

Kai	Your English is very good

Fah	Well thank you I studied English in college and that was a long time ago

Kai	Well, I won't talk about your age if you don't talk about my white beard

Fah	hehehe, I watch a lot of movies as well, also Youtube videos that’s how I practice my English but I still feel my vocabulary isn't there yet

Kai	Well, you sound great to me besides you're Thai, you don't need to speak perfect English

Fah	I'm actually half, my dad's English but I grew up here and lived here all my life

Fah	Who knows you know maybe one day I'm going to be living in a country where they only speak English and no more Thai

Fah	Well, the office building is just up ahead

Kai	Can you pull up in the front?

Fah	ok

Fah	Alright, we're here

Kai	My name is Kai In Hawaiian it means "the sea"

Fah	Oh, that's very beautiful are you from Hawaii?

Kai	Yes

Fah	My name is Fah It means 'sky" in Thai, nice to meet you

Kai	Nice to meet you Fah

Kai	How's business been tonight?

Fah	You're my first customer I just started my shift

Kai	If you don't mind me asking

Fah	ok how much do you make on an average Friday night?

Fah	I would say 1500 baht and 2000 baht on a good night

Kai	Sixty dollars?

Fah	Yeah, I think so, yeah

Kai	I have an offer for you

Kai	If you decide to take it you'll have to turn off theapp

Fah	Ok

Kai	I have four more stops after this one all in the city

Kai	1000 dollars, that's the deposit you can quit anytime and take the money but if you decide to stay with me until the end I will give you 5000 dollars in cash

Kai	You don’t have to do anything you don't even have to get out of the car unless you want to I just need you to drive for me

Kai	I need to go up to talk to a lawyer, wait for me here when I get back, I'll answer any questions you may have alright?

Fah	Thank you

Kai	Thank me at the end

Time Stamp	9.39pm

Location	Krungthai Panich Insurance Building

Kai	Sawadee Khrap

Security Guard	23rd floor

Kai	Thank you

Security Guard	You're welcome

Secretary	Good evening Mr Kahale

Khai	Good evening

Secretary	How was your flight?

Kai	It was quick

Secretary	That's fine, Khun Cha Cha is actually waiting for you

Kai	Thank you

Cha Cha	Welcome to Bangkok Mr Kahale

Kai	Thank you so much Khun Cha Cha

Kai	Sorry to keep you waiting

Cha Cha	Not at all, please have a seat

Kai	Thank you

Kai	you have a beautiful office Seems like you've done quite well, especially being so young

Cha Cha	Yes I have, so tell me how I can be of service you were a bit vague on the phone something about an accident and a family member

Kai	Yes, actuallymore than just one family member the whole family

Kai	Let me show you something

Kai	Thank you Khun 

Cha Cha	I will see you tomorrow

Kai	Thank you again for waiting

Secretary	Not a problem at all, did everything go ok?

Kai	Very well, I'll be back tomorrow around 4pm to follow up with details

Secretary	All right

Kai	Would you please do me a small favour?

Secretary	Of course

Kai	It's a bit unusual, ah can you please ask for a taxi and specifically, a pink one, I know it's siily, but I saw a lot of the pink taxis at the airport and with all my travels I've never ridden in one

Secretary	Sure, yeah

Kai	Ok, thank you, please let them know there will be two stops 1 at a 24 hour supermarket, then at my hotel  the hotel Millennium

Secretary	Ok, not a problem at all that will take about 10 minutes would you waiting here? Or

Kai	Ah actually I prefer waiting outside

Secretary	Ok

Kai	I think my body could use some fresh non-airconditioned air

Secretary	Yeah, ok, great

Kai	Thank you again

Secretary	Have a good evening

Kai	Thank you

Fah	"yish", Oh my gosh, you scared me

Kai	Sorry you should lock the doors

Fah	Everything went well?

Kai	The lawyer was very cooperative

Fah	Well, I don't like lawyers

Kai	It's ok, I don't either

Fah	So, where next

Kai	The Thonglor Police Station please

Kai	I know first a lawyer now police

Fah	Ah, are you in trouble?

