(INTRIGO)
(SAMARIA)





NARRATOR	The people of the world are more or less the same. Though we may come in different shapes and colors, we all share the same inheritance, and we all have our back stories, and our secrets. Like this man, running along the river Scheldt in Antwerp, what is he running from? What is he trying to escape? Even though evolution might seem to mature us, there are still parts of our brain that belong to our reptile ancestors. Although we've convinced ourselves that hate, revenge, and nemesis belong to the past, our ancient ancestor's blood still runs in our veins, whether we like it or not.
 
CLIENT	Feels like a bloody good campaign. As usual, you'd have to say.

JOHN	After holiday, we'll get started on images. I'll mail over a few suggestions for photographers.

CLIENT	Excellent. Have a great holiday and we'll be in touch.

HENRY	Thank you, guys.

CLIENT	Bye-bye.

HENRY	Thank you.
 
JOHN	You're a genius Henry, you know that?

HENRY	Well, I don't know about that. I thought we already discussed... your raises. Five more days, guys, can't wait.

ELIZA	Until the holidays, you mean.

HENRY	Yeah.

MAN	John, we're waiting... for you.

JOHN	Damn it. I love being at work.

MAN	Come on.

ELIZA	So what are your plans?

HENRY	For the holiday? We've rented a small house in Cote d'Azur. We're gonna down there, do lots of long walks on the beach, piles of books, lots of good, that's what I think.

ELIZA	Sounds decent.

HENRY	Well...

ELIZA	In case you wondered, we'll be damp proofing the basement . Consider that when you complain about sand in your swimming trunks.

PAULA	Hi, Henry.

HENRY	Hey, Paula.

PAULA	Yeah.

HENRY	How are you? Paula... Polans--Polanski.

PAULA	Polanski.

HENRY	Yeah, how are you?

PAULA	I'm good.

HENRY	Wow. It's gotta be 10 years since then.

PAULA	Uh, almost exactly. Yeah.

HENRY	Wow.

PAULA	Do you live, uh, here in Maardam.

HENRY	No, I live in Antwerp... now. I'm just here on a couple of days work.

PAULA	Oh.

HENRY	So, Film Academy?

PAULA	Yeah. Mainly because I didn't know what else to do with myself, but, uh, I got in for whatever reason.

HENRY	Well, to make documentaries, which is... what you're doing now, isn't it? I think I've seen one of them on ARTE.

PAULA	Uh, Roman beggars.

HENRY	Roman, that's it.

PAULA	Won an award.

HENRY	Did it?

PAULA	Yeah.

HENRY	Good for you. That's great.

PAULA	Thanks. Thanks.

HENRY	Well done. I haven't actually been back to Kaalbringen since I've--well, I stopped being a teacher. Wasn't really my thing. So...

PAULA	Yeah. I know.

HENRY	Yeah.

PAULA	You work for one of those big, uh, advertising agencies.

HENRY	That's, that's right. How do you...

PAULA	The reunion. Oh, you're on the mailing list.

HENRY	Oh, right. The reunion. How was that?

PAULA	Almost everyone was there... except you.

HENRY	Yeah. All right. Yeah. I don't know why that was. I meant to come.

PAULA	Yeah. Sure. Don't worry. You weren't the only teacher that didn't show up.

HENRY	Okay. Cool. An actual fact, I was just a substitute teacher, not an actual teacher, so...

PAULA	Yeah.

HENRY	I don't--this is me. Nice seeing you.

PAULA	And you.

HENRY	I'm just staying at the Metropole. So...

PAULA	Okay.

HENRY	You live here in, in Maardam?

PAULA	Yeah. In Wassingen, it's a dreadful, dreadful place. But I probably have to win an Academy Award to get some advantage, though. Anyway...

HENRY	Well, listen, it's been nice seeing you.

PAULA	Yeah, you, too.

HENRY	Bye.

PAULA	Bye. Yeah, mainly because I didn't know what else to do with myself, but, uh, I got in for whatever reason.

HENRY	Well, to make documentaries, which is what you're doing now, isn't it?
 
GUARD	As far as I know, he's never had... a visitor. You're the first. What's this for?

