1 - MARTIN,223,1947,10123,8399,9439,7715,10068
2 - OLGA,9,189,1018,838,961,781,1010
3 - RUSSIAN #2,6,53,242,195,159,112,242
4 - LISA,94,802,4056,3348,3805,3097,4046
5 - MAXIM,17,82,421,356,388,323,421
6 - REFEREE,1,17,89,73,83,67,89
7 - SUZANNE,4,29,141,116,123,98,141
8 - US ANNOUNCER,2,60,397,339,377,319,396
9 - MARK RAMLEY,1,22,128,107,123,102,127
10 - BOUNCER,2,34,180,148,163,131,180
11 - SASHA,59,641,3394,2812,3237,2655,3390
12 - TREVOR,55,739,4007,3323,3796,3112,3993
13 - TRAVOR,1,14,75,62,73,60,75
14 - EDWARDS,8,69,366,305,347,286,365
15 - US PRESIDENT,3,57,349,295,332,278,349
16 - TATYANA,42,374,1927,1595,1757,1425,1925
17 - FSB GENERAL,3,31,173,145,118,90,173
18 - Olga (V.O.),1,8,38,31,36,29,38
19 - ADR,1,10,61,52,58,49,60
20 - BARMAN,2,3,18,17,16,15,18
21 - BURNS,4,26,134,112,123,101,132
22 - CIA IT TECH,11,81,458,388,421,351,454
23 - SVITANOK DESK #1,1,10,57,48,32,23,57
24 - ZELENKO,4,20,110,94,89,73,110
25 - RUSSIAN AMBA,2,44,263,221,259,217,262
26 - BANK EMPLOYEE,3,27,167,143,115,91,167
27 - BANK MANAGER,6,61,337,282,270,215,336
28 - SECURITY OFFICER,4,28,152,128,126,102,151
29 - SVITANOK CLERK #2,4,14,90,80,81,71,90
30 - FSB OPERATIVE #3,1,4,20,17,12,9,19
31 - FSB OPERATIVE #4,2,6,33,29,31,27,31
32 - UK ANNOUNCER,1,42,240,199,235,194,240
33 - FSB AGENT,1,3,20,18,19,17,20
