TITLE CARD DISCLAIMER	The people, characters, companies and clubs in this Series are purely fictional. Any resemblance to any person, company, club or situation is coincidental.

Voice Over	Previously on Agent.	

TITLE CARD	Previously on Agent

Christopher	Shouldn't you be in Mauritius, keeping a hawk's eye on them?

Blaze	What?

Lesego	I like to cut to the chase.

Meshnie	Columbia 1 Côte d'Ivoire 0.

Nina	Are you his date?

Natalie	Last I checked.

Nina	Oh.

Blaze	You’ve met Lesego, right?

Lesego	Oh yeah she has bra. Even before you met her.

Natalie	Very much in passing.

Lesego	Oh but not the second time.

Natalie	Are you sure about that?

Blaze	I know about the coke.

Herve	Are you angry at me?

Nina	If you want to be single, go be single.

Natalie	It's that taste that you get in the back of your throat…

Natalie	…it's that smell of sulphur, it, it just makes you wanna gag, it just, it makes you want to stop breathing, it just....

TITLE CARD	The Corridor of Uncertainty

TITLE CARD	Late March, Sunday Morning, 7:11am’

Natalie	You know they have a floating golf course here?

Blaze	What do you mean floating?

Natalie	Like on a pond.

Blaze	On a pond?

Natalie	Mmm.

Blaze	Ye, see now, my golf ball goes into the water, do the caddies have scuba diving tanks to retrieve it?

Natalie	It turns into fish food. It's totally eco-friendly.

Blaze	You serious?

Natalie	I’m serious.

Blaze	No shit.

Blaze	Sorry.

Natalie	What a place.

Blaze	Miss G, it's a Sunday morning. Don't you have a life?

Godi	This is your life not my life.

Blaze	In that case, how can I help you?

Godi	Poseidon have finally sent Mila's contract.

Godi	Now of course they want sign-off by tomorrow.

Blaze	Ah, these production companies, they work on their own rules.

Blaze	When was it when they sent the contract again?

Godi	About 11 o'clock on a Saturday night.

Blaze	And yet they expect you to give them an answer and have it signed off by Monday morning?

Godi	I think it’s a negotiating tactic.

Godi	They're offering like a, a call rate as opposed to monthly or global fee.

Blaze	Are you happy with the deal?

Godi	Yeah only her role is bigger than the contract gives her credit for.

Blaze	Then push for more money. I mean they're producers.

Godi	Hey... are you wanting me to negotiate this thing?

Blaze	Yeah and just keep me updated.

Godi	Ok.

Blaze	Alright, thanks.

Godi	Yoh!

Christopher	Sounds like this uh, Mila character is getting ripped off.

Christopher	So tell me about this girl. 

Christopher	Is she the next Scarlett?

Godi	I think she's the next South African Theresa Russell.

Christopher	High praise indeed coming from you Godi…

Christopher	Only thing is, I didn't realize the company had become so versatile.

Christopher	Now, I don't do monogrammed hankies.

Christopher	But if I did, I'd do the letters MFS.

Christopher	You wanna know what that means?

Christopher	Majority fucking stakeholder.

Christopher	If we represented actresses there'd be a folder on my desktop because you'd make sure of it, because nothing gets passed you, right?

Godi	Yeah.

Christopher	But there isn't.

Christopher	Do you wanna know why?

Christopher	Because we don't represent actors. 

Christopher	So the question is…

Christopher	How long?

Godi	About six weeks.

Godi	But to be fair... I've been doing all the work…

Christopher	Thanks.

Godi	Ugh, shit.

Lesego	Are you gonna tell me what's bothering you?

Lesego	Okay... and if I wanted a blow-up doll on this trip, I would have just shopped on Amazon. 

Lesego	Would’ve worked out cheaper.

Lesego	I mean, this place is made for, for sex. What else is it for?

Nina	We weren't having sex?

Lesego	No, we were not having sex, I don't know, whatever that was.

Nina	You take me for granted.

Lesego	No, no, it's not that.

Nina	I'm worth something, Lesego.

Nina	If I was back home now they would be lining up! Around the block!

Lesego	Where the hell am I Nina, huh?

Lesego	I mean, whose bed am I in?

Nina	You're not here. You're with all those models, those girls, married women. 

Nina	I know, Lesego, okay?

Nina	That night we went out with Herve? That stupid slut.

Lesego	Hey... it's like you just kinda remember only the stuff that you wanna remember.	

Nina	What you talking about?

