ÍCARO	Vai conhecer o Agulhas, não é o maior, mas é agitado. 	

LUIZA	Eu quero saber se vai dar conta da nossa demanda. 

LUIZA	A gente precisa de vinte quilos. 

RESPONSÁVEL GARIMPO	Não dá, ele não deixa acumular. 

LUIZA	Ele quem? 	

RESPONSÁVEL GARIMPO	O dono. 

JUSSARA	Toda semana ele manda um barco aí, buscar um lote. 

LUIZA	Como é que é esse barco e que horas ele chega? 

JUSSARA	Um barco azul e branco, às dez horas. 
 
ASSALTANTE 	Perderam, hein!

GORDO	Perdeu

ASSALTANTE	Perdeu. 

JOÃO	Calma, calma. 

LUIZA	(REAC) 

ASSALTANTE 	Cadê a porra do ouro?

MIGUEL	Enquanto a mineração não for legalizada na reserva, essa guerra vai continuar. 

NATALIE	Destruir tudo isso, por que, Miguel, por ouro? E estou parando de usar ouro, a partir de hoje.

MIGUEL	E agora, dona Olga? 	

OLGA	Sabe o quê que você tá sentindo agora? Uma ferida nessa tua vaidade. (off) É difícil perder "pra" (para) uma mulher.  

ANDRÉ	Eu não estou seguro do que a gente tá fazendo.

CLARA	É só dar o lance mais alto, na menina que eu te falei, que eu resolvo. 	

CAFETÃO	Joyce, quatorze aninhos. 

ANDRÉ	Trezentos. 

CLARA	A gente vai cuidar de você, levar você pros seus pais.  

JOYCE	(REAC) Você não tem noção de quem são os meus pais.

DÉCIO	Depois você explica pro Oscar, porque ele nunca teve um sócio como eu. Porque o Miguel não vai ficar nada feliz de ter sido roubado.

ROSA	O Otávio só usava esse aparelho "pra" (para) falar com a fonte dele.

VERÔNICA	Por que é que você não me deu isso aqui antes? 

PONTOCOM	A linha telefônica tá registrada aqui em Cari; Creche Karen Kiriakos, e é uma das escolas que está ligada ao fundo filantrópico dela. 

LÍGIA	É, faz tempo que eu não vejo esse número. Eu mesma pedi pro doutor Felipe cancelar. Ele que é o nosso anjo.    

VERÔNICA	Eu não vou conseguir te explicar agora...

VERÔNICA	(viva-voz) ... Mas tudo indica que o Felipe Braga é o nosso delator. 

NATALIE	O Felipe Braga, isso, o “braço direito” (de confiança) do Miguel. 

NATALIE	(REAC) (off) Chegou a hora deu fazer uma visita "pra" (para) ele.
NATALIE	Não fica mais fácil falar pessoalmente? 

FELIPE	(REAC) O quê que você tá fazendo aqui? 

NATALIE	Então é você que me liga. 

FELIPE	Eu acho que é melhor você ir embora. 

NATALIE	É um pouco tarde demais "pra" (para) isso, na é não? E se não fosse a sua denúncia anônima, a minha ONG não tinha se mudado "pra" (para) Cari. 

FELIPE	E quem foi que disse que fui eu que fiz a denúncia? 

NATALIE	Aproveita que estamos só nós dois aqui e me diz, qual que é a ameaça de desastre ambiental que você falava no dossiê? O quê que pode ser pior, do que todos aqueles garimpos ilegais. 

FELIPE	Eu não sei do que é que você está falando. 

NATALIE	Sabe, é claro que você sabe. Você e o Otávio se comunicaram continuamente antes da morte dele. O telefone que ele usou "pra" (para) falar com você, tá com a gente, inclusive o dinheiro que ele te deu "pra" (para) fugir do país, foi a minha ONG que conseguiu. 

FELIPE	(REAC) 

NATALIE	Se a Karen sabia o pai que ela tinha, você também sabe. Por que é que você vai continuar defendendo aquele sujeito? 

FELIPE	(REAC) Se o Miguel for preso, a Gabi não tem ninguém. 

NATALIE	Ela tem você. 

FELIPE	(REAC) Não se eu for assassinado. Se você chegou até mim, é uma questão de tempo. (REAC) Eu não vou falar mais nada, leva isso daqui, me deixa em paz. 

NATALIE	Eu vou dar um jeito de tirar você do país e ficar seguro, daí você diz o que sabe, e quando a gente pegar o Miguel, você volta e fica com a Gabi. 

FELIPE	(REAC) 

MIGUEL	Oi. 

NELSON	(celular) Alô, Miguel. 

NELSON	O seu queridinho, Felipe Braga... 

NELSON	(celular) É o delator. 

MIGUEL	(celular) Como assim? 

NELSON	E o quê é que a Natalie estaria fazendo na casa dele então? 

MIGUEL	(REAC) 

NELSON	(celular) Eu te mandei uma foto...

NELSON	... Que o meu homem tirou. 

MIGUEL	(celular) Ainda não recebi. 

NELSON	(celular) Você vai ver. Depois você me fala o que fazer sobre isso.  

NELSON	Agora eu estou focado em descobrir quem é que anda te roubando. 

MIGUEL	Faça isso. 

LUIZA	É porque se o Miguel, se ele já é dos garimpos, "pra" (para) quê que o cara vai querer legalizar a reserva? Ele vai abrir concorrência com outros empresários, vai ter que pagar imposto. 

VERÔNICA	É, eu sei, tem peça faltando nesse jogo. 

LUIZA	Peça não, né, a tabuleiro todo. 

VERÔNICA	Agora o jogo mudou, tem o Felipe. A Nati esteve com ele. 

LUIZA	Se eu fosse vocês, eu não contava com esse cara não. 

VERÔNICA	Não é assim que a coisa funciona, Lú. 

LUIZA	Se ele quisesse falar, ele já tinha falado, ele tá com medo. 

VERÔNICA	Claro que ele tá com medo. Qual o nosso trabalho? Fazer com que ele se sinta seguro. 

LUIZA	Meu não, o seu trabalho esse. 

VERÔNICA	É o nosso trabalho. 

LUIZA	(RISO) 

VERÔNICA	Engraçadinha. 

GREGORY	E é por isso que nós estamos aqui hoje, juntos. A humanidade precisa da biodiversidade amazônica, a cura do câncer, a cura do Alzheimer, a saúde, a segurança do clima mundial, tudo isso está lá. E nós estamos dispostos a ajudar cientistas e pesquisadores que precisarem de financiamento. 

GREGORY	Obrigado. 

NATALIE	Ele precisa sair rápido do país. 

GREGORY	Eu concordo com você. Onde é que ele tá agora? 

NATALIE	No apartamento dele. 

GREGORY	"Pô" (poxa), Nati, não devia. 

NATALIE	É, eu sei. (REAC) 

GREGORY	Bom, onde é que a gente se encontra, "pra" (para) organizar tudo?

NATALIE	Na minha casa. É bom que você vai conhecer a Verônica. (RISO) 

GREGORY	Finalmente né? 

NATALIE	Finalmente. 

RECEPTOR	(REAC) 

NELSON	(REAC) 

RECEPTOR	(REAC) 

RECEPTOR	(REAC TENTA RESISTIR)

NELSON	(REAC)  

RECEPTOR	(REAC DESESPERO CONTINUA COSPE REAC)  

NELSON	Eu vou tirar esse pano da tua boca, mas a única coisa que eu quero ouvir, é o nome do teu chefe. 

RECEPTOR	(REAC) 

NELSON	E você tem uma chance. 

RECEPTOR	(REAC) Ai. (REAC)  

NELSON	 Eu ainda não ouvi o nome. 

RECEPTOR	(REAC) Não. Oscar. Oscar, Ô, Oscar. O Oscar que pagou pelo roubo. (REAC)  

VERÔNICA	Tá maluca? 

LUIZA	Hmm. 

VERÔNICA	Quer ser presa aqui dentro? Anda, que você nem fuma mais, anda, passa. 

LUIZA	Tá. 

VERÔNICA	Vai. 

VERÔNICA	(REAC) 

LUIZA	Bom dia. 

VERÔNICA	Bom dia. 

MARIANA	Bom dia. 

VERÔNICA	A minha cliente também não concorda com a cláusula dois, ponto, nove; o menor só poderá viajar com sua mãe, com prévia autorização do pai. 

LUIZA	(REAC) 

VERÔNICA	Isso é descabido, Excelência. 

