
on-screen text	Aquadream

Randy Paret	This is it.

Devon Macharis	Really?

Devon 	Aquadream?

Randy	Yes.

Devon	Never heard of it.

Randy	It's new here.

Devon	Oh.

Devon	Are you going to wait or are you heading back to the office?

Randy	No, I'm going to wait here.

Devon	Here?

Randy	Sure. Watch a movie in the van or something.

Devon	Oh well... Each to their own job, I guess, eh, Randy? (chuckles) See you later.

Randy	Have fun.

Devon	See you.

Randy	Yes.

Randy	(to himself) Randy, man, you're playing with fire.

Randy	(sighs)

Devon	I'm from Kaulille. Cobbenberg, a new district.

Wendy	No, I don’t...

Devon	No? You should visit sometime. (laughs)

Wendy	OK. (laughs)

Devon	Beautiful, isn't it? A beautiful spa. Now that’s craftsmanship. (laughs)

Wendy	(giggles nervously)

Devon	That's a pretty necklace, Wendy. It really is.

Wendy	Thank you. (giggles)

Devon	Selfie?

Wendy	Yes.

Devon	Yes? Don’t forget to smile.

Wendy	Alright. (giggles)

Devon	(to the camera) I always start by taking a photo. Just a snap with my phone. Always fun. You've already touched each other and you've captured a happy moment.

Devon	(to Wendy) Nice, right?

Wendy	Yes, great. (giggles)

Devon	(to the camera) And you'll need that for the next step.

Devon	(to Wendy) Wendy, I'll have to dampen the current mood.

Wendy	Oh dear.

Devon	Because I have to ask for payment first.

Wendy	Yes, of course.

Devon	I know, it makes it feel cold and unfriendly, but once that's out of the way, we don't have to think about it anymore and we can fully focus on each other.

Wendy	Yes.

Devon	(to the camera) Standard phrase. Short and quick, get it over with. And now it's time to fuck.

Devon	Come on, jump in.

Wendy	No.

Devon	Why not?

Wendy	I’m scared.

Devon	You can stand here, you know.

Wendy	You won't think I'm pretty.

Devon	Come on now...

Devon	Hey, Wendy. Come here. Take it easy. We've got all the time in the world.

Devon	(to the camera) This often happens in saunas.

Devon	(to Wendy) Touching is allowed. (laughs)

Wendy	(laughs)

Devon	Grab me tight. (laughs)

Wendy	(laughs)
Devon	I have an idea.

Wendy	What are you going to do?

Devon	Hup. Hey.

Wendy	(laughs nervously)

Devon and Wendy	(kiss)

Wendy	(laughs)

Wendy	(takes a deep breath)

Wendy	(breathes quickly, laughs)

Devon	(spits water out)

Wendy and Devon	(giggle)

Devon	(teasingly) Wendy.

Devon	What's your record for holding your breath?

Wendy	No idea. I always get water up my nose.

Devon	(giggles) Oh dear. Mine is '".

Wendy	(startles) Oh.

Randy	Mieke.

Mieke	Hi, Randy.

Mieke	You’re tall.

Randy	Oh. Thank you.

Randy	You too.

Mieke	I'm standing on the doorstep.

Randy	(laughs)

Mieke	Come in.

Randy	Yes. Oh, Mieke, I just wanted to say, I've only come to talk.

Mieke	Yes, you said that already. Come in.

Wendy	(panting faster and faster)

Wendy	Stop. (pants)

Devon	Hey, what's the matter?

Wendy	(breathes quickly) I booked you for two hours. On the website it said that includes one massage and two orgasms.

Devon	Correct.

Wendy	(breathes quickly) If I had come now, would that have counted as one of the two orgasms?

Devon	Yes, I suppose, yes.

Wendy	(breathes quickly) I’m glad I stopped you then. First I want a massage and then I want two orgasms. First a vaginal one and then a clitoral one.

Devon	OK.

Wendy	And in that order.

Devon	Sure.

Devon	(to the camera) Never forget what you are.

Devon	(to Wendy) Where are you going?

Wendy	To the toilet. I think I had some bad mince for lunch.

Devon	OK, Wendy.

Devon	(to the camera) A product someone has paid money for.

Devon	(shouts at Wendy) Will you shower after going to the toilet?

Wendy	Yes.

Devon	Thank you.

Devon	(to the camera) You're a product, but not a cleaning product.

text on motorbike	Jay Vleugels

Jay Vleugels	(shouts) Hi!

text on sign	Hanz Rimmer Consulting


Jay	(sighs) Good morning, Devon.

Jay	(kisses Devon) Will you do my hair later?

Devon	Sure.

Jay	(annoyedly) Come on. (sighs)

Jay	Good morning, Randy. (kisses Randy) Everything OK?

Randy	Yes.

Jay	(sighs deeply) Where’s Wes?

Randy	In the toilet.

Jay	Red or green?

Randy	The green one is yours.

Jay	Green.

Jay	You only need the whites, right, Randy?

Randy	I didn't get that, Jay.

Jay	The eggs. You only eat the whites, right?

Randy	The egg whites are for Devon.

Jay	Can I have some yokes to put on my bun?

Randy	Of course.

Jay	I love an egg. In China, they bury their eggs to...

Randy	Callboys, good morning, Randy speaking. Hi, Myriam.

Jay	Myriam... (chuckles)

