RADIO ANNOUNCER	Nathan Redding is in hot water.  The singer recently got in an accident, crashing into his ex-girl friend's car, and rumors are that his marriage is down in the rocks as well. More on that when we come back and we'll also be giving away tickets to Nathan's concert next month. 

JAMES	Mary, hey, do me a favor. Did you hear about Nathan Redding? Yeah, the singer. Can you call his manager and see if you can schedule me a meeting? Whenever, I'll make myself available. 

JAMES	Uh, just grabbing some breakfast. Gotta swing by my house but I'll be right in. Alright. Thanks.

ANCHOR	Fresh off a multi-platinum selling record, Nathan Redding is falling from favor after he ran into his ex-girl friend's car this week.  Eye witness accounts are mixed but some say the wreck looked deliberate. 

NATHAN	I didn't ram into her.

JAMES	Well, why don't you tell me what really happened.

NATHAN	It was an accident. I was driving, I was on the phone, I didn't stop in time.  No one was hurt, but the car I hit it belonged to my ex-girlfriend. 

JAMES	She was driving. 

NATHAN	Yeah. Police came, reports filed, insurance claimed.  It's all settled there, but my publicist, who I fired now, said that me and my ex were on great terms and see each other often. 

JAMES	And you're married. 

NATHAN	Yeah, that's why I called you Mr. Reed.

JAMES	James, please.  I can help you.  Our firm is the best for a reason, but I need to know how serious you are about fixing this. 

NATHAN	How serious I am? 

JAMES	Are you leaving anything out that can come back to haunt us both? 

NATHAN	Kara, my ex, we didn't part on the best of terms. 

JAMES	So she won't be helping the situation.

NATHAN	My concert tour isn't selling well, people are believing what they're reading. But the worst part is it's hurting my marriage. My wife doesn't like being dragged through the mud and she doesn't like me being dragged through the mud either. 

JAMES	Take some time off, spend it with your wife. 

NATHAN	But the tour dates are public, tickets have been sold. Cancelling sends the wrong message. 

JAMES	I didn't say cancel. Reschedule five or so concerts, take some quality time away from the spotlight.


NATHAN	Yeah, that's kind of a big deal. 

JAMES	We'll release an appropriate statement about the change, make no mention of the ex and move on.

NATHAN	Why no mention? 

JAMES	You don't bring the garbage back in the house.

NATHAN	Okay. 

JAMES	Okay? 

NATHAN	You're surprised?

JAMES	Yeah, I'm used to stubborn resistance. 

NATHAN	You know, when it comes to the ones you love, you make certain sacrifices, no matter the cost. When do we make the announcement?

JAMES	Hello, Mary. 

MARY	Good morning, James. 

DAWSON	James. You got Nathan Redding on board? 

JAMES	Yes sir. 

DAWSON	Keep it up. 

JAMES	Will do.

KATE	That will get you a hefty bonus. Want to blow it all by taking me out? 

JAMES	Maybe later. 

KATE	Tight wad.

JAMES	Oh, come on.

KATE	What?

JAMES	My lunch is missing, again.

JAMES	It could be any one of them. 

KATE	You have to let this go. 

JAMES	Randall, maybe?

KATE	Why don't we go out for lunch? 

JAMES	Or Mary. 

KATE	There's this place I love, it's around the corner, and it's like. . . 

JAMES	Look at Carol. 

JAMES	This is ridiculous. I had something good today too.

KATE	What, like Chinese take out? 

JAMES	That never gets stolen. Steak cutlets.
	
KATE	Wow, they are paying you too much. 

JAMES	I've earned every penny. 

KATE	And I haven't?

JAMES	You are amazing. 

KATE	That's more like it. Come on, let's go. 

JAMES	I can't, I've got a meeting in ten minutes. 

KATE	Alright, well, I have an Asian salad left over from yesterday.

JAMES	Oh. No thanks.

JAMES	Hey, yeah I'm almost ready.  We have reservations, we're gonna be fine. Are you ready? Alright, alright.  See you soon. 

JAMES	Oh, come on.

KATE	So he gets into this fight in public.

JAMES	I saw the photos. 

KATE	Yeah, and he's thinking we should make it look like it's the other guy's fault. 

JAMES	You are the spin doctor.

KATE	True, but come on, you'd think he'd be a man and own up to up.

JAMES	Is that what you're gonna have him do? 

KATE	No, I'll spin it. I have a really good plan, actually.
JAMES	Killer instincts. 

KATE	If only you had a little more. 

JAMES	It's good that I don't. That's what makes us a good pair. 

KATE	Do you ever think about the future. 

JAMES	You mean space ships and hovercrafts, or us? 

KATE	More about career.

JAMES	Um, yeah. 

KATE	And?

JAMES	Well, I'm due for a promotion soon. 

KATE	Is that what you want? 

JAMES	I don't know. For now, yeah. Sure. 

KATE	Don't you love this? 

JAMES	Cleaning up people's messes?

KATE	It's thrilling. 

JAMES	Not exactly. 

KATE	You meet a lot of people, and powerful people. 

JAMES	It doesn't really do it for me. 

KATE	You know why I like it?

JAMES	Why? 

KATE	I like seeing them squirm.

JAMES	Squirm? 

KATE	With all their money and fame they need me to exert some influence.

JAMES	You are amazing. 

KATE	And don't you forget it.

JAMES	You're gonna take my sandwich? I'll teach you. Let's see if you enjoy this one. A little Tabasco sauce. Help that go down a little bit better. A little more. Wasabi. Perfect. 

JAMES	I'll teach you to take my sandwich. Oh, yeah, you're gonna like that.

JAMES	A little pepper. Yeah, why not? Cayenne. You're gonna like that. Alright.

JAMES	Hello? I know, I know, it's not fair. It's the law of public relations. In a perfect world you get community service, but when everybody knows about it there's other consequences.

JAMES	Look, I'm working on the release right now. I'll send it over to your team before I contact anyone else. Okay.

KATE	Did it happen again?

JAMES	Yep. 

KATE	Anything?

JAMES	Not yet. 

KATE	This isn't low fat.

JAMES	Where's Carol?

KATE	You're kidding. 

KATE	What did you put on it? 

JAMES	A little of everything.

MARY	James. 

JAMES	Hang on.

MARY	Your mom called. 

JAMES	She called you? 

MARY	She left a message, she said she's been trying to get a hold of you. Some family emergency at home. I guess she just started trying random extensions.

JAMES	Thanks. 

MARY	You're welcome.

BARBARA	Jimmy, something's happened to your dad. We've been calling everywhere to reach you but you haven't answered. Call as soon as you can.

JAMES	Hey, you got a minute? 

DAWSON	Sure.

JAMES	You alright?

DAWSON	Something I ate. 

JAMES	Hey, uh, I need to take a few days off.

DAWSON	Anything wrong?

JAMES	No, it's my Dad. He's sick.

DAWSON	I hope it's not serious. When will you leave?

JAMES	Still checking flights. Probably, uh, tomorrow. 

DAWSON	And your work?

JAMES	Well, Kate and Mary are going to help out, and I'll be on call as needed. I'll be gone a week tops. 

DAWSON	Okay, take the time you need.

JAMES	I'll be back in a week.

KATE	Thai food? 

JAMES	How about pizza, I never now what to get at that Thai place. 

KATE	I'll order for you. Hi, I'd like. . . . Fine, I'll hold.  Is this it?

JAMES	Yeah. 

KATE	Reed Mill Bed & Breakfast. 

JAMES	Yeah, real exciting.

KATE	It's quaint.

JAMES	Sure, if you're staying there for fun. 

KATE	Oh, you don't have fun? 

JAMES	Hauling guest bags around cleaning up after the rowdy ones, repairing toilets. No. 

KATE	You don't have to go.

JAMES	It's my dad. 

KATE	Where is this again? 

JAMES	Idaho.

KATE	Oh yes, I'd like to order one basil egg plant, one Tom Yung Gong, one red curry dish, extra hot please, and your spinach tofu stir-fry.

LINDSAY	Jimmy!

JAMES	Hey, Lindsay.  How are you?

LINDSAY	Better now that you're back. 

JAMES	How's dad? 

LINDSAY	Mom's bringing him home. 

JAMES	Already?

LINDSAY	She said the doctors kicked him out the door since the stroke was only mild. 

JAMES	Sounds like mom.

LINDSAY	I know.  

LINDSAY	There're back!

JAMES	Hey mom. 

BARBARA	You should have called. We could have picked you up at the airport. 

JAMES	I didn't want to inconvenience anyone. 

BARBARA	Lindsay, there's a walker in the back. 

LINDSAY	A walker?

BARBARA	Grab it. 

LINDSAY	Yeah. 

JAMES	Hey dad. 

HENRY 	Hello, son.

JAMES	Can I help you get out of here? 

HENRY 	Yeah.

HENRY 	Uh, okay. 

JAMES	You alright?

HENRY 	Oh, it's good to be home.

BARBARA	Okay, Lindsay, back to the chores now.

HENRY	I love you sweetie. 

LINDSAY	I love you too. 

BARBARA	I'll get you something to eat. I don't want taking all those pills on an empty stomach. 

HENRY 	Thanks, Barb.

HENRY 	How was your flight? 

JAMES	Fine. You look better than I expected. 

HENRY	Your mom made sound like I was at death's door.

JAMES	You can't take a stroke lightly. 

HENRY 	I'll be fine. Just gotta get back on my feet. Can you give me a hand with this please?

JAMES	Uh. So, how serious was it, really?

HENRY	I was just doing some chores. I fell down some how and then I uh, had trouble getting back up.

