CHARACTER	Dialogue: CASTILIAN
POLICÍA POR TELÉFONO	¿Policía, dígame?
	
VERÓNICA	¡Ayuda! ¡Ayuda, por favor!
	
insert	MADRID. 15 DE JUNIO. 1991
	
insert	01:35 A.M.
	
VERÓNICA	Está dentro.
	
POLICÍA POR TELÉFONO	Cálmate para que pueda entenderte.
	
POLICÍA-VERÓNICA	-Por favor tiene que venir. -¿Qué sucede?
	
VERÓNICA	¡Está dentro! ¡Está dentro!
	
POLICÍA	Por favor, tranquilízate.  Descríbeme lo que estás viendo. ¿Ha entrado alguien en tu casa? Hola.
	
POLICÍA EN LA CALLE	Inspector. Inspector, es el edificio de ahí, el tercero C.
	
VERÓNICA	¡Está aquí!
	
NIÑO	¡Mamá! ¡Mamá!
	
POLICÍA	¡Inspector!
	
POLICÍA POR TELÉFONO	Vamos a mandar una patrulla inmediatamente, necesito que me des tu dirección.
	
VERÓNICA	Calle Gerardo Núñez, número 8.
	
POLICÍA POR TELÉFONO	¿Sigues ahí? ¿Hola?
	
POLICÍA POR TELÉFONO	Atención compañeros tenemos un incidente en la calle Gerardo Nuñez nº 8. Todas las patrullas disponibles que se desplacen hacia allí. Repito Calle Gerardo Nuñez nº 8.
	
CARTEL	EN LA MADRUGADA DEL 15 DE JUNIO DE 1991 SE RECIBIÓ UNA LLAMADA DE AUXILIO EN LA COMISARÍA 02-12 DE MADRID. ESTA HISTORIA ESTÁ INSPIRADA. EN EL INFORME POLICIAL REDACTADO POR EL INSPECTOR A CARGO DEL CASO.
	
POLICÍA POR RADIO	Atención, compañeros, confirmado. Son cuatro hermanos, quedan dos arriba. 

CARTEL 	TRES DÍAS ANTES. JUEVES 12 DE JUNIO DE 1991
	
VERÓNICA	Irene, primera para el baño. Lucía, vamos. Levántate ya. No hagas ruido. Venga, nene, arriba. Venga, que vamos al 
	cole.
	
NENE	Tengo ganas de ir al cole.
	
VERÓNICA	¿Quieres ir al cole? Muy bien.
	
VERÓNICA	-¿Otra vez pis? -

NENE	Sí.
	
VERÓNICA	Ven. Ve al baño y que te lave Irene.
	
NENE	¡Vero!
	
VERÓNICA	¿Qué pasa?
NENE	Irene no me deja entrar.
	
IRENE	-¡Que me estoy duchando!

VERÓNICA	-No grites.
	
NENE	El nene se ha vuelto a mear. Ayúdale a lavarse, que para eso eres la mayor.
	
IRENE	Vale.
	
LUCÍA	Que te he oído, que la mayor soy yo, que salí antes.
	
VERÓNICA	-¿Has puesto la leche a calentar?

LUCÍA	 No.
	
VERÓNICA	Pues vaya con la mayor. ¡Lucía! Fíjate un poco, por favor.
	
LUCÍA	Nos ha dicho la profe que llevemos unas fotos para mirar el eclipse.
	
VERÓNICA	-¿Unas fotos?  

LUCÍA	-Sí.
	
IRENE	Te toca. Fotos no, tenemos que llevar negativos de fotos para ponérnoslos delante de los ojos.
	
LUCÍA	¡Qué asco! La toalla huele a pollo. Hueles a pollo mojado.
	
IRENE	-¡Déjame! ¡Vero!

VERÓNICA	 Lucía, deja en paz a Irene. Cógete una toalla de las que hay tendidas fuera. Llevas los cordones desatados. Y tú me  podrías haber dicho lo de las fotos anoche.
	
NENE	-Yo, yo, yo, yo, yo.

VERÓNICA	 Vale, vale. Tú, tú.
	
MADRE	-¿Todo bien?

VERÓNICA	 -Sí.
	
