EM FAMILIA VO TCI EP 73-H264
21/04/2016

(BOUCLE 1 - 10:00:00:00)
		01

FELIPE	Le père de Bia... c'est Fernando.

FERNANDO	(ah) Je le savais !

JAIRO	C'est quoi ce délire ?

VIRGILIO	Félicitations ! (rire)

FERNANDO	(h) Je le savais !

JAIRO	N'importe quoi ! Vous essayez de m'arnaquer !

VIRGILIO	Mais non, pas du tout, voyons. Félipé a dit qu'il s'agissait d'un examen scientifique irréfutable, Jaïro.

FEMME PASTEUR	Désormais, vous voilà unis par les liens du mariage tels qu'ils sont stipulés dans le code civil brésilien.

FEMME PASTEUR	Je suis particulièrement ravie d'avoir officié pour vous quatre.

FEMME PASTEUR	Félicitations. Et vive les mariés.

JAIRO	(pleurs___________________________________________________)

JAIRO	(pleurs______________)

JULIANA	Tu n'as pas à avoir honte de pleurer. Je trouve ça émouvant.

JAIRO	(pleurs)

FERNANDO	Tu veux jouer ? Hmm ? On joue tous les deux ?

FERNANDO	(h____) (hh__)

FERNANDO	(petit rire)

BIA	Faut pas que tu pleures, papa.

FERNANDO	(sniff)

FERNANDO	(hh)

(BOUCLE 3 - 10:02:13:01)
		03

GUIOMAR	(ah) Madame Juliana, vous m'avez fait peur.

GUIOMAR	(h)

JULIANA	Tout le monde est parti ?

GUIOMAR	Ça fait un moment, oui.

GUIOMAR	(euh) Jaïro est parti en dernier et c'est moi qui ai mis Bia dans son lit. Mais comme vous dormiez et je n'ai pas voulu vous réveiller.

JULIANA	Oui, oui, c'est vrai. Jaïro s'est endormi à mes côtés et je n'ai pas vu l'heure qu'il était quand il est parti d'ici.

GUIOMAR	Et bien Jaïro est passé par le salon. Il (hh) m'a regardée de travers. Il a pris une bouteille de Whisky et puis il est parti.

JULIANA	(mhh)

JULIANA	Je crois qu'il va trop boire ce soir, hein.

(BOUCLE 4 - 10:02:42:03)
		04

JAIRO	Si vous voulez tout savoir, elle m'a trompé.

JANICE	Je l'ignorais.

YOLANDA	Mais avec un homme beaucoup mieux et plus convenable que toi. Jaïro. Oui, tu vois, Monsieur Fernando en vaut la peine, je trouve ça très bien.

JAIRO	(ah) Allez donner votre avis ailleurs. Ça m'intéresse pas. Allez, sortez de chez moi.

JANICE	(rire______________________)

CARLOS	(rire______________________________)

MILTON	(rire_________________________)

JAIRO	J'ai pas à vous supporter sous mon toit.

YOLANDA	Je pars avec grand plaisir, Jaïro. Tu sais pourquoi ?

YOLANDA	Parce que je ne mettrai plus les pieds dans cette maison, tu entends ? Parce que j'ai, (h) j'ai honte tu vois. D'ailleurs toi non plus tu ne mettras plus les pieds chez moi (h) et puis quand je voudrais voir ma petite-fille, je parlerai directement avec Juliana.

JAIRO	C'est ça, du vent ! Vous me rendez service ! Ne revenez pas, je vous supporte plus.

JANICE	Ça alors !

AMBIANCE	(brouahah)

JANICE	(rire__________)

CARLOS	(rire_________)

JAIRO	Cette femme hante ma vie !

MILTON	Tranquille, tranquille, écoute-moi.

MILTON	Écoute-moi, je crois que tu t'es fait avoir comme un bleu.

JANICE	(rire)

AMBIANCE	(ambiance rire)

JAIRO	(rire forcé)

JAIRO	Dégagez ! Allez, dehors ! Sortez tous de chez moi ! Dehors !

AMBIANCE	(brouahah_________________________________________________________________________________________________)

JANICE	(oh) Tu nous mets à la porte ? Jaïro, ça va pas, tu débloques complètement !

CAROLINA	Comment ça____ ?

JANICE	(ah___) On y va___ !

JAIRO	Dehors ! Fichez le camp de chez moi !

JANICE	Il veut plus de nous.

CAROLINA	Si t'étais sorti avec nous, t'aurais pas été cocu !

JANICE	Ouais, à la tienne !

CAROLINA	Tu l'as bien mérité !

JAIRO	C'est ça, mieux vaut être seul que mal accompagné ! Fichez le camp d'ici !

CAROLINA	Ouais !

CAROLINA	Adieu !

MILTON	C'était une blague, où est passé ton sens de l'humour ?

JAIRO	La fête est terminée !

JAIRO	(hé) Si ça te plaît pas, alors dégage ! Allez ! Allez, bonne soirée ! Vous me fatigué tous.

JAIRO	J'en ai vraiment ma claque.

(BOUCLE 5 - 10:03:41:19)
		05

GUIOMAR	(raclement de gorge)

FERNANDO	Bonjour_____________ !

