LA ESCLAVA BLANCA CAP20
16/09/2016

(BOUCLE 1 - 00:00:57:12)
		01

AMBIANCE	(ambiance rue)

OFFICIER	Halte là! Pourquoi cet empressement?

HOMME 1	Nous nous rendons au marché.

OFFICIER	Circulez.

HOMME 1	Merci. Bonne journée.

OFFICIER	Bonne journée.

(BOUCLE 2 - 00:01:18:06)
		02

VICTORIA	Nicolas, attends! Fais attention de ne pas glisser!

NICOLAS	Je vais faire attention.

ALONZO	Il vaut mieux que tu nous attendes ici.

GENERAL	Hors de question, je ne suis pas infirme, je sais tenir debout.

ALONZO	Alors vas-y doucement.

NICOLAS	Venez m'rejoindre.

ALONZO	Attention, papa. (Hh_!)

VICTORIA	Han!

NICOLAS	Doucement!

VICTORIA	Han!

GABRIEL	(snif)

VICTORIA	Hh_!

GABRIEL	Bon Dieu, mais keske c'est que ça?

VICTORIA	(halète) Aucune idée.

ALONZO	Ca ressemble à de l'huile.

NICOLAS	Aidez-moi, on va la ramener en haut!

VICTORIA	Remedios, je t'en supplie, réveille-toi!

GENERAL	Vous n'avez qu'à la remonter jusqu'ici et ensuite je vous aiderai à la porter.

NICOLAS	On va la mettre dans sa chambre. Faites attention à sa tête!

VICTORIA	Pourquoi est-ce qu'elle ne se réveille pas?

GENERAL	Avancez, avancez, je l'attrape.

VICTORIA	Je la tiens.

NICOLAS	Vous êtes prêts? Je compte jusqu'à trois!

ALONZO	Non, laissez-moi faire.

GENERAL	Vous pouvez y aller.

(BOUCLE 3 - 00:01:43:23)
		03

FELIPE	(essouflé)

HOMME 1	(essouflé)

FELIPE	Allez, on avance.

CATALINA	Felipe!

FELIPE	On y est presque.

CATALINA	Mais enfin, keski s'passe?

FELIPE	Pas maintenant, Catalina.

CATALINA	Qui est cet homme?

FELIPE	Ce n'est pas le moment.

CATALINA	Pardon?!

FELIPE	Hh_!

CATALINA	Comment ça, pas le moment?

FELIPE	(halète)

CATALINA	Alors tu n'as plus envie de me parler? Si je comprends bien, tu comptes faire tout ce qui te chante et moi je n'aurai qu'à me taire, c'est ça?

FELIPE	Merci. (halète) Pas maintenant, Catalina!! (halète) (court) Excuse-moi, non, ne t'en vas pas, je suis vraiment désolé. (h_/) Je ne voulais pas élever la voix contre toi, je t'expliquerait tout le moment venu. Va chercher Assomption et demande-lui des bandages et de l'alcool. (h_/) (Nasal__\) (h___/) (h_/) (h_\) S'il te plaît.

CATALINA	Assomption!

FELIPE	(h_\) (h_/)

CATALINA	Assomption, où est-ce que tu es, viens vite!

(BOUCLE 4 - 00:02:34:23)
		04

VICTORIA	Pourquoi elle ne réagit pas?

ALONZO	Hh__

GABRIEL	Doucement.

ISABEL2	Papa, et si jamais elle ne se réveillait plus jamais?

VICTORIA	Quoi?!

NICOLAS	Ne dis pas n'importe quoi.

ALONZO	C'est bon, je la tiens.

VICTORIA	Bien sûr qu'elle se réveillera, Isabel, il faut qu'elle se réveille!

GABRIEL	(h_\)

NICOLAS	Faites attention à ne pas trop la secouer, ça pourrait être dangereux.

ISABEL2	(souffle_____________________________) Doucement, vous allez la faire tomber!

GABRIEL	Allez on tient bon.

ALONZO	Tenez-la plus haut, si c'est possible.

NICOLAS	C'est sa hanche, n'est-ce pas?

ISABEL2	Non!

NICOLAS	Elle est cassée.

ISABEL2	tshh Non!

VICTORIA	Oh Seigneur, non!

NOTE	(tout le monde est essouflé)

VICTORIA	Pitié, Remedios, réveille-toi...

NICOLAS	Je vais chercher le docteur Lopez.

GABRIEL	Don Nicolas, je suis bon cavalier, vous savez. J'y vais.

NICOLAS	Très bien.

VICTORIA	Je t'en supplie Remedios... Il faut que tu te réveilles, tu m'entends? (h_/) Remedios, ne me laisse pas toute seule.

NICOLAS	Isabel.

VICTORIA	S'il te plaît.

NICOLAS	Sors d'ici, laisse-les.

VICTORIA	(snif) (h___\)

(BOUCLE 5 - 00:03:19:18)
		05

CANDELA	Ca confirme ce que je pense depuis le début. Il y a un esprit malin qui règne sur l'hacienda et qui provoque les pires catastrophes.

NOHEMI	Ca suffit, n'en dis pas plus. Tu sais ce qui t'arrivera si le maître t'entend.

