(THE INVASION: THE OUTBREAK OF WORLD WAR II
EPISODE 2: THE FIRST VICTIM)


MERE DE NIKLAS FRANK	Ce sont des enfants, vous comprenez ?

 MERE DE NIKLAS FRANK	Nous autres Allemands avons notre fierté.

HANS FRANK	Nous sommes installés dans ce pays, et en tant qu'Allemands, nous ne le quitterons jamais.

MERE DE BUDZIMIRA	Il s'appelle Tadeusz. C'est un gentil garçon. [tadéouss]

PERE DE BUDZIMIRA	Au moins, il n'est pas allemand.

GUSTAV HINTZ ENFANT	Regarde, Wojtek ! Des petits soldats. [voïtek]

WOJTEK	Ils sont allemands ?

GUSTAV HINTZ ENFANT	Qu'est-ce que tu crois ?

WOJTEK	Montre.

GUSTAV HINTZ ENFANT	On joue avec ? Tu es sous-officier, et moi, lieutenant.

WOJTEK	A vos ordres, mon lieutenant.

MARIAN JEUNE	Les dernières nouvelles !

SKIBA	Marian, je vais en prendre un.

MARIAN JEUNE	Voilà, M. Skiba.

SKIBA	Même s'il n'y a rien de réjouissant.

COIFFEUR	Quelles nouvelles ? Donne m'en trois.

MARIAN JEUNE	Merci. Le directeur est là ?

DIRECTEUR	Je suis là.

COIFFEUR	Nous allons encore souffrir.

MARIAN JEUNE	Papa.

COIFFEUR	C'est la guerre.

SKIBA	Est-ce qu'on ne ferait pas mieux de partir ?

PERE DE MARIAN	Non, chacun doit rester à son poste.

PERE DE ROMAN POLANSKI	Regarde-moi, Roman. Attention. Non, ça ne va pas. Tu appuies là, comme ça.

MERE DE ROMAN POLANSKI	D'accord. Formidable, je fais quoi ?

PERE DE ROMAN POLANSKI	Tiens-le droit ! Tiens-le droit.

MERE DE ROMAN POLANSKI	Je n'y arrive pas.

PERE DE ROMAN POLANSKI	Il est de travers !

MERE DE ROMAN POLANSKI	Je n'y arrive pas.

PERE DE ROMAN POLANSKI	Maintenant, appuie !

HANS FRANK	A partir de minuit ce soir, tous les juifs qui seront restés à Cracovie sans autorisation seront soumis au travail forcé.

15.00  MARIAN JEUNE 	« Tous les hommes de 15 ans et plus. » Les Allemands ne plaisantent pas.

PERE DE MARIAN	Il ne faut pas y aller.

MARIAN JEUNE	Je ne suis plus un enfant.

PERE DE MARIAN	Je t'en supplie.

HANS FRANK	Nous pouvons dire ici, que pour la première fois, la nation polonaise connaît grâce à nous l'ordre, le droit et la justice.

OFFICIER GESTAPO	Gestapo, ouvrez ! Ouvrez !

MERE DE BUDZIMIRA	Tire le rideau !

OFFICIER GESTAPO	Prenez vos affaires, vous avez une heure. Et pas plus de deux valises par personne.

MERE DE BUDZIMIRA	Mon ami, j'attends... J'attends mon mari.

OFFICIER GESTAPO	Là où vous allez, vous allez le retrouver.

OFFICIER ARCHIVES	Avec la remise de ce certificat, vous avez trouvé un nouveau foyer dans le Reich du Führer. Tous mes vœux de bonheur.

 MERE DE NIKLAS FRANK	Au large, bande de porcs ! Laissez-moi passer. Montrez-moi vos fourrures.

 JEUNE RESISTANT	C'est lui.

HOMME GESTAPO	Gestapo, je vous arrête. Pas de résistance, venez.

 PERE DE ROMAN POLANSKI	Ils ont emmené maman ce matin.

ROMAN POLANSKI ENFANT	Papa !

ROMAN POLANSKI ENFANT	Arrête de pleurer.

 OFFICIER SS	Vous avez osé. Vous avez été expulsées. Et à présent...Je vous retrouve ici, à Dantzig. C'est illégal ! Vous étiez dans la résistance ! Cela signifie la déportation ! Stratmann. Mon Dieu. Mon Dieu, c'est impossible. Pour le Führer, oui. Heil Hitler !

 BUDZIMIRA JEUNE	Vous êtes souffrant ? Pouvons-nous vous aider ?

OFFICIER SS	Mon fils unique. Il est... mort.

SŒUR DE BUDZIMIRA	Quel âge a-t-il... avait-il ?

OFFICIER SS	20 ans.

BUDZIMIRA JEUNE	J'ai le même âge. Vous voulez que la guerre détruise encore des vies ? Nous ignorons où sont notre père, notre mère, notre sœur. Et vous voulez nous envoyer en camp ?

OFFICIER SS	Déguerpissez. Fichez le camp ! Mais vous vous présenterez chaque semaine à la police.
1

