PIRATE	THE GOLD IS OURS!								

PIRATE	ATTACK!

BANK TELLER	AAAH!!

PIRATE BOSS LADY	HERE IS THE SAFE!

PIRATE BOSS LADY	OPEN THE SAFE, AMIGO! OR ELSE!

BANK TELLER	LO SIENTO. I DON’T EVEN KNOW THE COMBINATION!

PIRATE BOSS LADY	GIVE THE SIGNAL!

PIRATE SHIP CAPTAIN	STARBOARD TO SIGNAL!

PIRATE GUNNER	FIRE!

PIRATE BOSS LADY	HOW DO YOU LIKE MY OPENER?

PIRATE BOSS LADY	WHO THE HECK ARE YOU? HELLO AND GOODBYE.

ROLLAN	THEY CALL ME “EL ROLLAN.” I AM A LEGEND IN THESE PARTS. I’LL TEACH YOU TO ROB INNOCENT PEOPLE!

PIRATE #1	WE KNOW HOW TO DO THAT ALREADY! HAHAHA!

PIRATE BOSS LADY	YOU WOULD LOOK MUCH MORE FEARSOME IF YOU HAD A GUN OR A SWORD IN YOUR HAND.

ROLLAN	SURRENDER IMMEDIATELY OR I’LL SMITE YOU WITH MY... 

ROLLAN	...WITH THIS!

PIRATE #1	HAHA! HE’S GOING TO SMITE US WITH HIS FISH!

VILLAGE BOY #1	LOOK AT ROLLAN THE LEGEND! HAHAHA!

VILLAGE BOY #2	ROLLAN THE LOSER! HAHAHA!

ROLLAN	OKAY, I’LL SMITE YOU WITH MY TUNA!

ROLLAN	ANDALE!

PIRATE BOSS LADY	NICE DANCING!

ROLLAN	AAAHHH!

PIRATE #1	LET EVERYBODY KNOW

PIRATE BOSS LADY	YOU REMIND ME OF MYSELF WHEN I WAS YOUNG. I ALSO DREAMED OF BEING A LEGEND. SO SOMEONE GAVE ME THIS BOOK, AND SAID, “READ IT, AND GO!”

PIRATE BOSS LADY	HERE! I PASS IT ON TO YOU NOW! IF YOU WANT TO BECOME A LEGEND SOMEDAY, “READ IT, AND GO!” 


SCHOOLGIRLS	WOW! IT’A KAI AND GERDA! I USED TO BE SUCH.. IT’S HIM! OH, MY GOSH! I THINK HE LOOKED AT ME!...KAI… YOU ARE SO CUTE! HE’S EVER BETTER FROM…JUST PLAYING …CRAZY

GERDA	LOOKS TO ME LIKE THE GIRLS ARE CRAZY ABOUT YOU!

KAI	THEY’RE JUST PLAIN CRAZY. I HAVE NOTHING TO DO WITH IT!

EARL ROCULA	OH, GIVE ME A HUG!

EARL ROCULA’S CHILDREN	WE LOVE YOU, DAD! LOOK!

KAI	WHY DO THEY ENVY US? WE'RE ORPHANS WHO ARE FORCED TO TRAVEL AROUND LIKE GYPSIES!

GERDA	TO THEM, WE’RE LEGENDS! WE DEFEATED THE SNOW QUEEN AND SAVED THE WORLD!

KAI	LEGENDS? REALLY? SOMEHOW I FEEL MORE LIKE A CIRCUS SIDESHOW ACT. LIKE A SINGING DONKEY.

TEACHER	THE STUDENTS ARE JUST ARRIVING NOW. WE’LL BRING YOU OUT IN ABOUT FIVE MINUTES!

GERDA	AT LEAST WITH THESE KIDS... THERE’S SOMEONE OUT THERE WHO NEEDS US.

KAI	NO ONE WILL EVER REPLACE OUR PARENTS, GERDA.

KAI	HERE, I WANTED TO GIVE YOU THIS. IT’S A DRAWING I MADE FOR YOU. 

