WOMAN	Previously on "The Quad."

EVA	Were you just flirting with my daughter?

SERENA	Did you get a second opinion?

CECIL	Lung cancer.

EVA	What happened to her, Danny?

DANNY	Complicated choreography, ma'am.

CEDRIC	And I hear y'all got faith in that wack-ass ruby dude. Oops, I meant diamond dude.

NONI	One of them said if a dude was willing to put an instrument in his mouth, no telling what else he'll put in it.

DANNY	That's big talk from a man about to lose his spot to Casper the friendly quarterback.

MADISON	Syd, please tell me what's wrong.

SYDNEY	That's me.

TIESHA	I heard he threw the mic at Dr. Fletcher and jumped off the stage.

KIARA	There was no stage, silly woman.

HILLARE	Were you there? No.

KIARA	Okay, well, a brother who was at the party posted a video on Twitter.

BRYCE	Oh, I saw.

BARBER	Okay, so maybe the mic wasn't thrown, but I heard it definitely was tossed.

BRYCE	I'm telling you, man, I was there.

BARBER	So was Dr. Fletcher mad?

BRYCEA	 little bit. She was a little mad.

HILLARE	Cedric is crazy, and he's cute, am I right?

ALL	Yeah.

NAIL TECH	Y'all see that other video?

RACHEL	Oh my God, yes.

BARBER	I'm gonna tell you, ole boy was really getting some in those bushes. Nothing like that ever happens to me. Like, never.

BRYCE	So y'all don't think that was rape?

KIARA	You ask me, it looked like two people having sex who just happened to get caught on tape.

ALL	Mm-hmm.

TIESHA	Are you freakin' kidding me? It's clear as day she was raped.

KIARA	Not to me.

CEDRIC	I don't know about all that. I did notice she wasn't moving, though. Like she was hurt. Maybe somebody y'all know, maybe even cool with.

DR. GARNETT	All right, well, here's what we're assuming, folks. The object is moving in a straight line, right? And the rate of change of velocity is constant. All of the following are equivalent notations for dx equals a. The derivative evaluated at x equals a. But if you want to pass this class, remember these are the basics. You have to understand this material. Velocity is a vector quantity. As such, velocity is direction aware. Miss Fletcher? Miss Fletcher? Is everything okay?

SYDNEY	I'm fine.

CHIEF GAINES	Dr. Fletcher? EJ here is the one who came across the information you asked about.

EVA	You work with campus security, EJ?

EJ	Yes, ma'am. Computer and camera maintenance. I'm a computer science major, so.

EVA	Is this system wireless?

EJ	No, ma'am. All co-ax in underground conduit.

EVA	If it's hard-wired and the signal is secure, how did someone obtain the video?

EJ	Actually, it's not that difficult. Even if the system is hard-wired, you can still get into it by intercepting a password handshake, and then

CHIEF GAINES	I don't see what difference it makes. Someone got into the system. We've got an easy breach that needs to be patched up.

EVA	Did you cut and leak this video, EJ?

CHIEF GAINES	Well, of course he didn't. He

EJ	Yes, ma'am, I did.

EVA	Why would you do that?

EJ	I shouldn't have. As soon as I pressed upload, I wanted to take it back.

CHIEF GAINES	Dr. Fletcher, it's done. It's no big deal. I'll take care of it.

EVA	I asked you a question, EJ.

EJ	I'm just tired of it. Not just this school but everywhere. My cousin goes to a private school in Oregon.

CHIEF GAINES	EJ.

EJA	 dude dropped something in her drink, took advantage of her, and nothing happened. And nothing ever happens here, either.

EVA	I am very sorry to hear about your cousin, EJ. And you think this kind of thing occurs on our campus, too?

EJ	I know it does.

EVA	Hmm. Thank you for your honesty. You can go now.

EJ	Please accept my apology.

EVA	I do.

CHIEF GAINES	He's a kid. I wouldn't be too hard on him.

EVA	And what about his supervisor? Should I be hard on him?

CHIEF GAINES	You wanted information on the video and I gave it to you.

EVA	You still don't see the problem.

CHIEF GAINES	Three, four times a week those cameras catch students hooking up in every corner of this campus. And that's all they are, hookups. And that's all that video is. Two kids who had too much to drink who got caught on tape doing what they do.

EVA	That's all it is, huh? What if it's more? What if that young woman was raped? Now, given that it's at least a possibility, she deserves our due diligence.

CHIEF GAINES	Okay, so what do you want me to do?

EVA	I want you to offer your letter of resignation.


CHIEF GAINES	Why? For what reason?

EVA	HR can help you with that.

DANNY	Good afternoon, sir.

CECIL	Good afternoon. This won't take long. Y'all are aware of this video, the rape video, they're calling it?

STUDENTS	Yes, sir.

CECIL	Any of you have personal knowledge of it?

KIARA	No.

DANNY	I met with every band member individually. It's not us. We don't know who they are.

CECIL	That's a good thing. Because we are separate and apart from nonsense like that. And if I ever hear of any one of you, male or female, sexually assaulting another student, you will be dismissed immediately.

DANNY	With all due respect, sir, just because they're calling it "the rape video," it doesn't mean she was raped. It looks like two people hooking up in the bushes to me. I wouldn't do it, but obviously some people would.

CECIL	Well, this is not gonna turn into an "Express Yourself" session, drum major. Here's what you need to leave here with. We are above such behavior. We are above gossiping about who may have been involved in such behavior. Am I clear?

KIARA	Yeah.

DANNY	Yes, sir.

CECIL	Good. You're dismissed.

KIARA	Hey, I've got to tell you something.

DANNY	You know who's in that video?

KIARA	Better. Guess who told Terrence you were talking shit about him right before he sucker-punched you?

DANNY	Who?

KIARA	Mr. Diamond's fake-ass protege. My roommate's boyfriend's on the football team. She told me everything.

DANNY	Noni.

KIARA	Mm-hmm.

DANNY	Little bitch set me up.

EBONIE	Hey, Ced.

CEDRIC	Yo. What up, Eb? About time your goofy ass picked up the phone. How come you been duckin' me?

EBONIE	I ain't been ducking you, Ced. I just been busy going to all these appointments.

CEDRIC	You stay up in the doctor's office.

EBONIE	Who you tellin'?

CEDRIC	So, what the white coats say? You good?

EBONIE	Scans are clear.

CEDRIC	What about those headaches?

EBONIE	Haven't had one in a couple of weeks.

CEDRIC	Yo, Eb, that's good. Yo, yo, yo. We should go out. Let's celebrate.

EBONIE	I don't want to go anywhere.

CEDRIC	All right.

EBONIE	Look, let me call you later. Time for my head meds.

CEDRIC	You good?

EBONIE	I'm good.

JILL	How does it feel to so soundly beat the team that treated you so roughly in your first start last year?

TERRENCE	Every win okay, it's a little sweet.

JILL	You rushed for over 100 yards, two touchdowns in three quarters. Did you have any inkling this would be such a special year?

TERRENCE	Not really. But I kept believing in myself and my team, and now we're doing it. I feel really blessed.

JILL	And with good reason. Were you surprised to see your backup quarterback score two more touchdowns in mop-up duty?

TERRENCE	Like I said, I feel really blessed.

JILL	Folsom, you looked great out there. Two passing touchdowns, and our guy in the booth called them NFL throws. You've been out of football two years. How vindicated do you feel right now?

BOJOHN	I'm just glad to do my part to get a win.

PLAYER	Undefeated!

JILL	You are still undefeated. Are the Mountain Cats a team of destiny?

COACH HARDWICK	I don't know. You tell me.

JILL	Congratulations on the win.

COACH HARDWICK	Thank you. Thank you very much. Great job, coach.

EBONIE	Ma, I told you, I'm not hungry.

CEDRIC	Damn.

EBONIE	Cedric?

CEDRIC	It's like Afghanistan in here, girl.

EBONIE	Oh my God. What are you what are you doing here?

CEDRIC	I told you. We need to celebrate.

EBONIE	And I told you, I'm not going anywhere.

CEDRIC	Well, look around, Eb. You need to get out of here. I get it. The band thing went sideways on you. But

EBONIE	Sideways? Playing in Diamond's band was all I ever wanted to do since I was a kid. And I had it. I was there. You don't know what it's like to have something you love so much just taken from you.

CEDRIC	Seriously?

EBONIE	I'm sorry. I wasn't thinking. I've been wrapped up. How are you, Ced?

CEDRIC	I don't know. If you'd ask me that question five times a day, and I'd have five different answers for you.

EBONIE	They know who did it?

CEDRIC	Nah.

EBONIE	I'm sorry. That's that's crazy.

CEDRIC	That's why if I can leave the house

EBONIE	Fine. For you, I'll go.

BOJOHN	Hey, coach?

COACH HARDWICK	BoJohn Folsom, hey. What's up?

BOJOHN	You got a minute?

COACH HARDWICK	Ah, just about a minute. Meeting with the coaching staff.

BOJOHN	Okay. Um, can I sit?

COACH HARDWICK	Yeah, yeah. Have a seat. What's on your mind?

BOJOHN	You know I'm grateful you took a chance on me, right?

COACH HARDWICK	Right.

BOJOHN	I'm playing ball, getting an education. I'm just, you know hoping I haven't disappointed you in any way.

COACH HARDWICK	Let me help you out. Now, I can't put you in right now with Terrence giving us wins. Now, I see you getting more play time, though. And remember, he graduates next year, so a little patience and the starting spot is yours. If you want it bad enough.

BOJOHN	All right, then, Coach. I plan to show you how bad I want it. Get ready.

COACH HARDWICK	Hey, I'm ready. The question is, are you ready?

BOJOHN	I'm ready.

MADISON	Hey.

SYDNEY	Hey. I am happy to report, I cleaned up at Nordstrom's half-yearly sale. Picked up a little something for you, too. What? You look like you just lost your best friend.

MADISON	I didn't lose my best friend, but I am worried about her. Sit. You are dealing with a lot.

SYDNEY	All I'm dealing with right now is finding a space in this tiny closet for my new Loubous.

