Sister Zhao	Then go ahead and tell us.

Fenqi	OK.

Fenqi	Before I believed in God, I was educated by the CCP,

Fenqi	and I thought of nothing but how to make something of myself

Fenqi	and bring honor to my family.

Fenqi	Later, I tested into graduate school, and then became a lawyer.

Fenqi	I always felt that I stood head and shoulders above others.

Fenqi	So, no matter where I went, I always tried to show off,

Fenqi	expecting others to see everything my way

Fenqi	and do things according to what I said.

Fenqi	Back then, I didn't realize this was a kind of arrogant disposition.

Fenqi	I felt I was actually a pretty great person.

Fenqi	After I began to believe in God,

Fenqi	through reading Almighty God's word, I finally recognized my own arrogant disposition

Fenqi	and saw that I not only had ambitions and desires,

Fenqi	but was also very self-important and self-righteous.

Fenqi	At times, when I spoke or did things, I didn't discuss them with anyone else,

Fenqi	and insisted on getting my own way.

Fenqi	Even though I gained some understanding of myself,

Fenqi	I felt that these weren't major problems.

Fenqi	I remember once in God's word I read,

Fenqi	"To have an unchanged disposition is to be in enmity to God,"

Fenqi	and "Those who are incompatible with Christ are surely opponents of God."

Fenqi	I considered the line, "To have an unchanged disposition is to be in enmity to God."

Fenqi	So, what about people of good humanity?

Fenqi	Or people who are obedient to God?

Fenqi	Do their dispositions still need to change?

Fenqi	Just what does a changed disposition mean?

Fenqi	I thought that we were believing in Christ, and Christ is a practical God,

Fenqi	so shouldn't believing in Christ mean obeying Christ?

Fenqi	So, obeying Christ means to be compatible with Christ.

Fenqi	Especially when I thought of how I had given up my career and left my family,

Fenqi	which was me choosing to expend for God,

Fenqi	I thought, wasn't this a sign of me believing in Christ and being compatible with Christ?

Fenqi	But at the time, I didn't know,

Fenqi	and I didn't understand that I had to achieve change in my life disposition to be compatible with Christ,

Fenqi	so I performed my duties purely out of enthusiasm.

Fenqi	I also didn't know what life entry was, and didn't know what dispositional change was.

Fenqi	You could say I had no life experience at all.

Fenqi	When did I finally come to gain some genuine understanding?

Fenqi	It was after I experienced very harsh pruning and dealing

Fenqi	that I reflected on myself

Fenqi	and saw that my own nature was actually very arrogant.

Fenqi	I did not know to seek the truth or focus on practicing God's word when things happened to me,

Fenqi	and I had no obedience to God at all.

Fenqi	You could say that, basically, I was not someone who was compatible with Christ.

Fenqi	After experiencing this pruning and dealing,

Fenqi	I finally gained a real appreciation of what God meant when He said,

Fenqi	"To have an unchanged disposition is to be in enmity to God."

Fenqi	Thanks be to God!

Fenqi	In 2014,

Fenqi	because I believed in God, I was persecuted by the CCP government and forced to flee abroad.

Fenqi	After I arrived abroad,

Fenqi	my brothers and sisters saw that I expended myself enthusiastically and was of good caliber,

Fenqi	so they selected me as church leader,

Fenqi	and often recommended me to participate in certain events and give media interviews.

Fenqi	But these things became my capital.

Fenqi	I was already arrogant,

Fenqi	and with this capital, I became impossibly arrogant.

Fenqi	I felt that the church couldn't function without me,

Fenqi	and that I was doing important work.

Fenqi	When my brothers and sisters wanted to discuss matters with me that I saw as too trifling,

Fenqi	I didn't want to bother with it and thought they were making a fuss over nothing.

Fenqi	If they persisted in asking me about it, I would get annoyed.

Fenqi	"Why are you asking me about such small things? Is this worth my time? Just deal with it yourself."

Fenqi	And if they asked further,

Fenqi	then, my tone immediately became interrogative and critical,

Fenqi	and I even lectured them as if I was superior.

Fenqi	Actually, when I treated my brothers and sisters like this, even I felt it was inappropriate.

Fenqi	I felt it was hurting them in some way.

Fenqi	But you have to realize

Fenqi	that living within that arrogant disposition, I had lost all humanity.

Fenqi	Even that shred of self-reproach vanished.

Fenqi	This was how I acted at work and in life.

Fenqi	In everything I did in the course of my duties,

Fenqi	I wanted to have the final say.

Fenqi	When I discussed things with my brothers and sisters

Fenqi	and I heard opinions or suggestions I didn't like,

Fenqi	I immediately rebuked them without thinking and belittled their opinions as if they were worthless.

Fenqi	I wanted everything to go exactly as I wanted.

Fenqi	I also rarely raised problems at work

Fenqi	with my co-workers for discussion and seeking

Fenqi	because I thought

Fenqi	after doing my duties for a period of time, I had gained enough experience

Fenqi	to be able to work things out by analyzing and studying them,

Fenqi	and that my co-workers weren't familiar with the work, so they didn't quite understand.

Fenqi	I thought, if I spoke to them,

Fenqi	they wouldn't be able to add anything, nor understand things better than me.

Fenqi	I thought going through

Fenqi	the process of discussion was simply a waste of time, that it was just going through the motions.

Fenqi	So I gradually stopped wanting to work with them.

Fenqi	When my superiors came to find out about my work, I also got very annoyed,

Fenqi	and I didn't want to accept other people's supervision or promptings.

Fenqi	At the time, I actually felt that my state wasn't right.

Fenqi	My brothers and sisters also warned me, saying,

Fenqi	"You're too arrogant and self-righteous, and you don't want to work with anyone.

Fenqi	You refuse to accept others' supervision and promptings in your duties and work,

Fenqi	and you don't want anyone interfering in your work."

Fenqi	These warnings and this help from my co-workers actually were a kind of pruning and dealing,

Fenqi	but I ignored them.

Fenqi	What I felt was, even though I was arrogant,

