
(SCARLETT)



SUPPORT TECH	Multiple hostiles around the perimeter. Heavy concentration of civilians inside.	 Watch your back. Interior has guards on the move.

BAINUM	Of course. That might be difficult to arrange, for those terms. (beat) Let me know. Put it down.

CAL	You first.

GUARD 1	(foreign language) Stop! Hands up!

NURSE	Our pretend patient of the day here is Kendall, and he needs an IV. You'll be doing IVs so many times a day, you'll start dreaming of it. So, who would like to try?

KENDALL	Try?

NURSE	Relax.

SCARLETT	I'll do it.

KENDALL	Ow.

NURSE	Good. I hope you all could see that, but let's walk through the steps again. It's important before you reach for that needle to make sure you have all the equipment you need, and then to have a plan. I can't tell you how many students I've seen get trigger-happy with the needle, and that just means blood and unhappy patients Okay, last chance--we leave for Cabo tomorrow.

SCARLETT	Thanks, but no.

NATASHA	Come on, it's spring break. Get out of this cold!

SCARLETT	I should catch up on some papers—

NATASHA	Boring. At least don't stay here the whole break. Use that train ticket your dad sent you and go home—

SCARLETT	No way. He's the last person I want to see.

NURSE	Using the correct gauge for the IV is pivotal--isn't it, Scarlett?

SCARLETT	Yes. Generally, between a 14-25 gauge, depending on the age and size of the patient. The 25 range would be for children.

NURSE	Moving on. Embolisms--how to eliminate air bubbles in the IV line.

NATASHA	Sell the train ticket and go somewhere fun then.

SCARLETT	I could. But I'm staying here. 

CASHIER	$11.74.

SCARLETT	Is there something wrong with this? 

CASHIER	It's saying it's denied. 

SCARLETT	Denied?

CASHIER	Nope.

SCARLETT	Uh...

CASHIER	That's not enough.

SCARLETT	Thanks, I realize that.

ANNOYED COLLEGE KID	Hurry up!

NATASHA	I have some cash. It's not a big deal. 

SCARLETT	I know I have enough room on my cards. I'll pay you back. If I ever get off hold here...

NATASHA	Don't worry about it. Oh! Or, let's do something fun, and we'll call it even. Dancing. Let's do that.

SCARLETT	Yes, I'm still here. (beat, relieved) Good, so it's not --(beat) The co-signer froze the account? How do I unfreeze it? (beat) He has to do it. Fine. Thanks for your help. 

NATASHA	Everything okay?

SCARLETT	You know what? Dancing sounds great. 

NATASHA	Yeah?

SCARLETT	Why not.

UNKNOWN MAN	Got him. (beat) Yeah.

NATASHA	Come on, let it go. 

SCARLETT	This is a new low, even for him. 

NATASHA	I don't get why though. 

SCARLETT	He wants me to come home. 

NATASHA	Just tell him there's no way you're going to do that.

SCARLETT	That means talking to him. This is his way of forcing me.

NATASHA	Wow, I thought my dad was crazy. 

SCARLETT	There are degrees. Mine is... beyond.

NATASHA	Forget about it then.

LIAM	Hey. I'm Liam.
