
SINGER)	(music lyrics)

TOM	All right, all right.

TOM	(mumbling)

TOM	All right. So, when you save the day,

TOM	everybody's gonna be thrilled.

TOM	All right. All right.

TOM	All right. Here we go. Okay.

TOM	I gotta think Think about the future,

TOM	think about…

TOM	the power is in the future.

RICKY	Tommy, let's go! 

TOM	Is inside all of us.

TOM	That's good.

RICKY	Let's do this! Get rid of the cheap bike!

TOM	Hold on, I coming…I'm coming, I'm come…

RICKY	Come on.

RICKY	Tommy.

TOM	I'll take Sorry, sorry.

TOM	Yeah, I know…

RICKY	Hey, hey. Did you have sex last night?

TOM	No, I didn't I didn't have sex last night.

RICKY	I know. But listen, this is important.

RICKY	This is the biggest meeting of our lives…

TOM	I know, I know, I know. I'm I'm

RICKY	And you look stressed out, and I think you really needto just go to that conference room and just jerk one off. It will make you operate.

RICKY	Like, through the body.

TOM	I'm not doing this.

RICKY	You know what I mean?

LAURA JANE	Oh, is this a nice day.

LAURA JANE	You know, you guys are my best friends.

LAURA JANE	I really mean it.

LAURA JANE	Okay, puppies.

LAURA JANE	Don't be mean.

LAURA JANE	Just come this way.

LAURA JANE	Come on.

LAURA JANE	Oh.

LAURA JANE	Oh, God. Uh… oh.

LAURA JANE	No, that's my leg.

LAURA JANE	Come on.

LAURA JANE	Come on. You're gonna go this way.

LAURA JANE	Oh, that's the phone.

WOMAN	Yeah.

LAURA JANE	Oh, my God. Oh, no.

LAURA JANE	Okay. Is this him?

LAURA JANE	It’s him. Oh, God.

LAURA JANE	This is him.

LAURA JANE	Get over here. No.

LAURA JANE	Oh, God.

LAURA JANE	Come on.

LAURA JANE	Get inside.

GEORGIA	Oh. Where have you been?

LAURA JANE	Come, come, come, come, come.

LAURA JANE	Come. I'm gonna make this.

LAURA JANE	Come on. Come on.

LAURA JANE	I was walking the dog.

GEORGIA	Okay.

LAURA JANE	Nervous energy before the show.

GEORGIA	You look like shit.

