1 - CHARACTER ID,1,1,8,8,8,8,8
2 - CASS,552,3432,17294,14414,16368,13488,17085
3 - ANDREW,34,265,1395,1164,1323,1092,1385
4 - JOHN,65,375,1890,1580,1774,1464,1871
5 - MATTHEW,221,1355,6929,5795,6503,5369,6825
6 - REPORTER,7,103,581,485,566,470,580
7 - RACHEL,140,902,4733,3971,4490,3728,4675
8 - SUSIE,30,200,984,814,927,757,974
9 - JACK,2,14,70,58,66,54,70
10 - NEWSCASTER,4,31,180,153,165,138,178
11 - SECURITY MAN,19,144,726,601,690,565,713
12 - DC LAWSON,91,611,3231,2711,3080,2560,3197
13 - GHOSTLY FEMALE VOICE,24,24,132,132,96,96,132
14 - DISPATCHER,1,1,12,12,9,9,12
15 - OFFICER,4,22,108,90,102,84,108
16 - MAN,1,16,90,75,88,73,90
17 - ALEX,20,138,681,563,657,539,675
18 - DR. DEAKINS,9,59,355,305,342,292,351
19 - ACTRESS ON TV,3,24,113,92,103,82,112
20 - DOCTOR,1,6,32,27,29,24,32
21 - AMY,9,80,411,340,396,325,409
22 - KATHERINE FUSSEY,51,286,1250,1015,1242,1007,1232
