#Role,Lignes,Nb charactères,Répliques
1 - Jon,3,41,2
2 - Ole,16,223,6
3 - Eric,82,2941,74
4 - Gøril,4,25,1
5 - Stian,2,14,1
6 - Christine,148,4656,117
7 - Psychologist,6,227,6
8 - Margrethe,4,144,4
9 - Henrik,70,2698,68
10 - Politikvinne,3,78,2
11 - Bjørn,6,140,4
12 - Terese,3,27,1
13 - Politmann,1,1,1
14 - Reporter,11,1347,34
15 - Agent,1,1,1
16 - Hathaway,33,1253,32
17 - Medic,5,187,5
18 - Kai,4,44,2
19 - Pilot,3,65,2
20 - PIlot,2,37,1
21 - Diver,2,13,1
22 - Henrik (TV),1,1,1
23 - Margethe,5,290,8
24 - Henrik (tlf),1,1,1
25 - Announcer,2,36,1
26 - Pjotr,5,73,2
27 - Officer,21,653,17
28 - Police,2,141,4
29 - Radio host,2,53,2
30 - Man on radio,1,1,1
31 - Boy on radio,1,1,1
32 - Doctor,2,7,1
33 - Nurse,5,154,4
34 - Far,1,1,1
35 - Fan,2,24,1
36 - Sierra 2,2,55,2
37 - Digger,3,48,2
38 - Bystander,1,1,1
39 - NA1,3,68,2
40 - NA2,2,79,2
