#Role,Lignes,Nb charactères,Répliques
1 - William,188,13858,347
2 - Daniel,81,3863,97
3 - Cameron,55,2224,56
4 - FPassenger,2,17,1
5 - Cindy,4,204,6
6 - Control Tower,2,171,5
7 - Teresa,13,318,8
8 - Brian,1,1,1
9 - Briana,7,222,6
10 - Wendy,3,105,3
11 - Dale,34,2434,61
12 - Bennett,42,2806,71
13 - Nigel,82,5922,149
14 - Spencer,3,54,2
15 - Ray,22,1637,41
16 - Richard,2,24,1
17 - Sara,1,1,1
18 - Colonel,7,360,9
19 - Dallas,2,9,1
20 - Virginia,1,1,1
21 - Jonathan,1,1,1
22 - Evan,1,1,1
23 - Turner,10,1092,28
24 - German C,1,1,1
25 - Xavier,1,1,1
26 - Hector,12,389,10
27 - German Pilot,2,18,1
28 - British Soldier,3,38,1
29 - Soldier #3,1,1,1
30 - British Pilot,1,1,1
31 - Flight Control,6,376,10
32 - German PA,1,1,1
