filename,doc,docx,rol,rtf,txt
nicegirl,,Yes,Yes,,Yes
dragon~2,,,Yes,,
valley,,,Yes,,Yes
mystery,,,Yes,,Yes
mysti13,,,Yes,,Yes
ep20,,,Yes,,Yes
christ,,,Yes,,Yes
dragon 3,,,,,Yes
aruan06,,,Yes,,Yes
agent7,,,Yes,,Yes
rep07,,,Yes,,Yes
sister,,,Yes,,Yes
rep13,,,Yes,,Yes
rezero1,,,Yes,,Yes
death,,,Yes,,Yes
baby,,,Yes,,Yes
quad6,,,Yes,,Yes
28012020,,,Yes,,Yes
onenight,,,Yes,,Yes
scroll,,,Yes,,Yes
breaking,,,Yes,,Yes
zero06~1,,,Yes,,
uncovered,,,,,Yes
hat9,,,Yes,,Yes
agent 10,,,,,Yes
diab14,,,Yes,,Yes
mobpsy06,,,Yes,Yes,Yes
agent04def,,,,,Yes
mobpsy12,,,Yes,,Yes
agent0~3,,,Yes,,
arua02,,,Yes,,Yes
advt,,,Yes,,Yes
arua03,,,Yes,,Yes
agent0~2,,,Yes,,
mobpsy13,,,Yes,,Yes
choco,,,Yes,,Yes
sistas1,,,Yes,,Yes
redef24,,,Yes,,Yes
diab15,,,Yes,,Yes
agent 11,,,,,Yes
hat8,,,Yes,,Yes
rezer11,,,Yes,,Yes
16062021,,,Yes,,Yes
imp02s2def,,,,,Yes
imp12s02,,,Yes,,Yes
nde1910,,,Yes,,Yes
idealh,,,Yes,,Yes
quad7,,,Yes,,Yes
imp11s02,,,Yes,,Yes
rep12,,,Yes,,Yes
15022021,,,Yes,,Yes
kiz04def,,,Yes,,Yes
rep06,,,Yes,,Yes
perf,,,Yes,,Yes
agent6,,,Yes,,Yes
3secondes,Yes,,,,Yes
mystic1doc,,,,,Yes
kiz07def,,,Yes,,Yes
antiso~1,,,Yes,,
aruan07,,,Yes,,Yes
ep21,,,Yes,,Yes
mysti12,,,Yes,,Yes
resort,,,Yes,,Yes
christ~1,,,Yes,,
heros,,,Yes,,Yes
5wedd,,,Yes,,Yes
rand,,,Yes,,Yes
butchers,,,Yes,,Yes
dragon~3,,,Yes,,
dragon~1,,,Yes,,
mobpsy03,Yes,,Yes,,Yes
mysti10,,,Yes,,Yes
blithe,,,Yes,,Yes
mystic2,,,Yes,,Yes
imp03s~1,,,Yes,,
guest,,,Yes,,Yes
rep10,,,Yes,,Yes
rep04,,,Yes,,Yes
wiener,,,Yes,,Yes
quad5,,,Yes,,Yes
monster,,,Yes,,Yes
right,,,Yes,,Yes
il,,,Yes,,Yes
jimb,,,Yes,,Yes
leshyp~1,,,Yes,,
dch,,,Yes,,Yes
shark,,,Yes,,Yes
lost,,,,,Yes
diab17,,,Yes,,Yes
