Voice Over	Previously on Agent.

Christopher	You're late.

Blaze	We're going slower than expected but we gonna get there.

Christopher	The time for we'll get there has past. You've got just over 18 hours before the transfer window closes.

Jean-Pierre	You see I am the Roman Abramovic of agents.

Nick	From Berea FC!

Blaze	So you two…

Natalie	No.

Blaze	Keep it that way... 

Natalie	No.

Blaze	... at least until I take you out for coffee.

Natalie	Maybe you'll remember me this time.

Phumlani	You will sign this contract, in ink or blood.

Walter	What the hell is this?

Phumlani	All I was doing was just giving him an incentive.

Walter	The deal happens through Slindile.

Blaze	You stay the fuck away from my players.
 
Christopher	Blaze…

Christopher	Blaze!

Christopher	Blaze!

Christopher	Where are you bruv?

Blaze	Right here, waiting for you.

Christopher	I meant inside your head bruv.

Blaze	Have you ever had a dream of a place that you've never been to?

Christopher	Don't believe I have. That would mean sleeping and you know I don't sleep.

Blaze	Yeah and it's starting to show too.

Christopher	You were telling me about Phumlani and Herve. He pulled a gun on him?

Blaze	Yeah he threatened to shoot or... blow Herve's kneecaps off.

Christopher	Fuck. He is a nutter isn't he? I never thought of threatening a potential client with a gun. Probably would have saved a shit load on cocktail bills.

Christopher	Hehe, if you'da lost the kid I'd have shot you and it wouldn't have been in the kneecaps.

Christopher	But you showed me something I'll give you that.

Blaze	Is that gratitude that I sense?

Christopher	Don't get carried away.

Christopher	Big games tomorrow.

Blaze	Marlboro United and Apollo FC. Basically Lesego/Herve versus Vuyo. Not bad for a day's work, right?

Christopher	You're the black Jorge Mendes. I'm serious, I'm giving it up.

Blaze	Whatever.

Christopher	Niks, if Blaze is on the floor you hang up the phone on fucking Jose Mourinho.

Nikki	You don't really mean that.

Christopher	No but you could have played along.

Nikki	I don't mind hanging up on him... can't stand the arrogance anyway.

Christopher	Oh you clearly don't want your bonus this year?

Blaze	Yeah but she does make a valid point.

Christopher	Ah don't you start.

Christopher	Where are we with Caster? I probably should have bought her something for her win last week.

Nikki	Way ahead of you. Card.

Christopher	Aww and just like that, she's back in contention for the bonus.

Nikki	Yeah yeah, I'll believe it when I see it.

Christopher	What?

Blaze	Well as much as I've enjoyed this ass creeping session, but I need to go.

Christopher	You know you're my number one, until you're not.

Blaze	You mean until the next transfer deadline day?

Christopher	Yeah. Two hundred and three days, seven hours, and thirty three minutes.

Blaze	Always counting.

Christopher	It's around the corner mate.

Lesego	Hey. Boys. Salt, pepper. We here, come on. Focus. You wanna bomb down the right. You will be in on goal and 

American Hotel Guest	S'cuse me. Ya'll soccer players or something?

Lesego	Yeah this is Marlboro United.

Herve	Yeah we play football.

American Hotel Guest	Whatever man. Football, and I mean real football, is a dance of true grit. We put the real numbers on the board. It's not the stuff that you guys are doing, where you wait the whole game, waiting for something to happen, but nothing does.

Lesego	I think you looking at it with the wrong eyes man.

Lesego	That's the sad part. You see, your game is like heavy metal.

Lesego	Boom, boom, boom, boom. Ours is like classical music.

Lesego	Calculated. Beautiful. It flows. You see every play that you see in a half of a soccer game is the potential for greatness.

Lesego	It's just the patience that we take in setting up something that could result in a piece of genius.

Lesego	A goal. Now that play will never be repeated ever again. Ever. Now that's true originality.

Lesego	Anything can happen in the spur of a moment. That, my friend, is soccer. That is the beautiful game.

American Hotel Guest	Whatever man.

Lesego	Alright team.

Herve	Wow Lesego. I didn't see this coming from you.

Lesego	What I didn't tell him is that we get all the pussy, because those motherfuckers, you can't even see who they are behind the helmets.

Lesego	Okay, so let's focus. Like I said to you guys.

Lesego	Hold on, hold on. Yo what up B?

Blaze	What’s up?

Blaze	Sounds like a party over there.

Lesego	Yeah, yeah, yeah... Masimela, Adams, everybody.

Blaze	Lesego.

Lesego	I’m kidding, I’m kidding Blaze.

Lesego	No we just grabbing an early meal.

Blaze	You know it’s a big day tomorrow, right?

Lesego	Yeah yeah yeah, no we're going through the game plan. We'll have Apollo FC under our feet in no time.

Blaze	Listen is the kid there?

Lesego	Hold on. 

Lesego	Blaze.

Herve	Blaze? Ca Va?

Blaze	Hey, what's up champ? Are you ready to go out and introduce yourself to the world tomorrow?

Blaze	Hey listen, the big ones, they don't flinch kid.

Herve	I know, tomorrow, God willing, I will be in total control of the zone. You know, I will master everything on the field.

Blaze	Well that sounds strong so...?

Herve	Do you remember USA '94?

Blaze	You weren't even a wet dream by then and you're asking me if I remember?

Herve	Baggio blew that ball and his name is forever... uh, what you say?

Blaze	Blowing it.

Herve	Yes... something like this.

Blaze	Yeah, but I don't want you to think like that.

Herve	I got people back home. I just, I don't want to go back to the streets.

Blaze	Tomorrow has nothing to do with if God is willing. I want you to step on that pitch tomorrow and you play like one.

Herve	Alright, okay.

Blaze	Now get something to eat and turn your mind off. You have a big day tomorrow.

Herve	Mmm.

Vuyo	Me and you... and the ball.

Vuyo	Me and you... and the ball.

Kim	And then?

Kim	What are you doing?

Vuyo	Cristiano. This is what he does before every Real game.

Kim	He stares at himself in the mirror?

Vuyo	No. Admires at. Talks to. Adores. Akere, he needs to get his mind right.

Kim	If you don't forget about all of that, you're gonna miss out on all of this.

Vuyo	The ball...

Vuyo	Cristiano... he's eating more than any other athlete in the world. Keep your things.

Blaze	V?

Vuyo	Ola?

Blaze	Hey V? Are you good?

Vuyo	Aah, I'm grand.

Blaze	Are you sure?

Vuyo	No, not really.

Kim	Talk to your boy.

Vuyo	Boss lady had me sweating with the reserves today. 

Vuyo	The bench I mean.

Vuyo	What's up with that? My form hasn't dipped.

Blaze	Listen, you are Vuyo the train Moyo, alright. You are the engine of that team.

Vuyo	It's the hundredth.

Blaze	Hundredth what?

Vuyo	Tomorrow, it's my hundredth appearance.

Vuyo	They have to cough up the bonus if I play tomorrow. You should know this man.

Blaze	Man come on of-course. I mean I knew it was coming up, it's just that I didn't realize it was tomorrow.

Vuyo	How much do they owe us if she plays me?

Blaze	Three hundred and fifty k.

Vuyo	That's if she plays me.

Blaze	Listen I don't want you to worry about that. 

Blaze	V, is Kim there?
