Voice Over	Previously on Agent.

Christopher	Shall I remind you, I said you need to fix this before it becomes a bad habit.

Blaze	She’s been in Europe the whole week.

Lesego	The first photo shoot of up-and-coming Marlboro United stars, right next to the world stars.

Godi	When were you going to tell me?

Blaze	I've never seen or heard about this until now.

Lesego	My laaitie, you are replacing the Zlat.

Herve	Where will we stay?

Lesego	West coast. It's lit boy. Hot honeys in bikinis everywhere.

Lesego	What up B?

Herve	Hey Blaze.

Blaze	Am I missing something?

Blaze	So you won’t play him? You won’t play Vuyo?
Zoe	Austerity is key to Apollo's survival.

Blaze	I don't believe that you not playing Vuyo has anything to do with your supposed cash flow problems.

Zoe	Then what do you think it's supposedly got to do with?

Blaze	You're mad at me. You're angry at me and you're taking it out on my client.

Zoe	And why would I be angry at you Blaze?

Blaze	Because I turned down your offer to 'join your little family here' and instead I stayed with Chris and that's the part that you really really can't stand.

Zoe	Yes you did turn down my offer.

Blaze	But Vuyo has earned his bonuses. He's the best player you have by a country mile.

Blaze	If you wanna come at me, come at me, but do not take it out on Vuyo. He feels surplus to requirements.

Zoe	Mmm, cos maybe he is…

Blaze	Look... Vuyo 'the train' Moyo, the best right back in the country?

Zoe	Until he isn’t.

Blaze	Are you prepared to let it get that far?

Blaze	Zo, I have not forgotten of the things you have done for me in the past.

Zoe	Ooh, I actually think you've got a very short memory because how did Vuyo get here in the first 
place?

Blaze	I remember, so?

Zoe	Aaah... his deal with Kwamashu Devils fell through at the last second and you were scrambling for another one.

Blaze	And... your faith in him has been more than rewarded, but the way you're treating him, that's disgraceful.

Zoe	No player is bigger than his club. And his club is suffering so therefore we will all be making sacrifices.

Blaze	If you want me to leave Christopher, I will leave, I will come to you, if that's what it takes to play Vuyo. I'll do it.

Zoe	Unfortunately that offer Blaze has expired. So if you want Vuyo to get his pay out, then Vuyo will wait one match at a time.

Christopher	So she actually considered making you leave me, just so Vuyo could get on the pitch again?

Blaze	But then she backtracked, probably because she realized that I'd be doing so reluctantly.

Christopher	Sometimes I wonder, just how reluctant you are…

Christopher	Gotta say I admire her.

Christopher	Can't we concoct some kind of sweetener?

Christopher	Seems to me this fuck-you attitude isn't getting us anywhere.

Christopher	So are you gonna tell me about this girl bruv?

Christopher	Come on, you know the one I'm talking about. You've been seeing her.

Christopher	I caught you in my office with her earlier.

Blaze	We're seeing each other, but it's chilled.

Christopher	It’s chilled? One day it's a relationship, one day it's marriage the next day it's kids.

Blaze	Yeah not with my track record, no.

Christopher	Why you being so quiet about this one?

Blaze	Because there's nothing much to say right now.

Christopher	What's going on bruv?

Blaze	Nothing.

Blaze	Uh, Jade... she says Lesego and Herve…

Blaze	Never mind. It doesn't really matter.

Christopher	You know damn well it does. 

Christopher	Shouldn't you be in Mauritius, keeping a hawk’s eye on them?

