FELIPE	(AFLITO) 

NATALIE	Socorro! Ai! (REAC DESESPERO) 
 
NATALIE	O Felipe levou três tiros na porta...

NATALIE	(celular) ... Do aeroporto, Vê.

LUIZA	O quê que foi? 

MIGUEL	Eu não sabia que você e o Felipe eram amigos. 

NATALIE	A gente já descobriu tudo, Miguel, sai daqui. 

MIGUEL	A Reserva Mineral de Cari está oficialmente disponível para ser explorada. 

VERÔNICA	É lógico que o Oscar morreu, porque o Miguel descobriu que ele estava roubando ele. 

LUIZA	O Décio vai te contar. A gente tem que fazer o Décio falar. 

DÉCIO	Eu sou “peixe pequeno” (insignificante). 

VERÔNICA	Vamos fazer um acordo, você faz o depoimento exclusivo pro Rubens, contando todo o esquema do Miguel, e amanhã esse vídeo some?

FALCÃO	Parece que os índios vão entrar em guerra.

LUIZA	A gente tem que ir "pra" (para) Eldorado pessoalmente. 

NATALIE	A gente veio aqui "pra" (para) lutar com vocês, mas não desse jeito, se vocês forem "pra" (para) guerra, vai ser um massacre. 

JOYCE	(CHORO) 

CLARA	Onde elas estão? 

JOYCE	(CHORO) 

CLARA	Calma. 

JOYCE	(CHORO) 

CLARA	Onde elas estão? 

CLARA	Eu vou tirar vocês daqui, tá bom? Tá bom? 

LUIZA	Para, para...

ÍCARO	(REAC) 

LUIZA	Ai. 

LUIZA	Vamos conversar. 

ÍCARO	Continua andando e cala essa boca. 

FUNCIONÁRIA	Moça, ele levou a sua amiga pro mato.

CLARA	Eu vou "pra" (para) lá, Falcão. 

FALCÃO	Não, não vai não. 

CLARA	(REAC) 

FALCÃO	Clara.

FALCÃO	 A gente vai deixar elas em segurança e volta com reforço. 

LUIZA	O quê que você vai ganhar me segurando aqui? 

ÍCARO	Toda cabeça tem seu preço, quanto será que vale a sua?
MIGUEL	(off) Olga, o Nelson vai te mandar uma foto, eu tenho certeza (on) que você vai saber o que fazer com ela.

OLGA	(celular) Não recorre da liminar...

OLGA	... E o seu segredo morre entre amigas.

VERÔNICA	Mulher escrota!

VERÔNICA	Eu tenho, eu tenho um caso com o Amir. 

LUIZA	Você tá ligada que isso pode “fuder” (acabar) com tudo?

OLGA	Ela ignorou a nossa ameaça e...

OLGA	(celular) ... Recorreu da liminar. 

MIGUEL	Então você sabe o que fazer. 

ANDRÉ 	“Puta que pariu!”

PONTOCOM	(REAC) 

ANDRÉ	“Porra”!

VERÔNICA	Miguel, seu “filho da puta”!

VERÔNICA	(REAC) 

ANDRÉ	(SOPRA) Quem será que fez isso? 

PONTOCOM	Depois do que esse Miguel falou, qualquer um pode ter feito isso. 

ANDRÉ	Aquela pedra lá tinha sido um aviso. 

NATALIE	Ainda bem que ninguém se machucou, né? 

ANDRÉ	Você tá bem? 

