

[ ARUANAS EP 9 ]






1 (00:01:08:04)

NATALIE   	Au secours ! Ahh ! Félipé a reçu trois balles à l'aéroport, juste devant l'entrée...

LUISA	Qu'est-ce qu'y'a?

MIGUEL	Je ne savais pas que Félipé et vous étiez amis.

NATALIE   	Nous savons tout, Miguel, sortez d'ici.

MIGUEL	La réserve minérale de Cari est officiellement disponible pour l'exploitation.

VERONICA	Il est logique qu'Oscar soit mort parce que Miguel a découvert qu'il le volait.

LUISA	Il faut faire parler Décio.

DECIO	Je suis du "menu fretin"

VERONICA	Faisons un marché, vous faites une déclaration exclusive à Rubens, en racontant toute l'arnaque de Miguel, et demain cette vidéo disparaît.

FALCAO	Il paraît que les Indiens entrent en guerre.

LUISA	Nous devons aller à Eldorado personnellement.

NATALIE   	Nous sommes venus ici pour combattre à vos côtés, mais pas de cette façon, si vous partez en guerre, ce sera un massacre.

JOYCE	(pleure_)

CLARA	Où sont-elles? Calme-toi. Où sont-elles? Je vais vous sortir de là, d'accord?

LUISA	Pour... Aïe! On va parler...

ICARO	Avance et ferme ta bouche.

FUNCIONARIA	Jeune fille, un mec a emmené ton amie dans la brousse.

CLARA	Je vais la chercher, Falcao.

FALCAO	Non, tu n'y vas pas. On va les emmener en lieu sûr et revenir avec des renforts.

LUISA	Qu'allez-vous gagner en me retenant ici ?

ICARO	Chaque tête a son prix, on verra combien vaut la tiennee ?

MIGUEL	Olga, Nelson va t'envoyer une photo, je suis sûr que tu sauras en faire bon usage..

OLGA	Ne faites pas appel de l'injonction. Et votre petit secret restera entre amis.

VERONICA	Espèce de salope! J'ai, j'ai une liaison avec Amir.

LUISA	T'as conscience que ça peut tout foutre en l'air?

OLGA	Elle a ignoré notre menace et a fait appel pour l'injonction.

MIGUEL	Alors tu sais ce qui te reste à faire.

ANDRE	Putain de merde ! (crie_____)

VERONICA	Ils n'y arriveront pas!


2 (00:02:38:07)

ANDRE	Qui a pu faire ça?

PONTOCOM	Après ce que ce Miguel a dit, ça peut être n'importe qui.

ANDRE	Cette pierre, là, c'était un avertissement.

NATALIE   	Heureusement que personne n'a été blessé.

ANDRE	Tu vas bien?

NATALIE   	C'est pas important.

PONTOCOM	Content de te voir, Nati Tout ce qui reste est dans ces boîtes.

ANDRE	Nati, j'ai réussi à sauver ça

INSERT	---Victoire! Le Parc Maria Silvia, une réalité!---


3 (00:03:27:04)

NATALIE   	Allez à l'hôtel, ok ? Prenez une douche, reposez-vous, on se retrouve tous demain matin pour décider de ce qui va se passer ensuite.

PONTOCOM	Tu es sûre, Nati?

NATALIE   	Tout à fait. Vous pouvez y aller.

ANDRE	Allons-y.

VERONICA	On va s'en sortir.

NATALIE   	C'est de toi qu'il parlait.

VERONICA	Qui ?


4 (00:04:14:03)

NATALIE   	ça fait combien de temps? Qui a commencé, toi ou lui ? Réponds!

VERONICA	Cette situation n'existe plus.

NATALIE   	Si, elle existe. bien sûr qu'elle existe, je le vois, je le sens.

VERONICA	Ce n'était pas prévu, Nati, c'était, c'était plus grand que moi, c'était plus grand que lui, parce qu'il...

NATALIE   	Qui, lui? mon mari ? C'est avec mon mari que tu as couché. Qu'est-ce que tu as fait avec lui, tu as appuyé ta poitrine contre la sienne, tu as frotté ta peau contre la sienne.

VERONICA	Arrête, c'était juste... On souffrait tous les deux.

NATALIE   	Combien de temps?


5 (00:05:02:10)

NATALIE   	ça dure depuis quand?

VERONICA	(snif_) Un an.

NATALIE   	Un an?

VERONICA	J'ai eu tort.

NATALIE   	Un an? Il y a un an, je perdais ma fille.

VERONICA	J'te d'mande pardon,Natalie.

NATALIE   	Un an... Ce que je ressens en ce moment, c'est autre chose. Ce que je ressens en ce moment c'est une autre forme de deuil.


6 (00:05:45:22)

NATALIE   	C'est la mort d'une personne, d'une personne que je croyais exister, d'une amie que je... j'imaginais être pour toujours, seulement cette amie, cette Veronica... elle est même pas morte, elle l'a toujours été, car elle n'a jamais existé.

VERONICA	Elle a existé, elle a existé, elle existe toujours.

NATALIE   	Tu t'es tapé mon mari, non? c'était quand ?

VERONICA	C'est fini maintenant, arrêtons ça, parce que c'est fini maintenant, c'est terminé (_h)

NATALIE   	Arrêter? Putain, tu veux qu'on arrête, maintenant? Si tu ne me donnes pas les détails, je vais devoir les inventer ces détails.

FALCAO	Ecoutez, ça craint, ils ont chopé Luiza. Elle est coincée au milieu de la réserve.

VERONICA	Putain de merde.

CLARA	On doit y aller.


7 (00:06:37:20)

CLARA	Ecoutez, d'après la description de la femme, le type qui a enlevé Luiza, c'est celui qu'on a rencontré sur le marché clandestin, le même qui l'a aidée à entrer dans le chantier des Agulhas.

ANDRE	Icaro. Et qui est à Eldorado, parce que tout le monde est dans cette merde d'Eldorado.

NATALIE   	Bon, alors allons à Eldorado, allons là-bas, on demandera de l'aide, on fera ce qu'on a à faire.

FALCAO	Non, non, Nati. Luiza était incognito à Eldorado.

VERONICA	On doit agir différemment.

NATALIE   	Ah, et tu as quoi à proposer, Veronica ?

ANDRE	Oui, Clara et moi, on connaît ce type, d'accord ? Ce type, Icaro. Si vous pouvez distraire les agents de la sécurité, on le cherchera.

VERONICA	C'est la clé. C'est la clé, mais nous avons besoin d'une bonne idée.

ANDRE	Ouais.

GREGORY	Nous avons peu de temps.

PADRE ADELINO	C'est presque l'aube.

FALCAO	J'ai une idée, ce sera risqué, nous irons sous couverture, j'irai en tant qu'inspecteur, inspecteur de l'environnement. Pontocom nous fera un badge. On va entrer, toi, Verônica, Gregory et moi. Vous deux, restez à l'intérieur du bateau. A la première occasion, vous entrez.


8 (00:07:31:00)

NATALIE   	Je dois parler à Pointcom. Ne perds pas de vue Félipé, d'accord?

PONTOCOM	T'inquiète, Nati, je serai là quand il se réveillera.

NATALIE   	S'il se réveille.

PONTOCOM	Il va se réveiller. Ramenez Luiza.


9 (00:08:06:04)

DECIO	Quand avez-vous décidé de commencer à travailler, et sans m'en avertir?

RUBENS	Je viens recueillir votre promesse.

DECIO	Rubens, bon sang, on va finir par se prendre une balle à cause de ça. Ou on va finir comme Oscar.

RUBENS	Ou le Moustique, ou Antonio, ou Otávio...

DECIO	Exactement.

RUBENS	Déballez tout, Décio, Déballez tout. Ou cette vidéo va fuiter, et ce sera vous le prochain.


10 (00:08:58:17)

DECIO	Je ne sais pas si vous êtes au courant, mais j'ai découvert une bande de pourris ici, dans la police de Cari.

RUBENS	Essayez-vous de me dire que ce sont vos flics qui ont tué Otávio?

DECIO	Non, écoutez bien, je n'ai pas dit ça, j'ai dit que j'en soupçonnais certains qui sont peut-être impliqués dans cette affaire, mais ils ne le sont pas tous, un ou deux.

RUBENS	Et vous êtes certainement l'un d'entre eux.

DECIO	Bon sang, vous voulez mon aide ou pas?

RUBENS	Je veux des noms.

DECIO	Je ne peux pas le prouver.

RUBENS	Des noms!


11 (00:09:39:20)

DECIO	Le numéro de la voiture. ça suffira.

RUBENS	C'est bien que vous disiez la vérité. Allo, Deizé? Rubens. Oui, écoutez, j'ai besoin de l'enregistrement du GPS de la voiture de police PC 2-7-1-9-3, c'est ça, les 15 et 16 mars. C'est ça. Pas de soucis, (_h) le commissaire va coopérer.


12 (00:10:22:14)

QUIDAM	Ce clochard, là!

FALCAO	Il y a celle-là, elle arrivera dans quatre heures et demie.

NATALIE   	Non, non, on ne peut pas attendre si longtemps.

FALCAO	Nati, celle-là arrivera dans une heure et demie.

NATALIE   	Combien?

FALCAO	Sept billets.

ANDRE	Merde.

NATALIE   	Demande à Amir.

VERONICA	Je paierai. Tout le monde à bord, je vais payer. Allons-y.

GREGORY	On y va.

PADRE ADELINO	Tous les inspecteurs en portent une.

FALCAO	C'est bon.

OUT (00:11:38:23)


13 (00:12:06:14)

RUBENS	Bonjour, les gars.

CABO	Putain!

ALMEIDA/TAVARES	Monsieur le procureur, c’est comme ça qu’on se fait tirer dessus.

RUBENS	Bon, il faut que je vous parle. Vous avez une minute? Super. ça c'est pour vous, et ça c'est pour vous. Vous savez ce que c'est?

CABO	Non, monsieur.

RUBENS	Voici le trajet effectué par cette voiture, celle-là même où nous nous trouvons, les 15 et 16 mars. En haut, on a les itinéraires. Qui était responsable de la voiture cette nuit-là?

ALMEIDA/TAVARES	Je ne comprends pas, monsieur.


14 (00:12:45:20)

RUBENS	Vous allez vite comprendre. Je ne sais pas si vous vous en souvenez, mais c'est à cette date que le journaliste Otávio Mendes du Courrier de Cari a été assassiné.

ALMEIDA/TAVARES	Vous ne pensez pas que vous devriez avoir cette conversation avec le commissaire?

RUBENS	J'ai été très surpris, très... En vérifiant le GPS de cette voiture. La votre en fait. Vous étiez garé ici dans la nuit du 15 mars, tout près de la maison d'Otávio. Après ça, vous avez pris cet itinéraire, par la route d'Ingá, qui n'a ni lumière ni asphalte. Vous êtes allé sur ce terrain, ici, qui est juste à la limite de la réserve... La question que je me pose est : pourquoi, hein ? Je suis sûr que vous aviez une excellente raison de faire ça, mais j'avoue que tout seul...


15 (00:13:43:15)

RUBENS	je ne l'aurais jamais deviné.

ALMEIDA/TAVARES	Nous avons reçu un appel anonyme ce soir-là, nous sommes allés vérifier.

RUBENS	Et ?

CABO	Fausse alerte. ça arrive tous les jours.

RUBENS	(hh_) (soupir_) Messieurs, c'est tout. Oh non, gardez-la. ça va vous éclairer.


16 (00:14:29:13)

RUBENS	Qui est-ce?

DECIO	C'est Nelson. L'homme de main de Miguel Kiriakos.

RUBENS	Qu'est-ce que vous faites? N'arrêtez pas. Continuez.

DECIO	C'est pas vrai...

RUBENS	Je vais appeler le juge. Préparez le fourgon, commissaire. Nous avons deux arrestations à effectuer.

OUT (00:15:21:14)


17 (00:15:30:19)

ANDRE	Tu ne veux pas essayer de vomir par dessus bord?

VERONICA	(_h) Ça va passer.

ANDRE	Tu veux qu'on parle?


18 (00:16:02:19)

ICARO	Alors, tu aimes toujours autant la nature ? Mmm?

LUISA	Laisse-moi partir, Icaro. Icaro, Icaro, laisse-moi partir.

ICARO	Ce que je voudrais comprendre, c'est ce que toi et votre ONG de merde faites ici.

LUISA	Que crois-tu que nous faisions ?

ICARO	Lâchez-nous! ! Les chercheurs d'or n'ont presque plus rien, vous voulez leur prendre le peu qu'ils ont ?

LUISA	Tu ne vois pas que tu es malade ? Que ta jambe est déjà engourdie ? Que ta vue devient floue ?

ICARO	Je pense qu'il vaut mieux que tu la fermes.

LUISA	Tu es contaminé, et si tu ne fais rien, ça ne fera qu'empirer. Tu ne vas pas tarder à être aveugle.


19 (00:16:56:07)

ICARO	Tu es...

LUISA	Détache-moi, Icaro.

ICARO	tu es... tu n'es qu'une enfoirée, putain. Une maudite sorcière. Tu ne m'embobinneras plus. Tu vas rester et moisir ici jusqu'à ce que je vende ta tête. (mm?)

LUISA	Tu es stupide ! C'est tout c'que t'es, un débile ! C'est pour ça que vous êtes tous malades. Vous vous faites tous avoir!

OUT (00:17:26:01)


20 (00:17:49:00)

DECIO	Je pense que vous feriez mieux de sortir de la voiture.

NELSON	Comment ça?

DECIO	Vous avez entendu.

RUBENS	Nelson Torres.

NELSON	Que voulez-vous ?

DECIO	Vous êtes en état d'arrestation pour le meurtre du journaliste Otávio Mendes. Vous avez le droit de garder le silence.


21 (00:18:34:02)

PONTOCOM	On fait quoi, hein, Félipé? L'unité de Cari a brûlé, nous n'avons plus d'argent, les associés se disputent. Vous n'avez pas un truc à nous suggérer? Parce que tout ça c'est de votre faute, quand même. La vôtre et celle de ce dossier que personne n'a jamais vu. Faudrait se réveiller, et vite, camarade, les temps sont durs ici.


22 (00:19:02:16)

OLGA	La forêt est notre plus grand atout, elle est une source de richesses inépuisables, et nous nous battrons pour qu'elle le reste. puissante, exubérante, mais aussi productive. Nous serons les gardiens de la forêt.

MIGUEL	le J.A. a pour objectif la forêt, la signature doit intervenir rapidement et discrètement.

EURICO	Nous allons mobiliser nos rangs au Congrès.

OLGA	Oui, les donateurs de la campagne.

SENADOR 1	Bien sûr, ils vont se battre pour avoir un siège.

MIGUEL	Olga s'occupera de la liste des invités. Je veux que le président de la république soit présent. Allo. Comment ça? Quand ? J'ai compris. Merde !

OLGA	Kesski s'passe?

MIGUEL	Ils ont arrêté Nelson. Nous devons avancer la date de ce dîner.

OLGA	Et s'il se met à table?

MIGUEL	(mfh_) Il ne se mettra pas à table.


23 (00:20:18:24)

NELSON	C'est drôle que vous m'arrêtiez, Décio, Miguel ne va pas apprécier.

DECIO	Bon sang, Nelson, je suis plus utile en liberté, qu'en prison, moi.

NELSON	Comment ce Rubens a-t-il tout découvert ?

DECIO	Je ne sais pas Du calme, bon sang, on va trouver une solution.


24 (00:21:00:00)

SECURITE 1	Torquato tu m'entends?

TORQUATO	Positif.

SECURITE 1	Un bateau non identifié arrive.

TORQUATO	J'y vais.

JOEL	Non, non. Tu vas prendre toute cette zone là-bas avec les gars, et vous allez tout installer là, d'accord ? Mais vous n'y laissez rien, rien ! D'accord ? Miguel...

SECURITE 1	Monsieur Joel.

JOEL	Oui?

SECURITE 1	Vous avez de la visite.

JOEL	Quoi ?

SECURITE 1	Vous avez de la visite,monsieur.

JOEL	Bon, vas-y, occupe-toi de ça, d'accord ? Allons-y.


25 (00:21:47:09)

FALCAO	Donc, mon garçon, je ne sais pas si vous comprenez, mais il est préférable que tout le monde collabore, ça évitera les ennuis.

TORQUATO	Et eux aussi travaillent à l'inspection ?

VERONICA	Non, nous sommes d'une ONG environnementale, nous sommes venus pour vérifier que l'inspection a accès au gisement.

TORQUATO	Je vous connais.

NATALIE   	Presse

JOEL	Miguel est là ?

SECURITE 1	Non, monsieur. C'est l'Inspection.

JOEL	Conduisez-les à la tente principale, d'accord ?

SECURITE 1	Torquato, tu me reçois? tu peux conduire l'équipe de l'inspection à la tente principale.

TORQUATO	Bien reçu. Vous avez entendu ? Suivez-moi.

OUT (00:22:34:04)

INSERT	---PROPRIETE PRIVEE - DEFENSE D'ENTRER---


26 (00:23:35:15)

JOEL	Bonjour, bonjour. Euh... cette visite était-elle prévue?

FALCAO	Et depuis quand une inspection nécessite-t-elle un rendez-vous ?

JOEL	

FALCAO	John Batista, surintendance de l'inspection environnementale.

JOEL	Enchanté, Joel.

VERONICA	Veronica Muniz. Je suis l'avocate de l'ONG environnementale Aruana.

JOEL	Enchanté.

GREGORY	Gregory Meloy, biodiversité internationale.

NATALIE   	Natalie Lima, je suis journaliste à T V Núcleo, et je suis ici pour dénoncer les crimes que vous êtes en train de commettre.

JOEL	Attendez dehors, s'il vous plaît.


27 (00:24:15:13)

ANDRE	Écoute, on perd notre temps.

CLARA	T'as une meilleure idée?

ANDRE	Clara, j'sais pas, on peut se renseigner, on va tenter le coup. Tiens.

CLARA	Une photo de Luiza ?

ANDRE	Oui, t'as une autre idée? Viens.

CLARA	André.


28 (00:24:30:04)

JOEL	Quel est le problème? Je peux vous assurer que ma direction fait tout comme il se doit.

FALCAO	Vous travaillez dans une zone de conservation qui abrite des terres indigènes. Par principe, l'exploitation minière y est interdite.

VERONICA	Selon notre enquête, il n'y a pas d' autorisation pour que vous puissiez opérer ici dans la réserve.

JOEL	Le Président de la République a décrété la fin de cette unité.

VERONICA	Il n'y a pas d'autorisation formelle pour cela. Et nous avons déjà constaté de graves infractions ici... Des travaux pharaoniques, sans autorisation préalable, et sans analyse de risque environnemental.

NATALIE   	Et sans parler des conditions de travail comparables à de l'esclavage, la présence d'armes, de munitions, le stockage de carburant en quantités illégales.

VERONICA	Changement du cours de la rivière, présomption de chasse de la faune sauvage, et exploitation sexuelle des enfants.

GREGORY	Ce qui serait un incident international majeur.


29 (00:25:21:08)

CLARA	On va demander à celui-là là-bas. Vous auriez vu mon amie par ici ? Non?

ANDRE	Merci.

CLARA	Bonjour. Vous avez vu mon amie par ici ?

OUVRIER 2	Non. Vous avez regardé à la cafétéria ?

FALCAO	Enfin, Joel, face à tant d'infractions, si la personne directement responsable des opérations n'est pas là, j'ai des ordres. Procéder à des saisies, établir des Procès-verbaux.


30 (00:25:45:06)

CLARA	Je pense que c'est elle. C'est la fille qui m'a prévenue pour Luiza.

ANDRE	C'est elle?

CLARA	Oui.

ANDRE	Allons-y.

CLARA	Elle pourrait... nous parler.

ANDRE	Bonjour.

CLARA	Madame!

ANDRE	Madame! Excusez-moi.

CLARA	excusez-moi.

ANDRE	(soupir_) On continue.

CLARA	Ouais.


31 (00:26:04:21)

JOEL	John, s'il vous plaît. Le mandataire de ce lot, c'est le docteur Miguel Kiriakos, Vous êtes sûr de vouloir le déranger?

VERONICA	Bon, alors faisons appel au bataillon de la police militaire chargé de l'environnement, ils pourront faire les interventions nécessaires.

JOEL	Calmez-vous, je vais l'appeler maintenant, ok ? On verra s'il veut vous parler. Excusez- moi.


32 (00:26:36:02)

ANDRE	Où tu vas? Clara, tu es folle ? Toi aussi, tu veux te faire prendre, peut-être?

SECURITE 1	Regarde, ce serait pas la fille qui a emmené les petites nouvelles?

ANDRE	Elle est forcément quelque part.

CLARA	Allez, on y va.

ANDRE	Chut... attends, attends....

CLARA	Faut qu'on bouge d'ici.

ANDRE	Regarde...

CLARA	Keske c'est?

ANDRE	Un peu à droite..

CLARA	Punaise, c'est lui! On y va!

ANDRE	Dépêchons!

CLARA	Vite! Suivons-le! Vite!

ANDRE	Attends-moi!


33 (00:27:39:08)

ICARO	Lève-toi tout doucement et retourne-toi. Je vais réaliser ton dernier souhait.

LUISA	(_h) Non, Icaro, tu es malade.

ICARO	Lève-toi, espèce de salope.

LUISA	Tu es malade, Icaro, tu es malade.

ICARO	Shh-shh-shh-shh

LUISA	Arrête!

ICARO	C'est ça que tu aimes, Mm? Je sais que c'est c'que t'aimes. Laisse-toi faire, laisse-toi faire.

LUISA	Mmmm Non!

ICARO	Tu vas la fermer? la ferme!

LUISA	Non... (_h_h_h)

CLARA	Arrête ça!

ICARO	(Ahh___)

CLARA	Luisa... Luisa, ça va? ça va?

LUISA	(_h_h_h_h)

ANDRE	Prends les clés, prends les clés

CLARA	Je l'ai...


34 (00:28:12:06)

CLARA	Luisa...

ANDRE	C'est fini, Luisa, fais attention! Le bateau est juste là, les filles.

SECURITE 1	Vous êtes pressés?

ANDRE	Du calme...

SECURITE 1	Vous, du calme. Et retournez d'où vous venez.

ANDRE	(_h) C'est bon, on peut discuter.

SECURITE 1	Y'a rien à dire. Allez-y!

ANDRE	Du calme.

SECURITE 1	Avancez!


35 (00:28:39:07)

JOEL	L'inspection est là, Miguel, et je n'aime pas du tout ça. Oui, je vous l'avais dit, je vous l'avais dit, il ne fallait pas commencer les opérations aussi vite.

LUISA	(_hh)

SECURITE 1	Allez!

JOEL	Maintenant, ils disent qu'ils vont faire ci, qu' ils vont faire ça...

MIGUEL	Pas de souci, Joel. Dites-leur qu'ils ont raison, prenez le P.V. ça reviendra toujours moins cher que de perdre les pelles qui sont déjà là.

JOEL	Ahh ils ne marcheront pas. Ils menacent même d'appeler le Bataillon de la police de l'environnement...

MIGUEL	"Ils", qui, Joel, un petit inspecteur de merde ?

JOEL	La presse est là, bon sang, la presse.

MIGUEL	Quelle presse?

JOEL	Natalie Lima, la journaliste.

MIGUEL	Bien sûr, ça explique tout.

