INTERTITLE	England 1937

CHARLES	Come on, you blithering idiot.

CHARLES	There's only 26 letters in the damned alphabet.

CHARLES	All you've got to do is put them in the right bloody order.

CHARLES	Write something.

CHARLES	Anything.

NARRATIVE TITLE	CHARLES CONDOMINE CRIME FICTION AWARD FOR SERVICES TO LITERATURE

NARRATIVE TITLE	HELP

CHARLES	Right. Music.

RUTH	Charles.

CHARLES	Think.

RUTH	Charles?

RUTH	Darling?

RUTH	Charles? They can hear you in Timbuktu!

RUTH	Much obliged.

RUTH	If you insist on living like a nocturnal animal,

RUTH	at least be civil enough to hide your tracks.

RUTH	Morning, Edith.

EDITH	Good morning, ma'am.

RUTH	He's finally gone through with it.

EDITH	Oh, yes. Scandalous, isn't it?

RUTH	On the contrary,

RUTH	I think giving up the throne for love is awfully romantic.

RUTH	I'll have a grilled grapefruit and a strong coffee, please.

EDITH	Mr Condomine's asked for his eggs to be brought over to his study again.

RUTH	Well, given his mood, I hope they're being served sunny side up.

EDNA	Here we go. Two soft-boiled eggs.

EDNA	For William Shakespeare.

EDNA	And what does Her Majesty want this morning?

EDITH	She's sticking to the Hollywood diet.

EDNA	Hollywood diet.

EDNA	It'll take a lot more than an exotic fruit to turn her into Greta Garbo.

EDNA	And don't dilly-dally in the garden, Edith.

EDNA	He'll only send it back if the toast is cold.

CHARLES	I'm not a bad man.

CHARLES	I mean, yes, I like to flirt a bit.

CHARLES	And the occasional flutter.

EDITH	Excuse me, sir. Your breakfast.

CHARLES	Edith.

EDITH	Yes, sir?

CHARLES	Would you remind Edna that the word 'toast'

CHARLES	is derived from the Latin 'tostare',

CHARLES	meaning 'to scorch' or 'to roast'?

CHARLES	Whereas this...

CHARLES	is a cold, hard piece of bread.

EDITH	Apologies, sir.

EDITH	Do you need anything else?

CHARLES	Divine intervention.

RUTH	It's wonderfully patriotic, Harold.

RUTH	You've really excelled yourself.

RUTH	And I'm certain the judges will agree.

CHARLES	How was it so easy for you,

CHARLES	my Manhattan muse?

RUTH	Charles.

RUTH	You really should be praying to Cadmus and not decapitating him.

CHARLES	I'm sorry.

RUTH	You've been commissioned to write a 90-page screenplay,

RUTH	not War and Peace.

CHARLES	I'm at my wits' end.

RUTH	I just don't understand how it could be so problematic

RUTH	to adapt a story that you've already written.

RUTH	I'm sorry, Charles.

RUTH	I just don't know how long I can go on like this,

RUTH	with you stuck in an imaginary world and me alone in the real one.

RUTH	I miss you.

RUTH	I miss us.

CHARLES	So do I.

CHARLES	Look at that.

CHARLES	Just found it amongst some papers.

RUTH	It's sweet of you to try and spare my feelings.

RUTH	And a little naive.

CHARLES	Why?

RUTH	Because you imagine that I mind you thinking of Elvira.

CHARLES	Well, don't you?

RUTH	No. I'm not in the least bit jealous of her.

RUTH	I just wonder if I died,

RUTH	whether you'd continue to look at photographs of me.

CHARLES	Darling.

CHARLES	You're not the dying type.

RUTH	He's simply incorrigible, Violet.

RUTH	I found him mooning over pictures of Elvira yesterday.

MRS BRADMAN	Elvira?

RUTH	He's been shirking work and pining for the ex-wife.

RUTH	Game, set and match.

MRS BRADMAN	There's really nothing to feel insecure about.

MRS BRADMAN	Elvira may have been very attractive, but the poor woman's gone.

RUTH	As has the spark in our relationship.

