carlos	antes de marcharte quiero que sepas que borraré tu nombre de la memoria de nuestro hijo...

pepa	ah… ah…

tristán	¡pepa!

pepa	ah…

tristán	ya estoy aquí, cariño... ¡venga, pepa, despierta…! ¡venga, pepa…! ¡eh! ¡pepa, despierta…! 

tristán	¡…vamos, pepa, no te rindas...!

tristán	¡…pepa, tienes que volver…! ¡vuelve, por dios…! ¡pepa…!

tristán	 ¡pepa! ¡pepa…!

tristán	¡…pepa…!

tristán	¡ah…! ¡pepa…!  

pepa	¡ah…!

tristán	respira... respira… vale, vale… ya está, respira.

pepa	carlos… sa… sa… sabe… sabe lo de martín...

eloísa	así que por fin volvemos a encontrarnos después de nuestro primer tropiezo, juan castañeda...

juan	si lo que viene es buscando es responsabilidades, la culpa fue de su cochero, que tomó la curva demasiado ligero…

eloísa	razón no te falta, y no te inquietes que ya ha sido castigado por ello.

eloísa	ay…

juan	¿entonces qué está buscando aquí?

eloísa	eso ya te lo he dicho al llegar... descanso y agua, lo demás ha sido sólo un requiebro del destino... me gustaría reposar un poco más antes de volver a la casona, temo que mi maltrecha pierna pueda jugarme una mala pasada...

eloísa	…y en cuanto a ti me alegra verte tan sano y entero… pero juraría que no quedaste tan mal parado después de nuestro accidental encuentro.

juan	en realidad, no fue por eso, tuve otro accidente.

eloísa	bueno, ya sabemos algo de ti… que guiar carros no es lo tuyo. aunque estoy segura de que tienes otras aptitudes... y dime, juan castañeda, si no sirves a doña francisca, ¿cómo te ganas el jornal?

juan	pues, con cosas que van saliendo de aquí allí, hasta que me llegue la oportunidad…

eloísa	ah… ¿no me digas que tengo delante de mí a una futura figura como “el lagartijo”…? dicen que de estos puebluchos pintorescos es de donde salen los toreros...

juan	no… saldrán, pero a mí los toros me tienen ojeriza, señora… yo estudié en la escuela de bellas artes de valencia.

eloísa	¡artistas en puente viejo, que cosa tan peregrina…! 

eloísa	…me gustaría ver tus dibujos mientras me recobro. ¿tienes alguno a mano…?

juan	claro... claro, señora…

virtudes	gerardo, te he estado buscando por todas partes… tenemos problemas...

gerardo	¿los guardias?

virtudes	no, pero si no marchamos de puente viejo hoy mismo, mañana serás apresado.

gerardo	explícate, mujer.

virtudes	no hay tiempo de explicaciones. marchémonos, por favor... confía en mí…

gerardo	es sebastián, ¿no es así?

virtudes	lo ha descubierto todo. ha amenazado con delatarnos si no nos marchamos hoy mismo...

virtudes	¿…no vas a decir nada…?

gerardo	¿qué quieres que diga que no sepas ya?

virtudes	gerardo, no puedes matarlo.

gerardo	no solo puedo sino que debo. pone en peligro todo lo que he  luchado durante estos años...

virtudes		escúchame, debemos ser inteligentes e irnos de aquí. tal vez intentar cruzar la frontera por nuestra cuenta.

gerardo	ah… no pienso huir con el rabo entre las piernas.

virtudes	¡yo no pienso dejar que mates a sebastián! 

gerardo	¿aún sientes algo por él? ¡¿es eso?!

virtudes	¡no digas sandeces y suéltame…! ¡tú mejor que nadie sabes lo que tengo con sebastián…! ¡fuiste tú el que me arrojó a sus brazos…!

rosario	¿va todo bien, señorita?

virtudes	sí, rosario, sólo discutía con mi hermano un tema familiar... ¿desea algo?

rosario	he venido a por unas tijeras de podar, para el romero de la cocina.

rosario	agradecida...

virtudes	no podemos seguir llamando la atención de esta manera. marchémonos, hoy mismo.

gerardo	no… no sin antes acabar con ese traidor. 

virtudes	gerardo…

gerardo	si sebastián no muere, seremos nosotros los muertos porque más tarde o más temprano nos delatará…

juan	aquí habitualmente dibujo paisajes, que en puente viejo los hay hermosos como para llenar tres vidas de faena, aunque también me gusta la anatomía...

eloísa	sí, ya veo... ¿y no has pintado algún desnudo?

juan	sí… en la escuela de bellas artes no… no faltaban las prácticas del natural, señora...

eloísa	yo creo que el desnudo de una mujer es de las cosas más hermosas que se pueden plasmar en un lienzo y que sólo grandes artistas como tiziano o como goya saben plasmar la esencia femenina en todo su esplendor. ¿no lo crees así, juan?

juan	por supuesto, señora...

eloísa	¿dónde tienes tu estudio? 

juan	pues, allí donde me pille...

eloísa	pero para que un artista florezca ha de rodearse de comodidades y de belleza. sería una pena desaprovechar todo este talento en tan mísera existencia...

juan	soledad… 

soledad	¿tenemos visita…?

juan	ella es la duquesa de caldas. se aloja en la casona y precisaba descanso… señora, ella es mi esposa, soledad.

eloísa	he oído hablar muy bien de ti, soledad, aunque lamento comunicarte que no de labios de tu madre...

soledad	no se lamente por eso porque a mí en nada me afecta. 

eloísa	ah… joven, guapa, y orgullosa. una espléndida mezcla desaprovechada en tan infortunada vida...

eloísa	…bueno, no deseo importunaros más, parejita. ay… ¿me indicas cómo llegar a la casona, juan?

juan	por supuesto, señora...

eloísa	ha sido un placer conocerte, querida. espero que nuestros caminos vuelvan a juntarse muy pronto...

hipólito	¡ay, angelina, por los clavos de cristo, que ya van cuatro…! ¡mujer, hemos de coordinarnos mejor que yo estando medio tuerto ya tengo bastantes magulladuras...!

angelina	mucho has de amarme, mi querido hipólito, para batirte en duelo por mi honor. relátamelo de nuevo...

hipólito	bueno, bueno, era un asunto más de educación que de amor, mujer. lo hubiera hecho por cualquiera, no te creas. 

angelina	pero lo has hecho por mí... ¿les hiciste morder el polvo a los castañeda?

