MAN (VO) 		(on phone) Yup. All right. 

YUPPIE		(on phone) Just hold on a second. (to Jay) Look, man, is there any way we can speed this up? I'm really, really in a rush.

JAY			Sir, I’ll get right on that for you. 

YUPPIE		(on phone) So, what did he say? Are you kidding me? Fuck that guy, man! 

JAY			Sir?

YUPPIE		(on phone) I- I'm done talking about this. 

JAY			(overlapping) Your order’s ready. 

YUPPIE		(on phone) Uh- uh, send it to me in an email, okay. 

JAY		Thank you. Have a good day. How are ya doin’, David? How have you been?

DAVID 		Hey, Jay, I'm good. You know, I'm tryin’ to avoid assholes like that. What about you?

JAY			Tryin’ to avoid assholes like that. You know how it goes. 

DAVID 		(overlapping) (laughs) 

JAY			Uh, this is yours. 

DAVID 		One thing. Do not tell my wife about this, okay? 

JAY			Promise, our secret.

DAVID 		Good to see you, Jay. 

JAY			Always good to see you, Dave. 

DAVID 		Thank you, young lady. 

ISABEL 		(VO) 	(on voicemail) (in Spanish accent) Hey, babe. Just calling to let you know that we got here safe and we’re waiting for you to get home. Someone is excited to hear from you! 

DAVID 		(chuckles) I love those guys. 

SAVANNA 		(on Skype) Hi, Daddy. 

DAVID 		(on Skype) Hello. So, how do you like Mexico so far? 

SAVANNA 		(on Skype) I kinda miss home. Well, I also miss you, too, Daddy. 

DAVID 		(on Skype) Oh, baby, it’s okay. Come on. You’re there to see Grandma and Grandpa. It’s their wedding anniversary. And you know how much you love the ocean. 

ISABEL 		(on Skype) That’s what I told her. 

SAVANNA 		(on Skype) Oh, and when we got here, I lugged the big bags all by myself. 

DAVID 		(on Skype) Really? Show me those muscles. Look at that! Strong like Daddy.

ISABEL 		(on Skype) No, you mean strong like Mommy. 

DAVID 		(on Skype) Yeah, yeah, I know. 

ISABEL 		(on Skype) Are you eating Jay’s?

DAVID 		(on Skype) Mm-hmm. 

ISABEL 		(on Skype) Mm. You know you’re not supposed to eat that.

SAVANNA 		(on Skype) Yeah, she’s right. You’re not supposed to be eating that, Daddy. 

DAVID 		(on Skype) Hold on. Jay’s from the Bronx. And Chinese? Bronx-Chinese. It doesn’t get better than that. 

ISABEL 		(on Skype) (laughs) I don’t wanna hear any complainings when you get sick. 

DAVID 		(on Skype) I'm not gonna get sick. Watch. Mm.

ISABEL 		(on Skype) Mm-hmm. We’ll see. 

DAVID 		(on Skype) (laughs) 

ISABEL 		(on Skype) So, how did it go today? 

DAVID 		(on Skype) You know, well they invited me to take the black belt two. 

ISABEL 		(on Skype) Those are great news, babe. So, my executive badass. 

DAVID 		Very funny. 

ISABEL 		(on Skype) Is there any way you can get here any earlier? I mean, two weeks is a long time. 

DAVID 		(on Skype) Well, just by chance I did close the Kovash deal today, so I think it might have bought me some good will. I'm gonna be there in four days my babe.

ISABEL 		(on Skype) Okay, babe. I’ll let you get back to your daughter while I get ready for bed. How’s that? Love you. 

DAVID 		(on Skype) (overlapping) Okay. I love you so much. 

ISABEL 		(on Skype) I love you, honey. 

DAVID 		(on Skype) So, honey, Daddy’s gonna come right back. Just give me a second, okay? 

SAVANNA 		(on Skype) Where are you going?

DAVID  		(on Skype) Daddy’s just gonna grab a glass of wine, sweetie.

SAVANNA 		(on Skype) Wine? Really? You’re not supposed to be drinking wine. 

DAVID 		(on Skype) Is that right, little lady?

ISABEL 		(to Savanna) Don’t give him such a hard time. I'm sure he earned it. 

DAVID 		(on Skype) See? Just one glass, but Daddy did earn this. Mm. So, I have an idea because I'm gonna be there early, I was thinking that we could ride Mommy’s horses together.

GABRIEL 		Hello, Savanna.

DAVID 		(VO) (on Skype) What the fuck are you doing? 

SAVANNA 		(overlapping) (screams) 

DAVID 		(on Skype) (yells) Leave her alone! No, no, no. 

ISABEL 		(overlapping) (grunts) (screams) 

DAVID 		(VO) (on Skype) (overlapping) Hey! Hey! Hey! Hey! Hey! Baby! Baby, run, baby. Run, run, baby! 

ISABEL 		Ah!

DAVID			(on Skype) Baby! Baby!

ISABEL 		(cries) 

DAVID			(on Skype) (voice breaks) Baby. (cries…) Baby. 

DAVID 	(inhales) (grunts) (on Skype) (voice shakes) What- who- who are you? 

GABRIEL 		(on Skype) (in Spanish accent) (whispers) It’s your move, David.

DAVID 		(on Skype) (breathes shakily) No- no. Don’t- don’t hang up. Please! Hey! (yells) Hey! 

OPERATOR 		(on phone) Nine-one-one. What’s the nature of your emergency?

DAVID 		(on phone) (voice breaks) I- I witnessed an attack on my wife and my- my daughter. I think he has them both. I don’t know what to do. I don’t know. I don’t know. She’s in Mexico. Please. I just need some help. (breathes shakily) Mexico. Mexico. Baja. Uh, Dav- David Miller- David. 

DAVID 		(CONT’D) (on phone) I was on a video call. I saw everything. I saw them-- He hit my wife and he-- (voice breaks) I think he has my daughter. Yes.

DAVID 		(CONT’D) (on phone) Okay, thank you very much. Please get them here as soon as you can. Thank you. (breathes shakily) (softly, to himself) Oh, God. (voice breaks) God. 

OFFICER JONES		David Miller?

DAVID 		Yes. 

OFFICER JONES		We received a report of an attack?

DAVID 		Yeah, that’s right. 

STEVENS		Sir, can we come in? 

DAVID 		Please do. (sniffs) (breathes heavily) 

STEVENS 		Do you mind if we take a look around?

DAVID 		Yeah- yeah, help yourself. 

OFFICER JONES		You told the nine-one-one operator you witnessed your wife being attacked? 

DAVID 		Yes, she’s in, uh, she’s in Mexico, was in her parents. I saw an attack. It was a video call. 

STEVENS 		Do you mind if I check you? 

DAVID 		Of course you can, but is that necessary?

STEVENS 		Just procedure, sir. 

DAVID 		(overlapping) (sighs deeply) 

STEVENS 		Put your hands behind your back for me. Spread your feet apart. A little wider. 

DAVID 		(sighs deeply repeatedly) 

STEVENS 		Lean back. So, this alleged that you supposedly witnessed, how were you able to do that, since it took place in Mexico?

DAVID 		I’ve already explained this. I was on a video call. The guy showed up and hurt my wife and my child. I saw everything. 

STEVENS 		Okay, so you saw this attack on a video chat. 

DAVID 		Yes.

OFFICER JONES 		Mr. Miller, would you give me a moment? 

DAVID 		Of course. (to Officer Stevens) That’s what happened, okay? I was on a video call.

OFFICER JONES 		(on radio) Dispatch, I'm with a gentleman who said he witnessed a two-seventeen. 

DISPATCH 		(on radio) Copy that. Everything okay?

OFFICER JONES 		(on radio) Yeah. He said he witnessed the attack via video chat.

DISPATCH 		(on radio) I'm sorry, can you repeat?

OFFICER JONES 		(on radio) Witnessed attack via video call. The attack happened in Mexico. I'm not exactly sure how to proceed. 

OFFICER JONES 		(on radio) Copy that. 

OFFICER JONES 		Mr. Miller, we’re gonna have to refer this to a different department. Someone will be contacting you shortly.

DAVID 		Some- someone? Wait- who- who- who will call me?  

OFFICER JONES 		I'm sorry, sir. But someone will contact you this evening. 

DAVID 		(softly) Okay.

OFFICER JONES		Let’s go. (to David) I'm really sorry, sir.

DAVID 		Thank you.


DAVID 		Bella, where are you?

BELLA		(on phone) (in Spanish accent) At the apartment (voice breaks) waiting for Daddy to come. The police is here. Uh, but my God, David, what’s going on? (breathes shakily) (exhales sharply) 

DAVID 		(on phone) Bella, do you know anything?

BELLA		(on phone) (voice breaks) No! There’s police everywhere, and then they said that there’s a detective on his way.

MEXICAN 		(speaks Spanish) 

BELLA 		(on phone) (grunts) Uh. David, hol- hold on a second. (softly, to Mexican Officer #1) Yeah?

MEXICAN		(speaks Spanish) 

BELLA 		(softly) Okay. 

DETECTIVE ROMERO	(in Spanish accent) Senorita Barabas, soy Dectivo Romero.  

BELLA		(speaks Spanish) Isabel is my sister. (on phone) Uh-uh, D- David, can you hold on a second, please? (to Detective Romero) Uh, I have my brother-in-law on the phone. He witnesses the attack. 

DETECTIVE ROMERO 	Can I speak with him?

BELLA		(on phone) David, I'm just gonna pass it on, okay? (to Detective Romero) Sure. 

DETECTIVE ROMERO 	(to Bella) Hey. I may want to ask you a few questions when I'm finished please. 

BELLA			(in shaky voice) Sure. 

DETECTIVE ROMERO 	(on phone) Mr. Miller. This is Detective Romero. Were you on the phone with your wife?

DAVID 		(on phone) Not on the phone. I was on my laptop on a video call. I saw everything. 

DETECTIVE ROMERO 	(on phone) You saw the attacker?

DAVID 		(on phone) Detective, I'm happy to answer your questions, but please can you tell me is my family okay? 

DETECTIVE ROMERO 	(on phone) Your wife and- and daughter are not in the apartment. There’s no blood. No sign of forced entry. The bags, they are still here. It wasn’t a robbery. At this point, it leads me to believe that it was a kidnapping, in which case they will have to be kept alive because it becomes a- a business transaction. 

DAVID 		(on phone) What do you mean a transaction- business transaction? I saw him beat my wife until she couldn’t--

DETECTIVE ROMERO 	(overlapping) (on phone) I understand what you- you must be going through right now, and, uh, I need to know when- when you will get here. It will be very important for you to be here in country. 

DAVID 		(on phone) I already booked my flight, American Airlines. It leaves in the morning. I’ll be there two p.m. local time. 

DETECTIVE ROMERO 	(on phone) I'm going to give you my cell number. I want you to call me the moment you arrive, please. 

DAVID 		(on phone) I’ll be there in the afternoon. I’ll call you as soon as I get there. (breathes shakily…) 

DETECTIVE ROMERO 	(on phone) Hello?

DAVID 		(on phone) Yeah, Detective, it’s David. I just got here.

DETECTIVE ROMERO	(on phone) Oh, good. Can I send a car to collect you?

