FEMALE REPORTER	[ speaking Turkish ]
MALE REPORTER	[ speaking Chinese ]
FEMALE REPORTER #2	[ speaking French ]
FEMALE REPORTER #2	[ reporter speaking French ]
PAM	Josh?
PAM	What is it?
JOSH	I'll drive.
RYAN	Computers and telecoms are up on the genny I'll make sure that the ISDN has power.
RON	I was looking for Pam, but the sky is literally falling, Josh.
JOSH	Checking with my planet to figure out why.
RON	Great. Look, could you fix your attention on my son Ali, for a minute?
RON	No. really. You need to. Just be a human being for one minute, alright?
RON	I'll be back, okay?
JOSH	Okay.
RON	That's an order.
JOSH	Yeah.
JOSH	Did you know that Earth is filled with liquid, see?
JOSH	It's molten, iron, and nickel.
JOSH	The fact that it's spinning generates a magnetic field
JOSH	that keeps us safe from all kinds of space radiation.
JOSH	[ chuckle ]
JOSH	Without it, the air that gives us the ability to live...
JOSH	would just sputter away....
JOSH	into outer space...
JOSH	and we die.
PAM	You just can't tell a baby we're going to die, Josh.
JOSH	Yes, I can.
PAM	No.
JOSH	Question is, what is he going to do about?
RON	Thank you, Pam.	
PAM	Oh.
RON	Oh. [ chuckles ]
RON	You ready for the meeting?
PAM	Yeah. Ready.
PAM	[ clears throat ]
JOSH	Anything bothering you, Pam?
PAM	I'm about to get skewered, Josh. Can you be more specific?
JOSH	The solar flare happened at the same time as those 8+ quakes.
PAM	Uh-huh.
JOSH	North Pole launches over two thousand miles in the same exact night.
PAM	Oh, come on.
JOSH	And aside from the electricity being out.
JOSH	Tiksi, Siberia is Santa's new home. Ho ho ho.
PAM	Are you sure?
JOSH	Calculated the magnetic variance myself.
JOSH	Pam, I think this signals a polarity reversal.
PAM	Well, it's scary, I know. But it's not totally unprecedented.
PAM	I mean, it happens, what, every half a million years.  
JOSH	Anthropologists believe that the last big one, 780,000 years ago,	
JOSH	and that was a massive extinction event.
JOSH	Now, large fossil mammal records are hard to come by, but I think--
PAM	Josh! 600 Extra High Voltage power transformers just blewacross North America
PAM	because of a CME wedidn't see coming.
PAM	All the lights are out. Everywhere.
PAM	Now I need to go in there and tell the Secretary of Energy why this isn't my fault.
PAM	So, please. Can this wait?
JOSH	No! If this is what can happen to us from a solar storm with a magnetic field,
JOSH	I've got to tell them about it.
PAM	Oh no, Josh!
PAM	You're smart.
PAM	You're so smart. When you started working here I gambled
PAM	that you were totally worth it if you filed a title 7against me.
JOSH	Is it too late to claim a harassment?
PAM	So be smart enough to know you can't just go in there and say
PAM	that you think the Earth's outer core is slowing down,
PAM	Oh, and by the way a GS-13 from Colorado would love to just borrow the two most powerful
PAM	particle colliders to see if he could try to speed it up.
PAM	That's not how it works, Sweetie.
JOSH	If I tell them about the impending danger,
JOSH	they're going to have to do something about it!
PAM	Yeah! Like find another practical physicist to do your job.
JOSH	Pam!
JOSH	Pam! Wait!
PAM	[scoffs]
JOSH	Pam!
JOSH	Dammit. Dr. Cushing!
PAM	[ gasp ]
JOSH	What is it?
PAM	I lost them.
JOSH	What?
PAM	The embryos, they didn't take.
JOSH	Oh, Pam. I'm sorry.
JOSH	I'm so sorry.
PAM	It just feel like it wasn't meant to be, you know?
JOSH	I know. I know.I know. I know.
JOSH	Think about this.Maybe's for the best.
JOSH	What I mean is...
JOSH	We have a lot to handle right now and the world needs us.
PAM	I need you.
JOSH	I know.
PAM	Do you understand?
JOSH	Yes.
PAM	Are you listening?
JOSH	You want me to keep quiet.
PAM	Yes.
PAM	Please.
PAM	You have a habit of--
JOSH	Saying what's on my mind?
PAM	Pissing people off.
PAM	I'm up against it. My department needs funding. Please don't blow this for me.
JOSH	This reverse polarity is a serious thing, Pam. It can be life ending.
PAM	Then publish an article. Build a consensus. I don't know.
PAM	On paper no one can tell you don't care what they think. 
JOSH	And I can just, what, sit around and wait for a peer review while the magnetosphere
JOSH	disappears above my head and they can argue about punctuation?
PAM	Then get your own meeting.
PAM	A temblor?
JOSH	The nearest fault's in the Springs, a hundred miles away.
JOSH	And it's inactive.
PAM	[ sniffs ]
RON	Not the right day to smell the roses, Pam.
RON	Homeland security protocolskicked in when the power went down,
RON	so we're going live from Camp David. The President will be joining us.
SECRETARY	Ron, can you hear me?
RON	Yes. Thank you, Mr. Secretary. We are a go on our end.
SECRETARY	Terrific. My hosts at CERN have been gracious enough to allow me 
SECRETARY	the use of their hard-wired collider control room feed.
MADAME PRESIDENT	This way? Okay.
MADAME PRESIDENT	Thank you for waiting.
MADAME PRESIDENT	What is the status?
RON	Madame President.
RON	I'm the Director of NOAA Space Weather, Ron Livingston,
RON	this is the Deputy Director and satellite liaison to NASA,Pamela Cushing.
RON	She oversees the Solar Dynamics Observatory.
MADAME PRESIDENT	So what happened, and why were we caught with our pants down?
PAM	The sun blasted us with three waves radiation, ionization, and a violent Coronal Mass Ejection.
PAM	Sunspots more powerful than a billion thermonuclear weapons, 
PAM	traveling at over 1,000 kilometers per second.
PAM	That's what caused thespectacular aurora borealis as far as Panama.
PAM	And that's what destroyed ourgeodetic satellites. As well as our power transformers.
MADAME PRESIDENT	We were utterly unaware andcompletely unprepared?
SECRETARY	Madame President. Space Weather predicted heightened coronal mass ejections.
SECRETARY	The record reflects their warnings.
MADAME PRESIDENT	Well, it wasn't enough!
PAM	Ma'am, if I may. Werecommend steps to mitigate the damage
PAM	in case sunspots threaten the Earth again.
PAM	If we directly link regional power systems to advanced warning
PAM	from Solar Dynamics Observatory. We can build back a better infrastructure.
PAM	These steps will cost money.
PAM	Thankfully, our magnetic field deflected most of the sun's
discharge.
PAM	My colleague and husband, Joshua Chamberlain, from the US Geological Survey,
PAM	can talk about the threat confronting our planet.
PAM	Josh.
JOSH	Um.
JOSH	Hi. I'm Joshua Chamberlain ofthe US Geological Survey,
JOSH	and I'm worried about a solar flare hitting our weakening
JOSH	magnetic field, Madame President.
