LILI		Carolina, what would you do differently if you could go back in time?

CAROLINA		I would have married Arthur when we were young and naive.

CAROLINA	I can still have kids, Arthur.

ARTHUR	You can, but not with me, right?

CAROLINA	You wouldn't do that for me?

ARTHUR	Carol wants to have kids with me. Can you believe it?

MAX	No way!

ARTHUR	Shh. If I find out you told someone I will fire you, hm, dude?

DORINHA	If you really want to have this kid with Arthur, you will.

CAROLINA	What do you mean?

DORINHA	Women always decide.

ARTHUR	This is the deal, Carol won't give up having a kid with me, right? But that can be good.

MAX	So, Jojo's going to get a little brother?

ARTHUR	No, no, of course not. I'm the one who is going to get something out of this. Let her try to have my kid.

MAX	I still don't get it.

ARTHUR	Trying doesn't mean she is going to be sucessful... Meanwhile? Meanwhile, we will have fun.	

MAX	Oh you are an adorable blue-eyed monster.

DORINHA	Sis, women are the ones in power. You have to do the following...

CAROLINA	Hm?

DORINHA		Whenever you are in your most fertile moment in your cycle, you have to seduce that dog. He won't even know what is happening.

CAROLINA	But that's a little dishonest, right?

DORINHA	Oh, no Carolina. No.

CAROLINA	Come on, Dorinha!

DORINHA	No. No guilty conscious here...

CAROLINA	No, I am not going to do that.

DORINHA	… Not right now at this time, Carolina. No!

CAROLINA	(laughs)

DORINHA		Make something up. I don't know. Say it was an accident, get it? It's not going to be a huge sacrifice for Arthur. Quite the opposite, right beautiful? Hm.

CAROLINA		Oh. I've always dreamed of how my son with Arthur would look like.

DORINHA	Or daughter, right? Make your bets.

CAROLINA	(laughs)

DORINHA	No, you only bet with Arthur, I forgot.

CAROLINA	(laughs) Okay, okay! That's it, that's it. Let me get back. I left the magazine for lunch and I never went back. Bye.

DORINHA		You know what I'm going to do? I am going to pray to Saint Cosme and Damiao.

CAROLINA	Oh! Great! No tackyness, please, okaY?

DORINHA		Yeah, do not say that's tacky, okay Carol? I know you, okay?

CAROLINA	(laughs)

DORINHA	After you get pregnant, you'll thank me.

CAROLINA	Okay, okay! Bye.

DORINHA	Hey, hey, hey!

CAROLINA	Thank you (kiss).

DORINHA		That's what sisters are for. Go in peace, my love.

HUGO	Daughter, daughter.

CASSANDRA	Hm?

HUGO	Help me out, give me a lucky number.

CASSANDRA		Oh, dad, I don't know. I'm busy. 34. Okay? My size.

LURDINHA	34, you? Are you sure? (laughs)

CASSANDRA		Hm. Of course, I'm hot right, right? I have a model's body, so sorry.

KATIA		Oh, stop it everything you're doing, Cassandra.

CASSANDRA	Hm?

KATIA	Take a look at this new lipstick color by Bastille.

CASSANDRA	(laughs)

KATIA	Wild Strawberry, my love. Try it on!

CASSANDRA	Put it on me! Put it on me.

LURDINHA	Look, wait a moment. Close your mouth, close your mouth. 

CASSANDRA	(reaction)

KATIA	Let me see?

CASSANDRA	Do you like it?

LURDINHA	Put your hair up.

KATIA	Now you look like a real model.

TODAS	(laughs)

CASSANDRA	Now I already am, right? Tell the truth? Now I need to be TOTAL DREAMER GIRL

LURDINHA	I can't believe it. Are you going to sign up for the contest?

CASSANDRA	I am going to win. (kiss)

LURDINHA	(reaction) I got the goosebumps.

CASSANDRA	(laughs)

KATIA	I think you're right.

CASSANDRA		I just don't like the color. Hm... It doesn't look good. 

KATIA	That's it, my love.

LURDINHA	This one here, Fruit of passion, tastes like passion fruit and it's made for kissing, love!

CASSANDRA	Yay!

LURDINHA	Look, look.

CASSANDRA	Hm...

LURDINHA	Huge mouth.

CASSANDRA	Carol, Carol, wait, Carol!

KATIA	Are you crazy?

CASSANDRA	Cassandra, hm?

FLORISVAL	What is this?

CASSANDRA	Remeber me? You met me at your party. I'm your ex's daughter.

CAROLINA	What happened to your face, girl?

CASSANDRA		What? Ah. (reaction) Oh my gosh. Oh my gosh. What is this horror, I look horrible. (reaction)

CAROLINA	You look horrible, excuse me.

CASSANDRA		Carol, wait. Look at me. Don't you think I could be TOTAL DREAMER GIRL

CAROLINA	(reaction)

CASSANDRA	Hm?

CAROLINA	No, now excuse me.

CASSANDRA		Hold on, why not? Wait. Imagine me without having smudged lipstick.

LURDINHA	What? How can this be?

HUGO		Hm. Where is my daughter? She disappeared.

KATIA	I think you shouldn't ask.

LURDINHA	Uh-oh...

KATIA		She left like crazy, almost dropping everything, after she saw the madame arriving in a luxury car.

LURDINHA	I think that's Dorinha's rich sister.

KATIA	Oh.

LURDINHA	It's her. Or is it a rich cousin?

HUGO	Carol.

CASSANDRA	Is the smudge off? Hm? Is this better?

FLORISVAL	Girl, Carolina is in a hurry. Can you excuse us so that she can get in the car?

CASSANDRA	Carol, this is my one in a lifetime chance.

CAROLINA		Can you get me the pepper spray, please, Florisval. 

FLORISVAL	Are you going to keep on top of her?

CASSANDRA	No, wait, calm down.

CAROLINA	(reaction)

CASSANDRA	Wait, Carol. I've dreamed about being a model since I was a kid.

CAROLINA	Ah, here comes the dad.

HUGO	Hi, hi, Carol.

CASSANDRA	Daddy.

HUGO	So good to see you.

CAROLINA	Oh, my gosh.

HUGO		You continue to be... Look, I'm sorry for the confusion I made at that party, okay?

CASSANDRA	Sorry.

CAROLINA		Look, you are forgiven. What I don't forgive you is for keeping me here against my free will.

HUGO	No.

CAROLINA	Please.

CASSANDRA	No, Carol, Carol, Carol!

CAROLINA		My gosh!  We will need to use force, Florisval.

FLORISVAL	Calm down.

CAROLINA	Please.

HUGO	No.

CAROLINA	Can you remove this girl from here?

HUGO	No, no need to Carol.

CASSANDRA	What is this, you guys?

CAROLINA	No...

HUGO	What is this, you guys, só...

CASSANDRA	I come in peace.

CAROLINA	Okay. And I am asking politely...

HUGO	We know each other.

CAROLINA	… for this girl to get our of here.

FLORISVAL	Excuse me.

CASSANDRA	Carol, look, look.

CAROLINA	You two are crazy.

FLORISVAL	Please, get out of the way.

HUGO		Calm down, look, whenever you want to drink ª..

CASSANDRA	Carol.

HUGO	… Coffee at my establishment.

CASSANDRA	I have potential, right.

HUGO	The taste is still the same, remember?

CAROLINA	(reaction)

HUGO	Okay. The same as when we dated.

CASSANDRA	Carol.

HOGO	Remember when we would make out in the good's closet, Carol?

CASSANDRA	(reaction) Cassandra.

CAROLINA	Florisval, for the love of God, go, can't you see that this is being a torture for me?

FLORISVAL	Yes, Miss Carolina, you and him already...

CAROLINA	No! Let's go, you can run them over.

CASSANDRA	Carol, Carol, no. Carol. Good's closet, hm? Wow!

HUGO		Many times. Whenever I win the lottery she will like me again. Yes she will.

CASSANDRA	You dreweled a little, dad.

HUGO	(laughs)

CASSANDRA	Look, the drewel! (laughs)

HUGO	(laughs) Stop.

CASSANDRA	Let's get back to work, handsome.

HUGO	(laughs)

DEBORA	Katio, where is Cassandra and my dad? Did they abandone the bar?

KATIA	What?

DEBORA		Did my dad and Cassandra abandone the bar?

KATIA	Please.

LURDINHA	Oh.
KATIA	They went to talk to Dorinha's rich sister.

LURDINHA	Carol was driving a luxury car.

KATIA	Oh, thanks.

DEBORA	Carolina Castilho?

LURDINHA	Yes, her. Want to  come through?

DEBORA	No. Yeah, did you know that my dad was her boyfriend? They dated.

LURDINHA	(laughs)

KATIA	(laughs)

LURDINHA	Did your dad really date that miss?

DEBORA	Uhum.

LURDINHA	(laughs)

KATIA	Hugo? That dummy?

DEBORA		First of all, my dad isn't a dummy, okay? Secondly, yes, they dated when they were teens. And if you doubt it, you can ask him. Look, it's dripping.

CASSANDRA		Oh Debora, I'm glad you arrived. Can you keep an eye on the bar for me, please? I have something to do.

DEBORA	No, I can't. I'm going to college.

CASSANDRA	So what, monster? My future is at stake. Go take care of the bar.

DEBORA		Your future is at stake, I … Oh... Dad, Dadd. Cassandra is telling me that I need to stay at the bar, but I have to go to college.

HUGO		Oh you can go to the bar. I'll take are of the bar by myself.

DEBORA	Are you sure?

HUGO	Yes.

DEBORA		Okay. But don't let Cassandra take advantage of you, okay? The party was bad enough.

HUGO	Okay/

DEBORA	Kiss. Have a good day at work.

HUGO	Okay. Have a good day at school, okay?

DEBORA	Thank you. I love you.

LURDINHA	(reaction) I'm hot. (laughs)

KATIA	What's going on Hugo? (laughs) I was talking to my friend, and she told me you dated Carolina Castilho, is that true?

LURDINHA	Really? Is that true?

