AURORA (V.O)	Join Me

MASON	Let’s see a prosthetic do that

DEZZIE	I got to get to work

MASON	That was work

DEZZIE		Maybe you need a prosthetic after all, might help with your stamina
MASON		Hey I promised you seven minutes of blissful ecstasy-
DEZZIE		And this time, you were only five short. Look at you making progress

DEZZIE	You know those things will kill you right?

MASON	That’s what my father used to say

MASON	Last pack then I quit for good…promise

MASON	See me later?

FEN	I’ll let you know

MASON	Uncle Fen

FEN	What the hell is this?

FEN	The Commander wants to see you now

MASON	Can I shower first?

FEN	No

FEN	Try to remember that it’s my ass on the line. Keep your 
	answers short, keep them honest, but mostly short.

MASON	I will. Thank you. For the opportunity

FEN	Don’t thank me yet

FEN	By the way, we got a new science officer. Try not to stare

MASON	What happened to Corrigan?

FEN	Shot himself

FEN	Captain Fen, Major Mason to see the Commander

COMMANDER		At ease gentlemen.

COMMANDER		This is our new science officer, Aurora Owon. We’ll make this brief. Our scanners have picked up an uncharted planet and have navigated us within deployment range. What does that mean Major?
MASON		It means that you need a leader for the expedition to determine if the planet is habitable. I would like to volunteer sir

AURORA	We understand you’ve never lead an expedition

MASON		No. No sir. But on account of my father, I’ve been scouting my entire life

COMMANDER		There are few left in the corps like him, damn shame, I’m sorry for your loss

MASON	Thank you sir

COMMANDER		You are not my first choice Major, but the rest of my lead expedition scouts are deployed. You say he’s ready Fen?

FEN	He’s ready

AURORA		Officer Corrigan’s voyager reports noted an incident of violence between you and an android medical assistant

MASON	Sir, we all get frustrated with technology from time to time

FEN		Obviously Officer Corrigan was never really the most stable human being. Major Mason has never once demonstrated any unnecessary aggression toward anything with an actual heartbeat

COMMANDER	You understand what it means to lead

MASON		When all else fails, complete the mission I understand the protocol sir

COMMANDER		Keep him in line Fen. Aurora will issue a preliminary briefing package. EOC in four hours. I’ll assemble the rest of your team. Dismissed

MASON/FEN	Thank you Sir

DEZZIE	To brave souls and new worlds

DEZZIE	Congratulations John

MASON	She’s going to miss me

FEN	Never underestimate the unknown kid, especially women

FEN	You might want to say goodbye to her

MASON	Eh, she’s busy

FEN	You’re telling me. You might not get another chance

MASON	Hey Dez, headed out. Want to come back to my cabin. I think I owe you five minutes

DEZZIE	I can’t, but I’ll miss you. Maybe we can catch back up at port

MASON	But what if I don’t come back to port?

ANDROID	*robot language*

MASON	Yeah I don’t think I was talking to you. Come on Dez

DEZZIE (O.C.)	Hey guys

MASON	No don’t worry about it, sometimes these old-

DEZZIE	Stop!

ANDROID	*robot language*

MASON	What? It’s not human. It’s broken not dead

FEN	I thought I told you to say goodbye, not get your assed kicked

MASON	Yeah well your advice was vague, as usual. 

FEN	Here

MASON	Thanks

FEN (O.C.)	Did your father ever tell you what happened on the Pioneer scout?

MASON	I know it was abandoned
FEN (O.C.)	That’s what the history courses teach everybody

