BOBBY	(grunts) Wait.

ANNOUNCER	Previously on the Oval.

LILLY	What will they do with him?

DONALD	You don't wanna know.

VICTORIA	So who's this one?  Did she bind you?

HUNTER	Yeah.  Yeah, it was fun.

VICTORIA	The next time one of your goons tries to keep me out of the Oval, it'll be his last.  Tell me the truth.

SHARON	I'm tired of sitting around here, trying to be quiet, so that I don't upset him.

BARRY	I want my daughter back.

RICHARD	I'm gonna do it.  You know, just give me the gun.

BARRY	I'm gonna kill him.

RICHARD	Just give me the gun.

BARRY	Dad, I'm not giving the…

RICHARD	Just give it to me.

BARRY	I'm not giving it to you.  Dad.  Are you all right?

RICHARD	Are you--are you shot?

BARRY	No, I'm not shot.  Are you?

RICHARD	Are you sure?

BARRY	I'm positive.  Are you shot?

RICHARD	No.

BARRY	Are you sure?

RICHARD	No, I'm--I'm--I'm--I'm sure.  I'm not.

BARRY	Are you sure?

RICHARD	Yes, I'm fine.  This is why you're not supposed to have a gun.

BARRY	Dad, I'm sorry--I didn't know it was cocked.

RICHARD	Son--son, listen to me.  Listen to me.  Just--just go home.

BARRY	Dad, I'm sorry.

RICHARD	Just go.

BARRY	I'm sorry.

RICHARD	Okay.  Okay.  Look, I--I got to get to work in a couple of hours.  I got…

BARRY	No, Dad.  What about my daughter?

RICHARD	Okay.  Look, now just--just go get your mother and--and--and go to the police.  Man, you shot a damn hole in the door.  One of us could've been killed.

BARRY	I'm sorry.  I'm sorry.

RICHARD	Barry, just go home.  Barry, just--just go.

DAPHANIE	Help.  Help him.  They shot him.  Somebody shot him.  Help.  Help.  Help.  Help.  Help.  Help.  They shot him.  Somebody shot him.  Help.  €Help.

MAN	Ladies and gentlemen.

SINGER	Feels like I'm running out of time.  You gotta get yours, I gotta get mine.  Not really sure where we're headed to.  I just hope that you'll make it when I do.

VICTORIA	Damn, I was so close.

HUNTER	(sighs) If I die you're nothing.

VICTORIA	Not true.  I'd play the sad dutiful widow.

HUNTER	Yeah, you always got an angle.

VICTORIA	Yes, I do.  And so do you, but yours is short.

HUNTER	It gets the job done.

VICTORIA	Don't be so sure.

HUNTER	Yeah, whatever.

VICTORIA	Get up.  You at least have to give the impression that you're excited about this job.

HUNTER	You wanna go to the Oval?  (snaps finger) Knock yourself out.

VICTORIA	I would, but I have plans.

HUNTER	What plans?

VICTORIA	Get up.

HUNTER	Ow.  God, you're wicked.  How's Gayle?

VICTORIA	What do you care?

HUNTER	What do you mean what do I care?  She's my daughter.

VICTORIA	So now you're the caring father?

HUNTER	She was assaulted.

VICTORIA	Oh, really?

HUNTER	(scoffs) I'm gonna have that boy's ass.

VICTORIA	(chuckles) So now the father is concern about his 16-year-old daughter when apparently he assaults other 16-year-old girls.

HUNTER	I've never assaulted a woman, without them asking for it first, nicely.

VICTORIA	Karma is a bitch, darling.

HUNTER	Yes, I married it.  You really aren't concerned about Gayle?

VICTORIA	No.

HUNTER	You are the coldest reptile I've ever seen.

VICTORIA	Don't forget, the smartest one who put you here.

HUNTER	(scoffs) You know how to turn it on, don't you?

VICTORIA	Yes, I do.

HUNTER	Everything but me.

VICTORIA	I wouldn't […] you to save your children.

HUNTER	Good, because rather I'd die first.

VICTORIA	Keep talking and you just might get your wish.

HUNTER	It'd be a blessing.

VICTORIA	(laughs)

HUNTER	Yeah, laugh it up.

VICTORIA	Dumb bitch.  Keep posting everything.

YUMA	(on phone) Yes, ma'am.

VICTORIA	I'm gonna go shopping this afternoon.

YUMA	(on phone) Ma'am?

VICTORIA	You heard me.

YUMA	(on phone) We can get you what you need.

VICTORIA	I want to go.

YUMA	(on phone) Okay.  I'll arrange it.  Make it small?

VICTORIA	No, no, no.  I want the full treatment.

YUMA	(on phone) Yes, ma'am.  Do you know where you'd like to go?

VICTORIA	I'll send you the address in a minute.

YUMA	(on phone) Yes, ma'am.

VICTORIA	(scoffs)

NANCY	Hey.

SHARON	Hey.

BARRY	What's up?

NANCY	Did you find her?

BARRY	No.

NANCY	Barry, I'm so sorry.

BARRY	Okay.  We got to go to the police station.

NANCY	Yeah, I'm already dressed.

SHARON	You go ahead.

BARRY	You gonna work?

SHARON	Yes.

BARRY	My daughter is missing, and you are going to work?

SHARON	What can I do?

BARRY	You should be here for me.

SHARON	Barry.

BARRY	No, it's cool.  It's cool.  Go to work.

SHARON	We have bills, and I can't take this time off.

BARRY	Uh-hmm.  Yeah, yeah.  Do what you got to do.

SHARON	Don't talk to me like that.

BARRY	My daughter is missing.

SHARON	I understand that.

BARRY	You're heading to work by now.

SHARON	Are you serious right now?

BARRY	Of all times in the world.

NANCY	Stop it.  This is my fault.  I don't need you all falling out with each other over something that I did.

SHARON	Ms. Nancy, this has nothing to do with you.


BARRY	Don't talk to my mother like that.

SHARON	Give me the keys.

BARRY	I need my car.

SHARON	I have to go to work.  Give me the damn keys.

BARRY	No.

SHARON	What is your problem?

BARRY	What is your problem?

NANCY	Hey.

BARRY	I need my car.

NANCY	Take mine.  Come on.

BARRY	Yeah, because I need my car.

NANCY	Barry.

BARRY	I don't wanna hear it.  We got to go.

NANCY	(scoffs) The court's don't even open until 9:00.  Where is your father?  Hey.

RICHARD	All right.

NANCY	Are you all right?


RICHARD	Yeah, I'm fine.  Yeah.  I, um, uh, I just got to get ready for work.

NANCY	Okay.  I ironed your uniform.

RICHARD	Thank you.

NANCY	What's wrong?

RICHARD	Nothing.

NANCY	I know you.

RICHARD	Oh, I'm--I'm just worried about that baby.

NANCY	Oh, I know it.  I'm so sorry.

RICHARD	Don't fall apart.  Okay, just--let's go down to that court with Barry and, you know, so he keeps his cool.  Okay?

NANCY	Okay.

RICHARD	I'll see you when I get home.

NANCY	Okay.  Barry, I'll be waiting in the car.

DONALD	Hi.

LILLY	Hi.

DONALD	Did you finally get some sleep?

LILLY	Yes.  (sighs)

DONALD	Are you okay?

LILLY	I will be.

DONALD	So, what are you doing today?

LILLY	I have a few meetings.

DONALD	Okay.

LILLY	And you?

DONALD	First day as chief of staff.  (chuckles)

LILLY	Yeah.  (chuckles)

DONALD	Yeah.  I'm glad you were awake before I left.

LILLY	Yeah.

DONALD	Are you sure you're okay?

LILLY	Uh, you know, you should, uh, get started with your day.

DONALD	You know, it would be really bad for me to not going to work on my first day.

LILLY	Oh, no, no.  I--I--I wouldn't think of it.  You have to go.

