SINGER	I'm taking my freedom, pulling it off the shelf, putting it on my chain, wear it around my neck.  I'm taking my freedom, putting it in my car, wherever I choose to go, it will take me far.  I'm living my life like it's golden, living my life like it's golden, living my life like it's golden, living my life like it's golden, living my life like it's golden, golden.  Living my life like it's golden, living my life like it's golden, living my life like it's golden, living my life like it's golden, living my life like it's golden.

EVA	(sighs)

EVA	"Dear Ms. Fletcher, thank you for the trust (indistinct) each and every one of you can go straight to hell.

DEREK	Eva?  What's going on?

EVA	I hired the best headhunter, I had two dozen interviews, and I killed every single one of them.  I know you want me out, but I'm gonna need some more time.

DEREK	You're being blackballed, I'm sorry.

EVA	(sighs)

DEREK	But I'm still gonna need you to move out by the end of the month.

EVA	(sighs) Eva Fletcher.

ELMER	I am thrilled to be sitting across from a candidate from the Big Green.

EVA	(chuckles) A pleasure to represent.

ELLA	Old Elmer was at your alma mater before they even admitted women.

CARLTON	I have one more question for you, Ms. Fletcher.

ELLA	Dr. Fletcher, I think it says here on her CV.

CARLTON	Have you, uh, you attended Ivies, and you were the president of one of those fancy liberal arts colleges, said yourself you grew up the indulged Army brat of a Brigadier General.  Share with me what you know about life at a historically black college.

EVA	Pride, tradition, excellence, those are your expectations.  And yet the university has gone from a top five HBCU to falling out of the top 25.  Now, I took Laura Farnsworth College from being simply admired to one that is competitive.  HBCU or Ivy, excellence is excellence.

CARLTON	Excellence is excellence but our budget is our budget.

EVA	I bet I can find 10% pure fat in my first year.

CEDRIC	Let's go.

CHANTEL	I saw them when they did it.

CEDRIC	You ain't seen nothing.

CEDRIC	Come on, hurry up.

BONES	Find that ho.  The one that saw.

DREDS	All right.

CEDRIC	(panting)

BERETTA	Cedric, what's going on?

CEDRIC	Uh, nothing.  Yo, ma, what are you doing?

BERETTA	Ask me that again (indistinct) I smash you upside your head.

CEDRIC	You don't even know what happened.

BERETTA	Okay.  Okay, Cedric, what happened?  Exactly, I'm tired of jumping every time my phone rings, I'm scared, the police are gonna come knocking on my door in the middle of the night, I promised your father I would not let these streets have you.

CEDRIC	Ain't nobody got me.  Ain't I supposed to go to Chicago State in the fall?

BERETTA	No, Cedric, you're not.

CEDRIC	What?

BERETTA	That's not the only school you got into.

CEDRIC	Hey, I can't go to Georgia.  You know I can't.  Ma, what about my music?

BERETTA	They got music in Atlanta.  Grab them.

SINGER	Yeah.  Load them up.  Yeah.  I'm on a new level.

BACKUP SINGER	Yeah.

SINGER	I'm on a new level.  I'm on a new level.  I'm on a new level.  I'm on a new level.  I'm on a new level.  Brought me a new shovel.

CHARLES	Hey, how you doing, young man?

CEDRIC	What's up?

BERETTA	Uh, hi, I'm Beretta, Cedric's mother.

CHARLES	Hi.

BERETTA	This is my aunt Vida.

VIDA	Hi.  How are you doing?

CHARLES	Hi, uh, I'm Charles Richardson.  These are my sons Duncan and your new roommate, Bryce.

BRYCE	How you doing?

CEDRIC	What's up, fam?  It's nice to meet you.

BRYCE	Yeah.

CEDRIC	Oh, dope, we've got a TV?

BRYCE	No, I got a TV.

CEDRIC	Whatever, blueblood.

CHARLES	Let's get the rest of your stuff, son.

CEDRIC	All right.

CHARLES	Nice meeting you.

BERETTA	Likewise.

MELISSA	And today, I continue my four-part series on crime in urban America.  In Chicago, three men were killed in a night club shooting.  The victims included an off-duty police officer working security and a University of Illinois Engineering student.

BERETTA	Cedric, I am putting your undershirts in here with your belts in the second drawer, okay?

MELISSA	We don't tell because we're smart enough to be afraid of the people we should be afraid of.

BERETTA	Cedric?  Help us put your stuff up.

MELISSA	Justice from a system that is demonstrated, black lives don't matter.

CARLTON	Ladies and gentlemen, our new Georgia A&M President, Dr. Eva Fletcher.

EVA	Thank you.  Thank you.  Pride, tradition, excellence.  Those are the words engraved on our gates.  They are also the principles my husband and I have instilled in our daughter, Sydney.  She's a freshman here and we couldn't be more excited.

SYDNEY	Why do I have to move?  She's the one who got fired.

EVA	I wasn't fired, I resigned.

SYDNEY	Well, I didn't "resign," so I shouldn't have to go with you.

DEREK	You barely graduated, Syd.  We were lucky that your mother's new position includes your free education.

SYDNEY	But dad, I can go to junior college here.  My life is here, the father that I'd much rather live with is here.

EVA	This isn't a negotiation.

SYDNEY	What's wrong?  Afraid you'll be lonely?  Afraid you won't make any friends?

EVA	Sydney.

DEREK	That's enough, Sid.

EVA	There are those who say the historically black college is no longer necessary, that our support has dried up.

EBONIE	Why does it take bougie people forever to make a damn point?

NONI	Shh.

EVA	To that, I say…

EBONIE	Shh.

EVA	…excellence has no expiration date.

EBONIE	You don't know me like that.

CEDRIC	No, I could've said all that by names I could beat on, you know what I'm saying?

NONI	Grow up.

EVA	We begin…

NONI	Both of you.

EVA	…our trek back to the top…

EBONIE	You know, you're starting to sound less like my roommate and too much like my mama.  Hey, you know that Boy Rav coming through here next week, right?

CEDRIC	Come on, you already know I got front row tickets to that shit.

EBONIE	(chuckles)

EVA	We begin our future by honoring our past.  This year, we begin our climb back to the top and we will do it together.

CECIL	Welcome to the walk-on tryouts.

NONI	Thank you, Director Diamond, sir.

CECIL	What do you know about this band?

NONI	The Georgia Agricultural and Mechanical University Marching Mountain Cats was established in 1918, with 17 all male members.  Women weren't allowed in until 1942.  When Lula Mae Young's so impressed with her trumpet, she couldn't be denied.  The Marching Mountain Cats became your Marching Mountain Cats in 1996.  You play seven instruments, sir.  But your first, the alto sax, is still your favorite.  That's why I play it since I was six.  You're my idol, sir.

CECIL	You've got good taste.

NONI	And I faithfully pledge to uphold the standards…

DANNY	What in the hell gives you right to recite my creed?  Have you lost your damn mind, freshman?  Are you a Mountain Cat?

NONI	No.

DANNY	Exactly.  With your cocky ass, running my history.  Check up.

CECIL	Proceed.

CHRYSTAL	All right, well, I just needed your signature on this.

EVA	Okay.  What is it?

CHRYSTAL	It is the Fall Semester Bonfire of Freedom, ma'am.  Fire and police department have to be here, state law, and, um, the--all the entertainment, probably a rapper.

EVA	$50,000?  You do realize the school was broke, right?

CHRYSTAL	Yeah, it, it's a big fire, it's…

EVA	We can't afford that.

CHRYSTAL	Well, we've been doing that since 19…

CECIL	(playing piano)

CECIL'S ASSISTANT	Mr. Diamond, your 10:30 is here.

EVA	Thank you.

CECIL	Oh, almost gave up on you.

EVA	After 10 minutes?

CECIL	After five minutes.  So, what can I do for you?

EVA	What you can do for our university.  That's what I came to discuss.

CECIL	Being a nationality celebrated cash cow is a no?

EVA	The band has no bigger fan than its new president.  Makes me wish I didn't put down my flute.

CECIL	I'm sure you had good reason.

EVA	Cecil, it is no secret that the school's in financial straits and most departments are in the red.

CECIL	Not mine.

EVA	Maybe you could stay in standard hotel rooms, fly business class.

CECIL	I bring in more money to this university than any other program but you want me to tighten my belt?

EVA	We'd save a lot of money.

CECIL	You know, it took me 20 years to get the band to this level of undeniability.  When I'm in the barber's chair, I'm creating new formations, when I'm getting my prostate checked, I'm writing new arrangements, live, sleep.

EVA	I get it.  The band is that good because you are that good but we both have jobs to do.

CECIL	We do, and perks to consider, like living in a 10,000 square foot president's mansion alone.

EVA	I'd--uh, I'd like us to work as a team.  And if you aren't interested in that, then it turns into a pissing contest and that would put you in a distinct disadvantage.  Have a productive day, Mr. Diamond.

COACH HARDWICK	How badly do you want to break the hole, baby?  Let's do it.  Let's go.  Let's go.  Let's go.

EVA	I assume this is about money, so I'll just cut right to it.  Your team's record is abysmal.  And I can't get you funding the university doesn't have for a team that bad.

COACH HARDWICK	Wow.  Been a long day, huh?

EVA	(chuckles) Yes, it has.  I'm sorry.

COACH HARDWICK	Then you're right.  We do suck.  Hard to win games without stars who do what we need.  If they can do what we need, they have options.  So, it makes me wonder why you're here.  I mean, obviously, you have options.

EVA	Each and every one of you can go straight to hell.  Is there anything else?

COACH HARDWICK	Nope.

EVA	Okay.  Look, I have a meeting.  So, have a productive day, coach.

EBONIE	Your lips were so attached to Diamond's butt.  I was about to pronounce y'all ass and wife.

NONI	You're stupid.

EBONIE	But I ain't mad.  I mean, ever since I've seen the Mountain Cats perform at Alcorn State, it's just been like, (rapping) "Nothing can save ya, 'cause this is the season of catching the vapors."

NONI	Biz Markie, 1988.

EBONIE	What you know about Biz?

NONI	(chuckles) My father, the conservative MD, talked my ear off about the history of hip hop.  He listens to it, like, every day.

EBONIE	Really?  So does my uncle.  He's like a 45-year-old rapper, still trying to get a record deal.

NONI	Oh, and I saw that performance at Alcorn State.  I still watch it all the time.  Mr. Diamond is the truth.

EBONIE	Which what explains why your lips was all on his old ass.

NONI	Okay, woman, I'm the only freshman walk-on he chooses, you'll wish you would've puckered up, too.

NONI	Oh, my God.  They posted the band list.

EBONIE	Go to the website.

CARLTON	Oh, here's something (indistinct)

CECIL	Uh-uh, no, no.  You know I'm allergic to smoke.  I just like the ambiance.

CARLTON	Her black skin don't make her black.  Not black-black.  Not, not running-a-black-university black.

CECIL	Frat, I've been listening to you bitch and moan for two hours.  What's your plan?

CARLTON	Oh, oh, I got a goddamn plan.  I'm resigning.  Already wrote the letter.  And you know the worse part.

CECIL	Hmm?

CARLTON	They'll call me to clean up Black Ivy's mess when she fails.  So I have to make sure she fails quickly.

CECIL	Kings and queens, presidents and prime ministers request command performances from one marching band.

WOMAN	Whoa, yeah.

CECIL	And that band is Your Georgia A&M Mighty Marching Mountain Cats.

GEORGIA A&M MIGHTY	MARCHING MOUNTAIN 

CATS.	(chanting) G, G-G-G, A, A-A-A, M, M-M-M, G-A-M-U.  G, G-G-G, A, A-A-A, M, M-M-M, G-A-M-U.  G, G-G-G, A, A-A-A, M, M-M-M, G-A-M-U.	

CECIL	Yeah.  Pick it up.

CECIL	Come on out now, freshmen, show 'em why you're here.

COACH HARDWICK	You see?  You see that?  He keeps planting his pivot foot like that, a matter of time before he takes a bad hit and lose that 
knee.

EVA	Good afternoon, gentlemen.  I need to speak with you.

COACH HARDWICK	(clears throat) Uh, gentlemen, will you excuse us?  I'd like to be fired in private.

COACHES	(chuckle)

EVA	Appreciate it, gentlemen.

COACH	Good day, ma'am.

EVA	This is BoJohn Folsom from Carlito, Texas.  Played varsity as a freshman…

COACH HARDWICK	Freshman.  First team All-American in sophomore and junior year.  Best quarterback to come out of the Southwest in ten years.

EVA	You know him?

COACH HARDWICK	Couldn't call myself a coach if I didn't.  And he could've gone onto any division one school, but then he choked his coach.  He's on the untouchable list, Eva.

EVA	So was Randy Moss.  Stars lead to wins and wins lead to funding.

COACH HARDWICK	Why can't you take my word on this?

EVA	Because if you don't tell me what I want to hear, I don't believe you.

COACH HARDWICK	What the hell is that supposed to mean?

EVA	It means we're going on a recruiting trip.

COACH HARDWICK	Look, I already got a team, Eva, been set since spring.

EVA	Then reset it.  I've got to get this school out of debt and I think I might be able to do that with big bad Bo.  Let's go, Coach.

BEN	Y'all seemed like nice folks, so I'm gonna be honest with you, this is a waste of your time.

EVA	Not so, Mr. Folsom.  For us, no matter how this meeting goes, we met a really nice family.

COACH HARDWICK	But I can't tell you how much we're hoping to walk out that door with a commitment from your talented son, there.  BoJohn, are you ready to wear the Burgundy & Black?

BOJOHN	I guess so.

BEN	I'm handling my son's recruitment.

EVA	Mr. Folsom, "recruitment" suggests that there are colleges, plural, knocking on your son's door.

COACH HARDWICK	What Dr. Fletcher is saying is BoJohn has already sat out two years.  Now, if he makes the team, I'll make room for him on my roster, give him a free ride.

BEN	I want what's best for my boy, so let me be blunt, how much salt do you got in that pepper of yours?

COACH HARDWICK	We've got two white players.  But, Mr. Folsom, football is about what's under the skin.  And I promise you…

EVA	I apologize for, uh, cutting you off, Coach Hardwick, but begging is for dogs.  Georgia A&M graduates eighty percent of its players and boasts the most celebrated marching band in college sports.

COACH HARDWICK	Sixteen years and counting.

EVA	Drop your business card on the table and let's go, Coach.

CEDRIC	Oh, great, but that's not it.

LORENZO	Man, then we didn't lay it down there, man.  You just got take your stank ass back in the booth like I told you two hours ago.

CEDRIC	Man, who is you calling stank ass?

LORENZO	Well, just respect my environment, boss.

CEDRIC	Auntie, what're you doing here?  Is mama alright?

AUNTIE VIDA	Who do you think sent me?  She's fine.  Everyone is fine.

CEDRIC	All right.  Can I holler at you later?  I'm on the clock right now.

AUNTIE VIDA	No, you're on your mama's credit card, that's what you're on.

CEDRIC	(whispers) Mama just gave me that credit card.

AUNTIE VIDA	For emergencies.


CEDRIC	And what, what do I got to do, huh?  But I stay out of trouble.  My grades are right.  I ain't nobody's daddy, am I?  What do I got to do just to get a little support for my dream?

AUNTIE VIDA	Here.  Now, ain't no more where this came from, 'cause I don't like this hippity-hoppity rap mess.

LORENZO	Fifteen minutes.

CEDRIC	Look, can you shut the hell up, bruh?  I love you, auntie.

AUNTIE VIDA	Oh.  (chuckles) I love you, too.

CEDRIC	Now play that back, bruh.

NONI	Hey.

EBONIE	Hey, where you been, roomie?

NONI	I'm a Google scholar, remember?  Had a coding meeting.

