FEMALE VOICE #1 TO UNIDENTIFIED CALLER #1	How may I help you?

MALE VOICE #1 TO UNIDENTIFIED CALLER #2	Would you like Email Plus with your order?

MALE VOICE #2 TO UNIDENTIFIED CALLER #3	A deluxe package comes with a built-in SEO wizard. 

MALE VOICE #3 TO UNIDENTIFIED CALLER #4	Your total comes to $321. 

BOB	Okay, is this everybody?

BOB	Just leave the door open.

BOB	All right, gentlemen...

BOB	and lady.

BOB	My name is Bob Glasser.

BOB	I've been sent from corporate, in Akron, to boost your productivity.

BOB	 Now we found the best way to do that...

BOB	 is in boosting the fun quotient of your employees.

BOB	So I'm going to tell you a joke.

SOUNDTRACK	Ah, yeah!

BOB	By the by, any joke told in the confines of this office...

BOB	must be within OSHA regulations...

BOB	and not create any discomfort, sexual or otherwise...

BOB	to the audience listening to said joke.


BOB	All right, a priest, a minister, and a rabbi walk into a brothel.

BOB	What is that?

OFFICE SUPERVISOR	That's G-Money. He works here.

BOB	Money?

OFFICE SUPERVISOR	Yeah, G-Money is his nickname.

BOB	He works here? 

OFFICE SUPERVISOR	Yes.

BOB	Well, that's unacceptable.

BOB	Just looking at this man, you can tell that...

BOB	he's breaking about eight different dress code policies.

OFFICE SUPERVISOR	 Yes, but G-Money is actually a special case.

BOB	Special? Oh, like special? 

BOB	So we get a little tax credit or something?

OFFICE SUPERVISOR	No, no, not that kind of special.

OFFICE SUPERVISOR	He is the company's top sales performer... 

OFFICE SUPERVISOR	for three straight years.

BOB	That?

BOB	That is top sales?

BOB	For three years? 

OFFICE SUPERVISOR	Three years.

FEMALE VOICE #2	Hi, G-Money! 

BOB	The peacock?

BOB	All right. I'd like to see him in my office.

OFFICE SUPERVISOR	Okay.

BOB	The rest of you can F-O.

BOB	I'll tell you the joke later.

OFFICE SUPERVISOR	Okay.

BOB	Is this my office?

BOB	First in overall sales.

BOB	First in ancillary sales.

BOB	Well...

BOB	This is impressive. 

GODFREY	Thank you, sir.

BOB	I just don’t understand...

BOB	how is it that you’re outperforming my...

BOB	entire sales staff by...

BOB	364%?!

GODFREY	The truth?

GODFREY	I love my job.

BOB	That's good. Very good.

GODFREY	Bob, I’ve got to ask. 

BOB	What?

GODFREY	Is that  and gosh darn if it is I'm frizzle-frazzled...

GODFREY	and pardon my French, all of it... 

GODFREY	Is that a Blues Traveler's harmonica?

BOB	You have a good eye.

GODFREY	Shut the front door!

GODFREY	Are you kidding me?

BOB	No, I'm not kidding you!

GODFREY	What? You?

BOB	Yes!

BOB	Come on, are you a fan of the Traveler?

GODFREY	Yes, I'm a Traveler fan.

BOB	Wow.

BOB	Okay, here's what happened. When the Traveler came to town...

BOB	I got backstage, BS...

BOB	After he signs this harmonica, he lets me put on his harmonica belt.

GODFREY	Okay, well, mine's not that, but 2014...

BOB	Uh-huh. 

GODFREY	Popper, Red Rocks.

BOB	Ooh.

GODFREY	A little high. You know...

BOB	Yeah.

GODFREY	You know what we do at the Traveler. 

GODFREY	What happens there, stays there.

BOB	What happens at the Traveler...

GODFREY	I'm in the audience, harmonica solo...

GODFREY	with his nose.

BOB	Shut up!

GODFREY	Nasal solo.

BOB	That's amazing.

GODFREY	Yes! 14 minutes.

BOB	What? 

GODFREY	Yeah.

BOB	We should jam sometime.

GODFREY	Oh, my God. I'd jam right now.

BOB	You play?

GODFREY	Yeah. You got some peanut butter? 

GODFREY	Because I got the jam, baby. You don't think I carry a... 

GODFREY	harmonica with me everywhere I go? 

BOB	Oh, my God! Are you kidding me?

GODFREY	Yeah! I do.

BOB	What? No!

BARTENDER	What do you want?

BARTENDER	Excuse me?

SARA	Oh. Yeah. Can I get a wine spritzer, please? 

SARA	Actually, no, make that a lemon drop martini.

KELLY	Speaking as a literary agent... 

KELLY	not everyone has to be dead at the end of a children's story. 

KELLY	I just think it's a part of life, right? 

KELLY	The sooner the better for them to learn it.

KELLY	Right. 

KELLY	Come here.

SARA	No.

KELLY	You. Them. Both.

SARA	Absolutely not! You come here.

KELLY	I'll be right back. Excuse me.

KELLY	What the fuck, Sara? 

SARA	Shh. Just check out this guy.

GODFREY	...tell you what colors are.

GODFREY	The disjunctive perpetuation of the spatial relationship...

GODFREY	brings within its realm of discourse a distinct juxtaposition.

KELLY	He's the reason people hate art.

SARA	Really? Then why'd you bring me here?

KELLY	Because you write romance novels, and you need to get laid.

GODFREY	One circle is small, down in the bottom it's big. Why?

SARA	Okay, can we talk about something other than men?

SARA	You're a lit agent. You should know about the Bechdel test.

KELLY	Okay. Shall we discuss your deadline?

SARA	No! Anything but that. 

SARA	God, I wish I could return that stupid advance. 

KELLY	First of all, I negotiated that advance for you...

KELLY	so it's not stupid, it's amazing.

KELLY	Especially considering the fact that...

KELLY	nobody reads anymore!

KELLY	Damn it, Sara. I pulled you out of your sad girl cave to inspire you. 

KELLY	Pop quiz, when was the last time you even had sex?

SARA	I don't know.

KELLY	No, wrong answer.

KELLY	The answer is 367 days ago.

SARA	What, are you tracking my sex life on an app?

KELLY	It's not an app. It's a text. 

KELLY	That’s actually a really good idea for an app.

SARA	No. I'm enjoying my celibacy, all right? 

SARA	It's me time.

KELLY	Doesn’t "me time" mean masturbating?

SARA	What? No, it definitely does not.

KELLY	Really? Well, I've been using it wrong. 

KELLY	Sara, listen, you owe Axi a book in three months.

KELLY	Three months. Okay? So just get those unmanicured fingers...

KELLY	tap, tap, tapping before you lose this contract...

KELLY	and your career is over.

KELLY	Huh? You are almost 30.

KELLY	This is my last chance to sell you as a prodigy.

SARA	I am 31.

KELLY	Don't say that out loud!

KELLY	This is a kids' world. 

KELLY	My biggest deal last year was for a seven-year-old...

KELLY	YouTube star's memoir.

KELLY	You could just die. I mean, honestly.

GODFREY	Ooh, sorry. I'm so sorry. 

GODFREY	Oh, my God, I just thought of something funny.

GODFREY	Here's what I believe.

GODFREY	The selfie has become this religious fervor...

GODFREY	and it's just become insatiable. 

GODFREY	It's not cool. It's not a selfie...

SARA	Hey, it's that guy from the other room.

GODFREY	I'm going to assume your name's Jeff.

SARA	What is he doing?

GODFREY	And what about right now?

GODFREY	What about right now? What if we just lived right now?

GODFREY	Okay, and if we can take the time and stop, and be...

GODFREY	ourselves in the moment, right, in this moment right now...

SARA	He’s so weird.

GODFREY	we are we.

GODFREY	You are you. He is he.

GODFREY	If we could live in this moment in a Buddhist like bliss...

KELLY	Come on. Come on, there's someone I want you to meet.

SARA	Okay, just don't be obvious.

KELLY	Come on.

SARA	I just... Who is this guy?

GODFREY	How about I before me, except after you?

GODFREY	I think this world would be a much better place.

GODFREY	And to be honest...
 
GODFREY	that's what this painting is about.

ARTIST	I painted it.

ARTIST	And shit, sure.

GODFREY	I know you don't smoke, but now you do.

KELLY	I don't know, he looks like Austin Powers fucked a chimney sweep.

KELLY	Come on. Come on, let's go.

SARA	Yeah.

SOUNDTRACK	Can't stop thinking about if and when I die for it...

VINCE	Hey, G, what up, what up?

GODFREY	Living. 

VINCE	I hear that.

SOUNDTRACK	...and “when” is. solemn sorrow, and one invades today 

SOUNDTRACK	While the other spies tomorrow

SOUNDTRACK	We're surrounded And we're hounded 

SOUNDTRACK	There's no "above” or "under" or "around" it

SKATEBOARDER	Hey, G.

GODFREY	Hit it. 

SOUNDTRACK	For "above" is blind belief 

SOUNDTRACK	and "under" is sword to sleeve

SOUNDTRACK	And "around" is scientific miracle,

GODFREY	Night.

SOUNDTRACK	Let's pick "above" and see

SOUNDTRACK	For if and when we go "above," the question still remains

SOUNDTRACK	Are we still in love and is it possible we feel the same?

SOUNDTRACK	And that's when going "under" starts to take my wonder

SOUNDTRACK	But until that time, I'll try to sing this

SOUNDTRACK	If I keep moving, they won't know

SOUNDTRACK	I'll morph to someone else

SOUNDTRACK	What they throw at me's too slow

SOUNDTRACK	I'll morph to someone else

SOUNDTRACK	I'm just a ghost

SOUNDTRACK	I'll morph to someone else

SOUNDTRACK	I'm just a ghost

SOUNDTRACK	And in the back of your mind I know 

SOUNDTRACK	You should be on with me 

SOUNDTRACK	Don't cha wish your girlfriend was hot like me?

SOUNDTRACK	Don't cha wish your girlfriend was a freak like me?

SOUNDTRACK	Don’t cha?

SOUNDTRACK	Don’t cha?

SOUNDTRACK	Don't cha wish your girlfriend was raw like me?

SOUNDTRACK	Don’t cha wish your girlfriend was fun like me?

SOUNDTRACK	Don’t cha?

SARA	Hi!

KELLY	Sara, I am expecting to see some pages by the end of the week.

KELLY	Where is this? Okay?

KELLY	You hear me? 

SARA	Yeah. I know, I know.

