	
	
Helinor		Where does this light chain go?

Dippy			Elias will know for sure."

Elias			The light chain goes over there.

Crane 			This will be perfect for the Northern Lights Festival!

Dippy			It'll be great fun!"

Elias			We probably should have sent outmore invitations on Boatbook."

Elias			Do you think more people will come this year?

Trawler		Get serious! Why would anyone come to a Northern Lights Festival when there are no northern lights to see?  Just a big storm brewing on the horizon. That is the silliest…

Crane			"Then we'll just havea festival for us!"

Elias			"Look! Here comes the Queen of the Sea!"

Elias		She´ll know for sure if any more people will be coming. Maybe even boats from Big Harbor!

Trawler		Big Harbor. Bah! What do they have that we don't have right here?

Crane			A festive atmosphere?

Gill			Where are we going, Gull?

Gull			To find food!"

Gull			Big boat means big food!

Big Blinky		Good evening, ma'am. In a rush?"

Queen of the Sea	"I have to get to Big Harbor before the big storm hits."

Elias			"Big storm? But what about the festival?"

Queen of the Sea	"You can forget about that festival. No boats should be out now."

Gerald			Gerald in Big Harbor calling all rescue boats!"

Elias			Elias here

Gerald"		Hi, Elias!

Gerald			We've received report of a vessel -

Gerald	-		adrift out at the Black Hole.

Elias			The Black Hole?

Elias			In this weather?

Queen of the Sea	That boat is driftwood already.

Gerald			I'm having engine trouble and can't go out.

Gerald			Any chance of you getting out there?

Elias			Sure. I'll go as fast as I can.

Gerald			Thank you, Elias. Be careful. And listen:

Gerald			I owe you one.

Big Blinky		The Black Hole? Do you know how many ships have vanished there?

Queen of the Sea	Indeed. Oh my.

Big Blinky		...And never come out again?"

Queen of the Sea	"It's much too dangerous for a little boat."

Elias			Good thing I'm not little anymore!

Queen of the Sea	Well, well.

Queen of the Sea	"My timetable. I must continue."

Queen of the Sea	Ship ahoy!

Gill			No food?

Elias			That was close!

Elias			Hello!

Elias			"I'm Elias. The rescue boat."

Vinnie			So I see.

Vinnie			Who are you here to rescue?

Elias			You!

Vinnie			I don't need rescuing.

Vinnie			I just need to get my engine started again.

Elias			Let me try to ...

Vinnie			Be careful! Don't push me against the rocks!"

Vinnie			Pull!

Elias			I'm doing my best."

Vinnie			Pull!

Vinnie			Call for more help, you imbecile!

Elias			My radio doesn't work!

Vinnie		Of course not. There's too much electromagnetic interference around here. Don't you know anything?

Vinnie			Why did they send a baby rescue boat?

Elias			Baby? I'm no baby!"

Vinnie			This isn't the way to Big Harbor.

Elias			No, we're going to Cozy Cove.

Vinnie			Cozy Cove? That dump?"

Elias		I know my way to Cozy Cove. It's my home. I'm not taking any chances navigating in strange waters in this storm."

Dippy		How crazy can he be going out to the Black Hole in that storm? He must be totally nuts!

Elias			Shh!

Dippy			He doesn't scare me.

Vinnie			Where am I?

Elias			Cozy Cove. We'll find a berth for you.

Vinnie			A berth? Never mind that!

Vinnie			Do you have a shipyard? I need to fix my engine."

Elias			Sure, but now? In the middle of the night?

Vinnie		Those guys will think it's a real treat to get to fix a boat from Big Harbor, out here in the middle of nowhere."

Vinnie			Yech! I hate fish!

Elias			We can try to wake Goliath.

Dippy 			I thought you were gone for good.

Elias			I always come back, Dippy."

Dippy			No northern lights tonight either.

Elias			What about that over there?

Dippy			No, that's just the city lights from Big Harbor."

Dippy			Good night, Elias.

Elias			Good night, Dippy."

Gull			What's your name?

Crab			Give me a hand.

Gull			I don't have hands.

Gill			I have mayonnaise.

Gull			Get him!	

Crab			See these claws?"

Elias			Good morning, Swifty! Sleep well?"

Elias			I've heard of early birds, but you're an early boat!"

Crane			Some storm last night, eh?

Elias			Sure was.

Elias			How are things with Vinnie?

Crane			He left before dawn."

Elias			Really? He didn't even say thanks."

Crane			Yeah, he sure was an oddball.

Goliath		I hope you don't make it a habit to rescue boats from the Black Hole in the middle of the night."

Elias			Do I have many dents?

Goliath"		No, just some small stuff."

Goliath		I'm thinking about that guy you towed in here last night. What was his name? Winnie?"

Elias			Vinnie.

Goliath		Strange character."

Goliath		"He wanted me to fix his engine, but was real careful not to let me look in his cargo hold."

Goliath		"Maybe he was just shy. Not that he had any reason to be."

Goliath		"There's no part of a boat I haven't seen before."

Cruiser		There's our hero!

Elias			I just did my job."

Trawler		Is it your job to be an idiot?

Trawler		You could have been smashed to bits out there.

Goliath		There, there.

Trawler		You should be more careful

Henry			Toot-toot! Make way for the messenger boat!

Henry		I have a message for the rescue boat Elias from Her Deep Floating Highness, the Queen of the Sea:"

Henry		In light of your heroic deeds performed with valor during the night, the Queen of the Sea, on behalf of Big Harbor and all vessels who have been or ever will be in danger, invites you to the aforementioned harbor, Big Harbor, that is, To receive a surprise this evening."""
Henry			End message.

Henry			Understood?

Elias			Eh, I didn't quite …

Henry		In light of your heroic deeds performed with valor last night, the Queen of the Sea ..."""

Elias			Yes, I understood the part where the Queen of the Sea wants me to 			come to Big Harbor, but why? What's going to happen?"

Henry		That information is classified. That is the whole idea behind a surprise. Understood?"

Elias			OK ...

Elias			"If the Queen of the Sea sends an invitation, we have to accept."

Trawler		Huh? Are we there yet?

Dippy			Look at all those lights!

Cruiser		That's what I call snazzy.

Trawler		I've seen worse, if you ask me.

Bobby			Welcome to Big Harbor!

