Voice Over	Previously on Agent.

Lesego	You see, your game is like heavy metal, boom, boom, boom, boom, ours it’s like classical music.

Vuyo	Tomorrow, it's my hundredth appearance.

Blaze	Ah come on. Of-course, I mean, I knew it was coming up.

Jean-Pierre	But you know who's going to take over your boots very soon?

Lesego	Who?

Jean-Pierre	Herve

Lesego	Herve?

Mila	What?

Sean	Scene six, I just want to do the interrogation. "Something happened when you were five”.

Lesego	I got you bitch. You're safe with me.

Lesego	Are you old enough to take my girl?

Lesego	Fuck!

Nina	Ah, stop it! Stop it Lesego. Stop it!

Jerry	They're not dreams... 

Jerry	... they're premonitions.

Walter 	And now, what's going on here?

Lesego	I think its just nerves.

Blaze	Vuyo didn't make the final cut.

Christopher	He's benched? 
 
Christopher	What's Zoe's thinking behind this?

Blaze	Hey... I'm late for my 8 o'clock with Oupa Manyisa.

Natalie	I'm just gonna pretend like I know who that is…

Blaze	Captain fantastic that's who it is. He's wants to come over... 'come over' as in come over to me of-course.

Natalie	Nice.

Blaze	And you? Your brother... is he around?

Natalie	He's around, but not here in Jozi. He lives in Cape Town, but he shows up some time…

Blaze	And what would he say about me?

Natalie	Probably nothing good.

Blaze	Huh. That's not reassuring.

Natalie	I've yet to come across a guy he was okay with though.

Blaze	How many guys are we talking here?

Natalie	One or two, here and there... 

Natalie	... but to be fair I never really had the best taste in guys so... it's not Tyrone's fault.

Natalie	You know it's gonna be different next week. No more sleeping in. You haven't met the 'me' that works yet.

Blaze	Your suspension's been lifted right?

Natalie	Yup…

Natalie	…back on the beat Monday. They got me doing surveillance; so 'observing from afar', 'listening into wire taps' on 'persons of interest'.

Blaze	Real bad ass. Yep, wish me luck with Oupa. Come.

Blaze	Oh... 

Blaze	Bye Mommy.

Blaze	Oupa’s going to kill me.

Lesego	Ooh. 

Lesego	HA…

Lesego	Ahh, wow…

Lesego	They say this bacon is like three hundred Rand a kilo babe. Italian imports. Okay, let's see. Must be good, huh?

Lesego	Ummm... it's worth it. I mean, you're worth it.

Lesego	You said you liked coming here to have breakfast. At least try some of the steak.

Lesego	Okay.

Nina	Remember my old housemate Solange? 

Nina	The one with the eating disorder?

Nina	You met her, my friend from Abidjan?

Lesego	Oh.

Nina	Anyways. She's married now.

Lesego	Oh.

Nina	Two years. You know where she went on honeymoon?

Lesego	No?

Nina	Mauritius.

Nina	Now she and Ron are planning to renew their vows.

Lesego	Really?

Nina	Solange Assalé gets Mauritius and what does Nina Sankara get? An Illovo bakery.

Lesego	Yeah but babe we've been through this. I'll see what I can do.

Nina	"I'll see what I can do?” 

Nina	Ron didn't say "I'll see what I can do Solange". He said: "Here's your boarding pass."

Lesego	Okay, but I told you, it's not up to me, you know that.

Nina	What do you mean? You're the star player. The God-damn main attraction. That must count for something?

Lesego	Yeah but SAFA doesn’t seem to think so.

Nina	You think anyone at SAFA knows what they're doing? 

Nina	Not make it personal. It's a compliment you don't get called up.

Lesego	Yeah fuck SAFA, fuck 'em you know. Who needs to play in shithole countries anyway. Fucken Togo... Mali, what the fuck. Guinea, I mean who needs that shit, right?

Nina	But Mauritius it's... its paradise, isn’t it?

Lesego	Yeah.

Mila	I won't, I won’t answer not another question, not until you tell me who you are.

Herve	*Praying under his breath*

Godi	Where were you? I mean, an hour late. Seriously?

Blaze	Did you at least offer him something to drink?

Godi	Ages ago.

Blaze	Good. Where's he? Is he in my office?

