(INTRIGO)
(DEAR AGNES)



NARRATOR	The people of the world are more or less the same. Though we may come in different shapes and colors, we all share the same inheritance. And we all have our backstories and our secrets. And so has Agnes, walking her dogs on the beach. Soon her life will change, and the past will become the present, again. Even though evolution might seem to mature us, there are still parts of our brain that belong to our reptile ancestors. Although we've convinced ourselves that hate, revenge, and nemesis belong to the past, our ancient ancestors' blood still runs in our veins, whether we like it or not.

ERICH	Clara and Thomas are coming Thursday. Will you be home then?

AGNES	I'm in Altmaar on Thursday.

ERICH	Oh, yes. Damn. Maybe it's just for the best. Can't you just tell me his name? The man that you love.

AGNES	His name is Erich Neumann-Hansen, and he's sitting right here next to me. Do you want another painkiller?

ERICH	I don't want anything.

AGNES	The doctor said you can take...as many as you want.

ERICH	I just want you to be happy. I want you to feel okay. And I don't want you to argue.

AGNES	I just find it strange, the way they start turning up now. It's all that matters to me, darling.

ERICH	That you don't argue.

AGNES	I don't argue.

ERICH	I know.

AGNES	Do you want me to prepare some food...for Thursday?

ERICH	Thomas can bring some Thai. I love you.

AGNES	I know. Keats, Byron.


PETER	He always money, money, money. He lives, breathes, sleeps money. So I said to him, "Sure. You've got the money, Frank. But you can't buy talent." At least not your own.

WOMAN	Sorry.

PETER	Am I right?

WOMAN	Yes, definitely.

PETER	Oh, we need more wine in here. More wine, Henny. Henny?

SINGER	I think I found... a little bit of heaven.

PETER	Right. Where was I? Uh, love and talent. Come on, you can't do that. I hate it like that. I'm not going  Simple as that. You would've done the same. And then, then they want you to transfer me to the head office in London and then the shit hit the fan. I mean, I just thought, "No, not doing that. I've had enough." Career change for me, within 12 months, I bought this beautiful I just said, "No, that's it. You can take your job and you can stick it up your ass. I'm gonna be one of the best TV producers in Europe."

DORIS	How old are the girls now?

HENNY	Rea is ten and Betty is eight.

DORIS	Oh, big girls now. Haven't seen them in years. How are things for you?

HENNY	For me?

DORIS	Are you working at all?

HENNY	I've a--I've got a few things in the pipeline but nothing set in stone as yet.

DORIS	I'm just the same. I didn't take anything for granted.

HENNY	Shall I come pick you up later after riding, Betty?

BETTY	I can take the bus.

HENNY	Okay. So, I'll see you at dinner, all right?

REA	Come on, Betty. We have to run.

BETTY & REA	Bye, mom.

HENNY	Kiss... goodbye.

BETTY	Bye.

HENNY	Bye.

BETTY	Come on.

