CHARLIE SAYS	Many people I know in Los Angeles believe that  the Sixties ended abruptly on August 9, 1969. Joan Didion, THE WHITE 

ALBUM DRIVER	Where are y'all...

DRIVER	headed? 

LESLIE	Well, we're trying to get up to Santa Susana Pass Road, but however far you can take us. 

MAN	Oh…

MAN	Spahn ranch? 

LESLIE	Hey, yeah. 

TEX	Yeah, well, not...

TEX	quite, uh…all the way up there. My uh, my aunt lives nearby. 

DRIVER	What have you got there? 

LESLIE	Some money I guess. Hey, if you're gonna take us all the way, we should buy you breakfast. 

DRIVER	Right on. 

LESLIE	I don't know. I thought Tiptoe through the tulips was a pretty far out song if you're a little high.

LESLIE	I guess I was a lot high when I first heard it. 

DRIVER	Seems like a fag…

DRIVER	to me. 

LESLIE	Hey, watch it. Tex here told the army he was an acid head homosexual to get out of the war, so...

TEX	I'm not actually a homosexual. 

DRIVER	I mean…

DRIVER	who sings like that? Guy with his…

DRIVER	voice all high like a girl and his tiny little...

DRIVER	whatchamacallit. It's a put on.

LESLIE	Everything's a put on. 

LESLIE	Tiny Tim is just having fun. Hey, we better get out of here.

PAT	Sing that one. 

LESLIE	(singing) Ride, take a free ride Take my place Have my seat It's for free

LESLIE	(singing) Ride my see-saw

LESLIE	(singing) Ride Ride Ride my see-saw

LESLIE	Damn. Okay. 

LESLIE	Goodnight, Katie. 

PAT	Goodnight, Lulu. 

LESLIE	Goodnight, Sadie. 

SUSAN	Goodnight. 

TINA	Lying in your prison bed…

TINA	womb straining sweat pouring...

TINA	You deliver your child/within these con…

TINA	...crete walls and steel bars…

TINA	Because your infant is born here…

TINA	In here/she is labeled numbered and her mugshot is taken…

TINA	She is called a criminal But you and I know she is another awesome female warrior.

KARLENE	Wow. 

KARLENE	I thought it was really powerful, Tina. 

TINA	Thank you. 

VIRGINIA	Pardon me, ladies. 

VIRGINIA	Karlene, can I speak with you? 

KARLENE	Sure. 

GROUP	Ooh…

GUARD	You guys go ahead. 

VIRGINIA	I need your help with the Manson girls over in the Special Security Unit. 

VIRGINIA	Since the Death Penalty was lifted…

VIRGINIA	no one knows what to do with them. The Governor doesn’t want them in general population, so they are on Death…

