ESCLAVA EP56-H264
26/10/2016

NdA	(générique de début)

(BOUCLE 1 - 00:00:57:15)
		01

Miguel	(hh/ hh\) (hh\ hh/) Allez, ma chérie. (h/) Plus vite ! (h/) Dépêche-toi ! (h/) (hh\ h/ hh\) (hh/ hh\ h/)

Victoria	Miguel...

Miguel	(hh\)

Victoria	(hh/ hh\)

Miguel	(hh/ hh\)

Victoria	Essaye de me comprendre.

Miguel	(hh/) (h\ hh/) (hhh\)

Victoria	Je ne peux pas abandonner mon père.

Miguel	(h\ h/) Je te comprends tout à fait. (hh/)

Victoria	(hh\)

Miguel	Mais retourner à l'Eden est terriblement dangereux.

Victoria	(soupire)

Miguel	(hh/ hh\ hh/)

Victoria	(soupire) (h/)

Miguel	Je me sens mal parce que ça ne s'est pas passé comme prévu et ils n'ont pas pu fuir.

Victoria	(hh\) (hh/ hhh\ hh/) Je me demande si fuir est la solution appropriée.

Miguel	(hh\ hh/)

Victoria	(soupire)

Miguel	(hhh\)

Victoria	(hh/)

Miguel	(mts) (tst) Très bien. (hh\ hh/ hh\ hh/) On peut faire évoluer les choses ici. (hh\ hh/) On ne les abandonne pas.

Victoria	(soupire)

Miguel	(hh\ hh/ hh\ hh/ hhh\ hhh/)

Victoria	(hhh/) (soupire) (h/) Il vaut mieux que tu t'en ailles...

Miguel	(hh\)

Victoria	(hh/) Tu dois t'occuper des nôtres.

Miguel	(h\ h/) Quoi ?

Victoria	(hh/) (soupire)

Miguel	(hh/)

Victoria	(hh/)

Miguel	Tu te rends compte de ce que ça signifie ?

Victoria	(hh\)

Miguel	(h\ hh/) Que je vais devoir me perdre dans cette forêt et que toi, tu vas devoir jouer les marquises...

Victoria	(hh/) (hh/)

Miguel	(hh/)

Victoria	(h\)

Miguel	aux côtés de cette ordure !

Victoria	(h/) Oui...

Miguel	(hh\)

Victoria	(h/) et c'est injuste...

Miguel	(hh/) (h\)

Victoria	(hh/)

Miguel	(hh\)

Victoria	(h/) On était sur le point d'y parvenir. (hhh/) (h\) (hh/)

Miguel	(hh/)

Victoria	Je ne veux pas être loin de toi... (hh/) mais je ne peux pas laisser mon père tout seul à l'Eden !

(BOUCLE 2 - 00:02:01:20)
		02

Victoria	(hh/)

Miguel	(hh/)

Victoria	(hh\)

Miguel	Je préfèrerais que tu viennes...

Victoria	(hh/) (hhh\)

Miguel	(hhh/)

Victoria	(hhh/)

Miguel	mais je trouverai le moyen de te faire savoir où nous sommes.

Victoria	(hhh/) (hh\) (hh\)

Miguel	(h\ hhh/)

Victoria	(hh/)

Miguel	Je t'enverrai un message, quelque chose...

Victoria	(mts hh/)

Miguel	(hh/)

Victoria	(hhh\)

Miguel	Ou j'irai te chercher à l'hacienda.

Victoria	(hhh/) Non.

Miguel	Si, Victoria !

Victoria	Ne fais pas ça, c'est trop risqué !

Miguel	(h/) Si, je reviendrai s'il le faut !

Victoria	(h\) (hhh\) (hhh/ hhh\)

Miguel	(mts) Je ne veux plus te perdre, comme ce jour-là au palenque. (h/)

Victoria	(mts hh/) Moi non plus.

Miguel	(hhhhh/)

Victoria	(hh/) (h\) Mais dans notre coeur, jamais rien de nous séparera. Jamais.

Miguel	(hh/) (hh\)

Victoria	(hhh\)

Miguel	(x)

Victoria	(x) (x)

Miguel	(x) (soupire) (hhh/) (hhh/) (h\) Viens.

(BOUCLE 3 - 00:02:44:18)
		03

Ambiance	(gémissements de blessés, commentaires : "On en a encore qui arrivent. / J'ai été touché ! / Je ne peux plus marcher.")

Garde1	(aaah!)

Isabel2	(huh!)

Garde1	(aah!)

Isabel2	Voilà. Voilà, monsieur, c'est fini.

Garde1	(aah!) (hh/)

Tarazona	Isabel !

Garde1	(hh\)

Tarazona	(h/) Ne faites pas n'importe quoi ! Qu'est-ce que vous fabriquez ?

Isabel2	J'ai stabilisé le pied de cet homme en m'inspirant d'un livre d'anatomie. Je l'ai bien fait ?

Garde1	(huuuh) (hh\)

Tarazona	(Euh), oui, si vous avez bien suivi un livre d'anatomie, c'est bien...

Isabel2	Je viens de poser un garrot à cette femme, mais vérifiez quand même ! (h/ h\ h/ h\ h/ h\ h/ h\)

FemmeGarrot	(Ah), j'ai tellement mal...

Tarazona	Il est parfait !

Isabel2	(huh?) (hhh\)

Tarazona	A présent... (h/) aidez-moi à examiner les blessés, là-bas. (h/) Je vais d'abord traiter ceux qui sont dans le pire état. (hhh/)

Isabel2	D'accord. (h/h\)

FemmeGarrot	(gémit)

Tarazona	(h\) Je vais vous soigner : ça va aller.

FemmeGarrot	(gémit___) (gémit____)

Tarazona	(hh/) Ca va aller, ça va aller.

FemmeGarrot	(hh\)

Isabel2	Vous êtes blessée ? A quel endroit ? Vous pouvez ouvrir l'oeil gauche ? Laissez-moi regarder.

Tarazona	(h/) Respirez. (hh\) (hh\) (hh\ hh/ hh\)

Isabel2	Ne bougez pas, je reviens.

FemmeGarrot	(gémit)

Tarazona	(hh/)

Isabel2	Et vous ? Vous êtes blessé où ?

Tarazona	Ca va aller, ça va aller. (h/ h\ h/ h\)

(BOUCLE 4 - 00:03:18:01)
		04

Ambiance	(conversations occasionnelles : "Il ne faut pas déranger le général..." etc)

Gabriel	(h\ h/) Je suis désolé, Papa.

Général	(hh\) (hhh/)

Gabriel	(mts hhh/)

Général	Tu le savais.

Gabriel	(hh\)

Général	(hh/) Tu connaissais les projets... de ces... satanés esclaves.

Gabriel	(snif)

Général	(hhh/) Tu étais en train de les aider.

Gabriel	(hh/_____) (h\) Oui... (mts) j'étais au courant... ça ne sert à rien de le nier.

Général	(h/) Pourquoi tu ne m'en as pas fait part ?

Gabriel	(snif) Pour quoi faire ? (hh/) Pour que tu puisses tout arrêter ? (hh/) Toi, tu es du côté de ces monstres de propriétaires esclavagistes !

Général	(h/) Je suis du côté de la loi !

Gabriel	(hh/) Quelle loi ? (pleure) (mts) C'est une loi injuste, Papa. (hhh/) Ces esclaves étaient traités encore moins bien que des animaux. (hh\) (hh/) C'était leur seul moyen de s'en sortir.

(BOUCLE 5 - 00:03:59:21)
		05

Général	De s'en sortir...

Gabriel	(hhh/)

Général	(hh/) De s'en sortir ?

Gabriel	(snif)

Général	Tu as vu la même scène que moi sur la plage ?

Gabriel	(hh/) (snif)

Général	Des hommes et des femmes... (h\) (h/) (mts) des blessés... des morts...

Gabriel	(hh\) (snif)

Général	(hh/)

Gabriel	(snif)

Général	(mts) A cause de la loi...

Gabriel	(pleure______)

Général	(hh\)

Gabriel	(hh\ snif hh\____)

Général	(hhh/) Alonso est mort.

Ambiance	(quelques conversations)

Gabriel	(hhh/)

Général	(hh/) J'ai perdu mes enfants.

Gabriel	(hh\)

Général	(pleure______)

Gabriel	(hhh/) Non, Papa.

Général	(snif)

Gabriel	(mts) Je suis là, avec toi, moi.

Général	(hh\ hh/) Ne dis pas de bêtises...

Gabriel	(hh/ hh\ hh/ hh\ hh/)

Général	(hh/ hh\)

Gabriel	Pourtant je suis debout devant toi ! (hh/) (pleure) (hh/)

Général	Plus pour très longtemps. (pleure) (hh/) Tu as aidé ces fichus esclaves au vu et au su de tous ! (hh/) Tu aurais pu éviter cette catastrophe !

Gabriel	(hh\)

Général	(h/) Tu l'as fait quand même. (hh/) Tu as transgressé la loi !

(BOUCLE 6 - 00:04:50:02)
		06

Gabriel	(hh\) (snif)

Général	(hh/) (h\) Je ne peux pas continuer à te défendre.

Gabriel	(hh\) (h\) (h\ h/)

Général	Garde ! (h/ h\) (hh\) (hh/) (pleure) (hh\ h/) Arrêtez cet homme.

Gabriel	Papa ! (h/) Je suis ton fils, quand même ! (hh/)

Général	Emmenez-le et jetez-le dans un cachot !

Gabriel	Non ! Papa__! (hh/) On ne fait pas ça à son fils ! (pleure)

Général	(pleure)

Gabriel	Papa_____!

Général	(h\ hh/)

(BOUCLE 7 - 00:05:32:07)
		07

Ambiance	(quelques conversations : " J'ai besoin d'un autre brancard..." etc)

Tarazona	(mts hh/) Il est dans un sale état, il faut l'amputer.

Isabel2	(h/)

Tarazona	Isabel... enfilez une blouse.

Isabel2	(h\) Oui, Docteur. Gabriel ! (hh\) Pourquoi tu es attaché ? On t'emmène où ?

Gabriel	(hh/)

Isabel2	Hein ? (h/) (huh?)

Gabriel	(h\) S'il te plaît, dis à Manuela qu'on m'envoie en prison.

Isabel2	Non... (hh/)

Gabriel	(hh\ huh)

Isabel2	(hh\) (pleure) (hh/) (pleure) (hh/) (hh\) (hh/) (hh\) (hh\)

(BOUCLE 8 - 00:05:54:18)
		08

Remedios	(hh\ hh/) (mh\) (hh\ hh/) (h\) (aïe!)

Trinidad	(h\)

Remedios	(hh\) (h/) (soupire) (hh/) (hh\ hhh/) (hh\) (hh\) (mh)

Trinidad	Remedios... (h/) Remedios, écoute-moi, je t'en prie.

Remedios	Non, laisse-moi tranquille. (hh\)

Trinidad	S'il te plaît... (h/ hh\)

Remedios	(huh!)

Trinidad	(hh\ hh/) Remedios, je te demande de m'écouter ! (hh/ hhh\)

Remedios	(soupire)

Trinidad	Ce que j'ai fait à mademoiselle Isabelita est impardonnable. (hh/_____) Mais finalement, je ne lui ai pas fait de mal.

Remedios	Tu avais l'intention de lui en faire. Je n'arrive pas à comprendre ce qui t'est passé par la tête pour vouloir faire du mal à une gamine ! (hh/)

Trinidad	(soupire) (hh/)

Remedios	Je croyais aimer quelqu'un de bien.

Trinidad	(hh\) Je suis quelqu'un de bien ! (mts h/) Mais essaie de me comprendre, un peu ! (hh/) J'ai agi sous le coup d'années de haine accumulée. (hhh/ hhh\)

Remedios	(hhh\)

Trinidad	Pardonne-moi, je t'en prie.

Remedios	Laisse-moi.

Trinidad	(h/) Rémé...

Remedios	Laisse-moi, Trinidad !

Trinidad	(hh/ hhh\)

(BOUCLE 9 - 00:06:58:16)
		09

Miguel	(hhh\) Allez. (hhh\ hh/) On va en profiter pour se reposer un peu. (hh\ hh/) (hh\ hh/) Viens mon amour... attention. (h\)

Noémi	(huh h\) (h\ h/)

Milagro	(h/ h\) (hh/)

Noémi	Milagro...

Remedios	(hhh\)

Noémi	Tu peux m'expliquer ce qui se passe entre Miguel et la marquise ?

