NARRATION #1	Atlanta, the dirty south. A city where the underdog Is only one move away from making it big. The hustle is meanest here in the A Especially, For the ladies. In this town You got to fight to get what you want. Then fight even harder to keep it. For some the battle’s about trust in the face of betrayal. 

MIMI	I want you to look me in my face And tell me are you BLEEP this girl. 

STEVIE J	No I’m not.

NARRATOR	For other’s it’s about forgiveness.

ERICA	We’ve been through so much.

ERICA	Just from a woman’s perspective, like the cheating is hard…

ERICA	To just trust and believe.

NARRATOR	And holding onto him at any cost.

NARRATOR	And when you’re married to you manager.

KIRK	I ain’t talking about personal life.

RASHEEDA	But you know what?

KIRK	This is, I’m talking about business.

RASHEEDA	All the BLEEP is mashed together. 

KIRK	Yeah, but that BLEEP don’t go together. 

RASHEEDA	Na, it’s all mashing together right about now. 

NARRATOR	Business is always personal. There’s a woman fighting for the dream.

NARRATOR	Before her stand the haters. 

KARLIE	Yo I know BLEEP that I know you BLEEP. 

K. MICHELLE	Oh.

KARLIE	I got you on tape. 

K. MICHELLE	Don’t you ever lie on me. 

NARRATOR	Behind her heartbreak. 

K. MICHELLE	When business is involved no one cares if you hurt. Everybody wants you to sing. Shut up and make the money. 

NARRATOR	Welcome to Atlanta.

NARRATOR	The heart of the south. 

NARRATOR	With every beat there’s a battle. Because it ain’t all fair…

NARRATOR	In Love and Hip Hop.

This is the life, this is the life, yeah, this is the life, this is the life, what’s up, this is the life, this is the life, huh, this is the life, this is the life, this is the life, this is the life. There ain’t nothing like hip hop music. This is the life, music, this is the life, this is the life, this is the life, this is the life.

MIMI	My name is Mimi…

MIMI	And one thing you can say about my man Stevie…

STEVIE J	What studio do we have lined up?

MIMI	He’s got a smooth tongue. 
STEVIE J	Okay Tree Sound. 

MIMI	I’ve been with him for about fifteen years now and I’m pretty sure I have heard it all. 

STEVIE J	So, so, so what’s the deal?

MIMI	We have a two-year old daughter named Eva and it’s time for him to be the man he tells me he can be. 

STEVIE J	But I’m going to call you back like in twenty minutes.
MIMI	But somehow there’s a difference between what Stevie says and what Stevie does. 

STEVIE J	My name is Stevie J.  I am a musician, a hit songwriter. You know I’m a dad and I’m a good guy. 

STEVIE J	At the end of the day, you know…

MIMI	Stevie has three Grammys.

MIMI	He’s worked with Diddy.

MIMI	Jay-z. 

MIMI	All the top people in the business. 

MIMI	He’s at the studio way more than he is at home and I know what that life is like. Long nights, girls, liquor, lord knows what else. Meanwhile back at the ranch I’m at home taking care of our daughter. Okay, okay talk to me.

STEVIE J	Aight, so, so…

MIMI	Stevie says he has a surprise for me. So he’s got me driving him way outside the city. I don’t like surprises when it comes to Stevie. 

MIMI	I’ve had to deal with his bs for way to long. 

STEVIE J	(Clears throat) See. This is um…

MIMI	This is cute. 

STEVIE J	You know all the ups and downs we’ve been through and I wanted to give you something nice. This is all you right here. 

MIMI	You’re joking, right?

MIMI	Stevie can be the sweetest, nicest, kindest person ever and then on the flip side of it, it can be a BLEEP nightmare. (Laughs)

STEVIE J	At the end of the day you’ve been down for me for a long time. You know I wanted to just give you something for you and Eva so ya’ll a have something to call home.

MIMI	So you want to move us way out here while you’re doing you in the city. 

STEVIE J	I, I still can’t be around like that. Because I need to get out here and get this money. 

