REPORTER V.O.		Rioters have filled in the streets…

REPORTER 2 VO		PEOPLE …it’s the fourth wave of riots…

REPORTER VO		This evening, martial law has been declared throughout the country.

REPORTER VO		No one shall be allowed to enter the streets…	

REPORTER VO		The assembly of governors have declared war  [jet engine roar] is imminent.

WARRIOR 1		Pu-jo!

FUMITAKA		Scouts from the Uroku Kingdom mapping our land. Then their preparation has begun. Gather all the clans. It is time.

FUMITAKA VO		Cage of the Lost Clan, the Ninja Council requests your presence for a peace summit at the Warlord’s Temple in the Great Eastern Mountains. Choose four of your finest to accompany you. They should have honor and live by the Code. For it will be they who help usher in a new era of peace among our kind. A new age that will provide safety and security for our families. So bring your strongest, your smartest, your fiercest, and your most talented. May your journey be swift,  [engine stalls]

CAGE		There we go.

FUMITAKA VO		And may wisdom be your guide.

CAGE		Remember, this is a peace summit. Leave your weapons behind.

TRILLION		The education system of our ancestors was they actually had to go into a room and read stuff. Yeah. Nothing was downloadable back then. They had to go and memorize things…

MAR		Is that Becker?

TRILLION		This doesn’t look good.

BECKER		Keep them close and stay by me.

FIRE CLAN MEMBER	What about our weapons?

MAR		It’s a peace summit, guys.

BECKER		Fumitaka must be hard up if he’s invited the… Lost Clan. Tell me, is it that you’ve lost your way or lost your honor?
		
CAGE		This is a peace summit.

BECKER		The Lost Honor Clan makes much more sense to me now Hey. It’s the big deaf and dumb guy. How is life with the honorless? Feel more at home there? Answer me, you big freak!

CAGE		Honor the Code!

SURGE		Your code!

BECKER		What they say about you is only partly right. I know the truth. You are a liar and a coward.

HIROSHI		No fighting! We’re here for a peace summit. You must put your petty differences aside. Master Fumitaka has ordered it. Now! Cage of the Lost Clan. How have you 
 		been?

CAGE		Surviving.

HIROSHI		Surviving? Come on. It’s time to flourish. Master Fumitaka will be very pleased to see you. It’s been way too long, brother. No weapons in the bunker! Relinquish them! Now!
			
SURGE		Who’s Captain Uptight over there?

CAGE		Hiroshi. We trained together under Master Fumitaka. He was chosen as Master’s second.

SURGE		Over you? I guess you can’t be given everything, can you, little brother?

SURGE		How far down does this thing go?

TRILLION		These old bunkers sometimes went a hundred floors down. Thousands of feet into the earth.  People lived down here after the Great War. Protected them from the fallout.

SURGE		Only the twentieth floor? I usually like my peace summits at least fifty floors down.

NINJA GUARD LEADER 	No one has ever come back from the lower floors alive.

SURGE		Ooooooh.

NINJA GUARD LEADER	Follow me.

HIROSHI		Clan leaders, I am honored to present to you our revered master, Fumitaka!

