WOMAN	Oh, yeah Uh-huh

??	Woken by the waves as they’re rolling in

??	Blue skies all I can see

??	I wanna feel the sunshine on my skin

??	Riding high on a breeze

FEMALE BACKUP SINGERS	Saw you passing me by

??	I want you    to catch my eye

??	Reckon that you like the way I move

??	Accompany me    onto the floor

??	I’ll keep asking    for more

??	Livin’ for tonight I’m meant to move

??	We ride    on a wave together

??	Lost forever

??	Far away from home

??	You show me    a brand-new rhythm

??	Sunshine ever

??	Made for us to roam

??	To my surprise

??	Love never dies

??	You play me the sound of some other time

??	You play me the sound of some other time?

??	Ooh, a little early, isn’t it?

??	Well, you know what they say.

??	It’s always: happy hour somewhere.

??	Should I make you one?

??	Tempting offer, um, but I have to go home and meet Cat

??	before I go back to the club.

??	Nice bikini.

??	Anyone ever tell you you don’t look like an accountant?

??	I brought last night’s receipts.

??	So how was business last night?

??	You know, I’ve got to hand it to you guys. A pop-up club?

??	The clients love it because it’s invitation only and they feel special.

??	Hmm. Business is good  because it’s cash only. 

??	It’s temporary. You make your money and move on.

??	It’s really a thing of beauty.

??	Till the tax man catches on.

??	Ooh.

??	That’s why we have you and your brilliant mind-- to match that hot body.

??	And last night?

??	Oh, it was strange. I’m still kind of upset.

??	You’re not listening, are you?

??	Come on.

??	Look at that.

??	Feast your eyes.

??	He’s yummy, huh?

??	I have to admit, you’re right.

??	Join us?

??	Uh, no, no.

??	Uh, you guys go ahead and have fun.

??	Are you sure you’re okay? You seem really quiet.

??	Yeah, I’m okay.

??	Well, I’m here if you wanna talk.

??	You mind if I just hang out inside for a while, alone?

??	My house is your house.

??	Have fun.

??	Oh, yeah, baby. Mmm.

??	Yeah, baby.

??	Oh, baby.

??	Yeah, baby.

??	Come here, baby.

??	God.

??	Yeah, baby.

??	Yeah.

??	Baby.

??	Yeah.

??	Yeah, baby.

??	Oh, baby.

??	Oh, fuck.

??	Oh, f--

??	Baby.

??	Yeah. Fuck.

??	You’re amazing.
	
??	You’re not so bad yourself.

??	Is that a hint?

??	What, you’re in such a hurry for me to leave already?

??	Actually, yeah.

??	I wanna talk to Shay. I think something’s wrong.

??	Nothing like being second.

??	There’s more where that came from. But later. I promise.

??	Now go.

??	He leaving already?

??	Yeah. I wanted to check on you, make sure you’re all right.

??	I’m fine. Really.

??	Thanks for letting me   hang out.

??	Yeah.

??	Shay, what’s that on your bag?

??	Is that blood?

??	What? Um, it’s nothing.

??	No. Sit.

??	You’re gonna tell me what’s going on?

??	I’m your friend. I promise I won’t repeat anything you tell me.

??	Well, it all started last night.

??	I was dancing.

??	I saw Cat take this guy into the back room.

??	Back rooms? Is that usual?

??	Niko has some high roller clients,

??	and they get special treatment.

??	So I wasn’t surprised.

??	Cat knew what she was doing.

??	I mean, we all know what goes on in back rooms.

??	Now, this is much better.

??	I couldn’t even hear myself think out there.

??	Yeah.

??	To Niko. Why Niko?

??	Well, he knows me better than just about anyone-- other than his girlfriend--

??	and he thought we should meet.

??	Hmm. Does Niko introduce you to many guys? Come on, John.

??	You seem like a really nice guy

??	and someone I would definitely like to get to know better,

??	so I’m gonna pretend that you didn’t ask me that question,

??	and I’m gonna ask you if you saw me dance.

??	Actually, I did.

??	That’s why I wanted to meet you.

??	And why we will get along so well.

??	Come here.

??	Let’s get this off, okay?

??	Fuck.

??	Oh, yeah.

??	Oh, yeah.

??	Let me go in first, okay?

??	Otherwise, the members might get the wrong idea.

??	Oh, uh--

??	Mmm.

??	I’m really glad I met you. Me too.

??	So, what happened?

??	It was just like any other night.

??	I was dancing,

??	and then everyone was gone, and we were wrapping up for the night,

??	and I went in the back room to get my bag.

??	And I saw him.

??	Shay, what’s wrong?

??	There’s somebody-- There’s someone--

??	There shouldn’t be. He’s--

??	Was he dead? I mean, we’re not really sure what happened.

??	Um, it was awful though. Um--

??	It’s like maybe he passed out on his head or something.

??	Shay?

??	Here, here, here, here.

??	Cat, when did you leave John?

??	I don’t know. About an hour ago.

??	Was there anyone with you? Was there anyone in the hallway?

??	What are you talking about, Niko?

??	Someone hit him in the back of the head. 

CAT	You need to go help him.

??	Why aren’t you helping him?

??	Priorities.

??	He’s dead, Cat.

??	I saw him.

??	We need to call the police.

??	No. No, Cat. They can’t know about the pop-up.

??	If they do,  they will shut us down.

??	I mean, who cares about a damn club?

??	No, no, no. I care. They’re not gonna shut us down.We’ll go to jail.

??	It’s a pop-up strip club. This is a man’s life.

??	A man you just fucked.

??	How are you gonna explain any of this?

??	We run without a license, we sell booze 

??	and you get your jollies stripping for cash.

??	And none of it gets taxed.

??	Once the police are done with us,

??	the IRS and the state regulatory agencies

??	are gonna have a fucking field day.

??	Cat, take Shay home.

??	I’ll be by when I’m done here.

??	What are you gonna do?

??	What I have to do to keep us all out of jail.

??	But you can’t do it alone. I’ll stay and help.

??	You don’t have to.

??	I know, but neither do you.

??	Be careful.

??	Come on, Shay.

??	You should’ve gone to the police.

??	Cat and I left.

??	Georgia said that she was gonna stay and help Niko.

??	We don’t even know what happened.

??	I haven’t talked to either of them since.

??	Wait. So you left Georgia alone with Niko?

??	She’s such a snake.

??	Well, I trust Niko. Why shouldn’t I?

??	You’re so naive.

??	SHAY:I’m sure nothing happened.

??	Besides, that’s the least of the problems, right?

??	Is that what you wanted? Is that what you wanted?

??	Dirty little girl. You like fucking that, don’t you?

??	This is serious. You should’ve insisted on going to the cops.

??	I knew I shouldn’t have told you. You don’t understand.

??	You know, I’m pretty sure you can be considered an accomplice.

??	You just don’t get it. Niko was right.

??	We can’t risk drawing attention to the club.

??	It’s totally illegal.

??	No permits. No taxes. Nothing.

??	You know, I don’t-- I don’t know if I’m comfortable with all of this.

??	I mean, I’m already walking the line by doing the books under the table.

??	I understand.

??	I mean, I can’t have cops coming around.

??	I don’t wanna be involved.

??	I’m not gonna leave you hanging,

??	but after tonight you’re gonna have to find someone else.

??	Um, all right.

??	I-- I understand.

??	Um, I’ll drop off the final paperwork later.

??	Deeper. Deeper, please.

??	We really are a perfect pair, aren’t we?

??	Look, I’m on my way. I’ll see you in a few minutes.

??	Your clothes are almost dry.

??	Lock up. Toss the key under the mat when you’re done.

??	Oh, but I wanna stay.

??	Well, you can’t.

??	Why are you with her?

??	I mean, you know you like sex with me better.

??	Georgia, I’m not having this discussion right now.

??	Okay.

??	So... let’s have the conversation

??	about how you just moved a dead body instead.

??	We> just did.

??	And don’t go there, ’cause it won’t end well.

??	Yeah, you know what? Neither will this.

CAT	We need to hire another bouncer.

??	We already have two. Niko’s not gonna pay for a third one.

??	He’s making so much money off of us, it’s sick.

??	We’re a pop-up for rich, bored fucks 

??	in a city that won’t serve booze,
 
??	in an all-nude club,

??	which makes us practically gold miners.
 
??	He can afford to throw a little extra cash our way

??	so we can feel safe.

??	That’s what Chad and Blake are for.

??	Oh, yeah, and a lot of good that did.

??	What is it you suggest, Cat?

??	Niko, I just wanna feel safe.

??	Okay, Chad’s in the front lettin’ people in.

??	You and Blake are making sure that there’s no fights.

??	I wanna make sure that there’s someone there to guard us.

??	Do you feel the same way?

??	The good nights are fun.

??	Bad ones, not so much.

??	Fine. For you.

??	Good. I’ll put it on the message boards.

??	Don’t I get a say in this? No.

??	You write the checks, Niko,

??	but we’re hiring another bouncer.

??	Okay, fine, but if he steals from me, it’s on you.

??	Fine.

??	I’m gonna go upstairs and take a bath with a nice bottle of wine.

??	I’ll see you guys later.

??	What did you guys do with-- It’s handled.

??	Who did this, Niko?

??	I-- I-- I don’t know.

??	Look--

??	You know, maybe-- maybe it was an accident.

??	Maybe he slipped, cracked his head on the concrete floor.

??	In fact, that is> what happened.

??	He fell down, cracked his head on the concrete floor,

??	and that’s it.

??	I just don’t wanna go down that path anymore.

??	You really think it was an accident?

??	I do. I really do,

??	because anything else puts it squarely in Cat’s court.

??	How about you? How are you holding up?

??	I’ve had better nights.

??	You’re like this fragile little teacup

??	that’s really made out of steel.

??	Is that supposed to be some kind of compliment?

??	No. This is.

??	Mmm.

??	Thank you for last night.

??	You don’t have to thank me. I didn’t do it for you.

??	You helped Niko. That counts.

??	Hey.
 
??	One of you girls Cat? I’m here about the security gig.

??	I’m Cat.

??	Mac. Nice to meet you.

??	I’m Georgia.

??	And, uh, you are exactly what we have been looking for.

??	You don’t agree?

??	Not yet. Fair enough.

CAT	So, Mac,

??	what kind of security work have you done?

??	SHAY: So the girls all agree about John.

??	Even though it’s not the right thing to do, we’re gonna let it go.

??	It’s the right decision for the club.

SHAY	They don’t know that you and I are partners in this club though, do they?

??	I’m not cutting that pie into any more slices.

??	I’m gonna have to shell out for this bozo, and I’m not happy about it.

??	I’ll pay.

??	Come again?

??	I’ll pay his salary out of my share.

??	I’ve never seen the girls look so relaxed,

??	and we need the extra security.

SHAY	But you can’t tell any of them.

??	Your dime, your secret, Shay.

??	What’s all this?

??	Just packing up the files, getting them ready for Shay.

??	Did I miss something?

??	I-- I thought you didn’t work with her anymore.

??	Yeah, I can’t say too much about it, but I am out.

??	Your choice... or hers?

??	We both agreed not to work together anymore.

??	Let’s just say that club that they’re running

??	is right on the wrong side of the line, and...

??	I don’t want any problems.

??	Smart girl.

??	Only thing I’m gonna miss is Shay.

??	Yeah. I liked her.

??	I think you’re making the right decision.

??	I hope she’s gonna be okay.

??	Hey. I seem to remember a promise you made me.

??	You mean that?

??	It’s exactly what I mean.

??	Oh, yeah, baby.

??	Oh, yeah.

??	Oh, baby.

??	Yeah.

??	Oh, yeah.

??	Yes.

??	Yes.

??	 The guy in the corneris getting ready to cut out on his tab.

??	I’ll go talk to him.

MAN	Yeah

??	Yeah

??	Hey! Why don’t youstep up the bar, and we’ll talk.

??	Yeah

??	Yeah

??	Yeah

??	Yeah

??	Yeah

??	Yeah

??	What did you say to him?

??	I told him that we had his credit card on file,  and all we needed was his signature so he could settle up on his drinks.

??	Unless, of course, he wanted to pay cash,

??	in which case I would give him a free one.

??	You don’t have his credit card on file, do you?

??	No.

??	But it’s about to become our policy.

??	Yeah?

??	Yeah!

??	Ow!

??	You know, he hasn’t taken his eyes off her all night.

??	He’s just doing his job.

??	Stop trying to stir up trouble.

??	Okay.

??	Then, um, why does she keep looking for him in the crowd?

??	What’s going on? What did I do?

??	You like it.

??	Niko, wait. You’re mine.

??	You make me feel so fucking good.

??	Yes.

??	I love watching you dance. Yes, yes, yes, yes.

??	Oh, fuck.

??	There it is. There it is.

NIKO	Just stay right there. Stay right there.

??	Stay right there.

??	Oh, that’s it.

??	Oh, yeah.

??	Come on, baby. Yes. Yes.

??	Oh, fuck.

??	Oh, fuck.

??	Yeah. Yeah.

??	Yes. Yes, please.

??	You shouldn’t let him do that.

??	Mac, you scared me.

??	You shouldn’t let Niko pull you off the stage like that.

??	Look, whatever I do in my private life is none of your business,

??	so you can save that white knight routine  for somebody else.

??	Yeah. Well, you make itmy business

??	when you put your tongue down some guy’s throat right when you finish dancing.

??	Because now every guy in there is gonna wanna do the same thing to you.

??	And my job just got  times harder.

??	I can take care of myself.

??	No doubt. But that’s what you’re paying me for.

??	These guys are used to buying their ways in and out of all kinds of situations.

??	We need them to know that here the rules are different. All right?

??	I’m sorry, Mac. It won’t happen again.

??	All right.

??	It’s okay.

??	Was that necessary?

??	I’m not gonna apologize for doing my job.

??	What was that for?

??	Well, you protected me.

??	Yeah, I get paid to.

??	Well, thank you, Mac.

