Voice Over	All units, all units, this is Sierra Whiskey 4.5 Stand by unless urgent. Any patrols able to assist with back up at Kenning Farm. Attempting to clear private property, experiencing resistance. Repeat, requesting back up at Kenning Farm. Over.

Police Officer	Get up. Get up. Move. Move it. Move.

Police Officer	Get up, get up.

Police Officer	Get up, move, move. Get up. (Car door opens and then slams)

Sergeant Lawson	You, get them out of here. You, get him cuffed.

Police Officer	We need another unit.

Sergeant Lawson	Sergeant Lawson to Control. We need more units.


Homeless Man	(Heavy breathing) (Footsteps)

Homeless Man	(Heavy breathing and sniffing) (Footsteps)

Sergeant Lawson	(Heavy breathing) 

Sergeant Lawson	Screams. (Heavy breathing and eating noises) (Footsteps running)

Homeless Man	(Heavy breathing and sniffing) 

Homeless Girl	(Gasps) (Loud sirens)

Police Officer	Hands up.

Homeless Man	It wasn’t me, it wasn’t me (sobbing). Something in the shadows. (Music and opening credits)

Brad	Well this looks straightforward enough.

Caitlin	Yeah, burst down the door, kick out squatters, secure the property. The life of a bailiff.

Brad	Anything’s better than the last job.

Caitlin	Facing armed insurgents with suicide vests? Yeah. Now we get to scare pothead teenagers.

Brad	Easy life.

Caitlin	We earned it soldier. Come on.

Drug Dealer	So, as agreed first case. If happy, let’s make this a regular agreement. There’s plenty more where that came from.

Drug Lord	You can guarantee me how many kilos? Unlimited. My boys down the docks have got final sign off on the containers. We good? 

Drug Lord	We very good.

Caitlin	This is private property.

Brad	This is your eviction notice lads. You called the police?

Drug Lord	No, did you?

Brad	We’re not police. We’re bailiffs.

Drug Lord	You told me this place is clean.

Drug Dealer	Usually is. 

Drug Dealer	Look, I’ve got an idea. Why don’t you just turn around and pretend none of this ever happened?

Brad	Sorry lads can’t let you do that. Then you leave us no choice.

Caitlin	(Grunts) (Fighting sounds)

Caitlin	(Grunts) (High pitched noise)

Caitlin	(Moaning)

Caitlin	(Groaning) (High pitched noise) (Fighting noises) 

Brad	Caitlin, Caitlin, Caitlin. Stop. Stop. 

Caitlin	(Sighs) (Bed clothes rustling) 

Caitlin	(Grunting, heavy breathing)

Brad	Hey. Sorry, the er door was open. Latte? (Footsteps)

Caitlin	Thanks. (Breathing heavily)

Brad	I’m worried about you.

Caitlin	Don’t be.

Brad	Come on Caitlin. Don’t give me that tough soldier act, I saw you yesterday. It all still bothers you doesn’t it?

Caitlin	What is it you want me to say?

Brad	Look, you’ve always had my back. I’m just saying I got yours.

Caitlin	This thing is going to follow me wherever I go. Running away isn’t going to help.

Brad	True. Problem is Caitlin, in this job, we’re literally every day we.

Caitlin	Yeah, and that’s the life we know. (Breathing heavily)

Brad	Caitlin.

Caitlin	(Sighs) Look knowing you’ve got my back, is all I need right now.

Brad	Come on. (Footsteps).

Brad	Go and get your gear on.

Caitlin	(sighs) 

Ollie	Oh (laughs), here we are look, a couple of bad asses.

Michael	Yeah, the police said you guys pulverised those assholes.

Brad	Yeah, yeah, leave it out lads.

Ollie	No chance. So let me get this straight you two. You stumble across a drug den and instead of calling the police you take out the fucks yourselves?

Michael	Now that’s mad shit.

Caitlin	Nothing to be proud of.

Ollie	Well like fuck it isn’t. (Footsteps)

Rebecca	Boss wants to see you two. Now.

Jameson	Thank you, Rebecca.

Jameson	So, traditionally, we let the police handle any violent or illegal situations.

Brad	Well, it’s not like we had a choice. It was self-defence.

Caitlin	They attacked us and we took care of the situation.

Jameson	So I guess I’m lucky that you two are ex-army, otherwise I’d be looking for two new bailiffs.

Caitlin	Sorry. Look it won’t happen again.

Jameson	Another job for you two, if you’re up for it.

Brad	Not really.

Caitlin	Absolutely.

Jameson	Don’t worry, this one will be far less exciting. Some local brat has inherited his father’s old farm.

Brad	What are we evicting? Sheep?

Jameson	No livestock, just vagrants.

Caitlin	Vagrants?

Jameson	Yes. The previous owner allowed the homeless onto his land. The new owner is only interested in selling the property. So it needs to be cleared as soon as possible.

Caitlin	Great. So we’re kicking out homeless people from their homes?

Brad	(Laughs) Nice job.

Jameson	No the police have already cleared the property. You're going in to clean up and secure the old farmhouse.

Caitlin	OK, sounds simple.

Jameson	Definitely more simple than the last job.

Brad	Well there’s something.

Jameson	Well Rebecca will explain the rest of the details to you.

Jameson	(Sighs) (Background music and birds singing)

Ollie	Hey boss, be honest with me. How many bad guys did you kill in the army?

Brad	Shut up, Ol.

Michael	Caitlin totally killed way more than Brad did.

Ollie	Oh my god yes, she’s a lean, mean killing machine.

Brad	Oliver, enough. Why on earth did we have to bring these two Caitlin?

Caitlin	OK, we’re nearly there. Straight ahead. 

Voices chanting	Pizza and hugs, not police thugs. Pizza and thugs, not police thugs

Rebecca	Morning everyone.

Caitlin	Morning, Rebecca. So what’s the plan?

Rebecca	OK. Well first things first. Jameson sent us over three extra hands to help us out on this one.

Brad	Is there a problem? I thought this was a straight enough job.

Rebecca	Didn’t she tell you? Our client is coming to watch over things today.

Brad	Watch over things? Nice.

Rebecca	He just wants to sell the land.

Ollie	Yeah, sounds good to me. It’s fresh meat.

Michael	(Laughs) But, no work for us. A good manager always delegates.

Brad	(Laughs) Great. Maybe you two could go and pester somebody else today?

Rebecca	Guys.

Caitlin	(Sighs) Hey guys, welcome to the team. Caitlin. (Footsteps)

Tony	Tony.

Caitlin	Tony.

Lawrence	Lawrence.

Caitlin	Lawrence.

Jen	Jen.

Caitlin	Jen. If you guys have any questions, just let me know.

Jen	Thanks.

Caitlin	So the homeless were living here?

Rebecca	Yeah, pretty much the entire land.

Caitlin	I’m amazed the council allowed it, it’s not very sanitary.

Rebecca	Well, to be honest with you, I don’t think that they were fully aware of just how many people were living here. This land is pretty far off the beaten path.

Rebecca	Now it’s down to the new owner.

Voices chanting	Leave us alone. Leave us alone. Leave us alone.

Kenning	Fucking protesters. Go fucking protest on someone else’s land. Fucking do-gooders. Mind their own fucking business.

Rebecca	Hi, Mr Kenning, I’m Rebecca. Erm, everyone, this is Mr Richard Kenning. He recently inherited this land off his father.

Brad	Sorry for your loss.

Kenning	Don’t be. Dad was a prick. The sooner I can offload this shithole and make some money, the better.

Brad	You won’t be following your father’s footsteps?

Kenning	I’ll help the homeless when I’m no longer in need of help myself thank you very much.

Rebecca	Er, Mr Kenning, we’re here to help you clear the property.

Kenning	Council won’t let me sell it until I do.

Rebecca	Erm, this is Caitlin and Brad. They’re our top team. And I’m here if you have any questions.

Kenning	Why are the pigs here?

Rebecca	Well it’s just standard procedure. You know, it speeds things up paperwork wise.

Kenning	Fine. So you’re in charge then? What now? I’m paying a fortune for you lot.

Caitlin	So our signage team will make a start at the entrance and then we’ll just work our way through the house. Michael if you want to take erm Tony and Jen, start at the front of the property with the signs, make sure all the entrances are secure (sighs). Don’t engage with the protesters.

Michael	All right, come on, signage team. One of you get the toolbox, other get the posts and follow me.

Caitlin	Ollie, do you want to take Lawrence and start unloading the van?

Brad	Quick as you can, Ol.

Ollie	Yes, sir.

Caitlin	Let’s make a start in the house. (Footsteps)

Caitlin	What a dick. (Footsteps and wood being moved)

Brad	Great. What a shithole. (Footsteps)

Caitlin	We’ll try and make this as quick as possible.

PC Williams	Thanks, we’ll be glad to get out of here, especially with him around.

Caitlin	What, Mr Kenning?

PC Williams	(Laughs)

Caitlin	Why, do you know him?

PC Gray	Yeah, he’s very well-known to us. Bit of a spiky character.

Brad	Fab. There’s always something, isn’t there?

PC Williams	I can’t believe this is where Lawson died.

PC Gray	Ugh, I’ll be glad to get out of here as soon as possible.

PC Williams	Why what’s up?

PC Gray	It’s DI Evans, he wants me to wrap up these missing people’s reports.

PC Williams	Hmm, sounds fun.

PC Gray	Yeah.

PC Williams	(Laughs) 

Caitlin	(Sighs) Cosy.

Brad	Yeah, the glamorous life of the bailiff.

PC Gray	They delivered your boards earlier. (Footsteps)

Caitlin	Great. (Box being put down)

Caitlin	So how many rooms do we have?

PC Gray	Erm, six I think.

Caitlin	OK, guys, look like we need safety gear for this one.

Lawrence	Safety gear?

Ollie	Yeah, this place likely has broken glass everywhere.

Brad	Well, I don’t always agree with you but this time you’re right, Oliver. Everybody tread carefully.

Ollie	Told you.

Rebecca	It’s probably safer if we stay outside.

Kenning	This is my house.

Rebecca	Of course.

