1 - CHARACTER,4,76,2
2 - POLICÍA POR TELÉFONO,5,313,8
3 - VERÓNICA,244,9545,239
4 - insert,2,35,1
5 - POLICÍA-VERÓNICA,1,41,2
6 - POLICÍA,9,383,10
7 - POLICÍA EN LA CALLE,1,58,2
8 - NIÑO,1,13,1
9 - CARTEL,2,247,7
10 - POLICÍA POR RADIO,3,106,3
11 - NENE,48,1052,27
12 - IRENE,66,2568,65
13 - LUCÍA,94,2842,72
14 - MADRE,48,2049,52
15 - CANCIÓN,3,353,9
16 - PROFESOR,1,32,1
17 - PROFESORA,2,67,2
18 - PROFESORA DE CIENCIAS,7,2030,51
19 - ALUMNAS,1,3,1
20 - ROSA,48,1994,50
21 - DIANA,26,918,23
22 - MONJA,6,370,10
23 - Insert,8,1309,33
24 - NIÑA,2,44,2
25 - VERÓNICA_OFF,1,54,2
26 - ROSA-DIANA,1,87,3
27 - MÉDICO,13,701,18
28 - MADRE DE ROSA,5,216,6
29 - VOZ OFF,1,186,5
30 - TELEVISIÓN,1,214,6
31 - VOZ,2,52,2
32 - SEÑORA,1,19,1
33 - PROFESORA LITERATURA,3,1031,26
34 - SOR NARCISA,27,1936,49
35 - JOSEFA,5,418,11
36 - PELÍCULA EN LA TELE,2,85,3
37 - LUCÍA E IRENE,3,65,2
38 - CHICO,3,35,1
39 - ROS,1,25,1
40 - CHICA EN EL BAÑO,1,23,1
41 - AMIGA,2,32,1
42 - CLIENTE DEL BAR,2,80,2
43 - CLIENTE,1,6,1
44 - CAMARERA,1,17,1
45 - CLIENTES,1,5,1
46 - LOCUTOR,1,110,3
47 - POLICÍA DOS,1,69,2
48 - INSPECTOR,1,9,1
