1 - CHARACTER,2
2 - POLICÍA POR TELÉFONO,7
3 - VERÓNICA,191
4 - insert,1
5 - POLICÍA-VERÓNICA,1
6 - POLICÍA,8
7 - POLICÍA EN LA CALLE,2
8 - NIÑO,1
9 - CARTEL,5
10 - POLICÍA POR RADIO,3
11 - NENE,22
12 - IRENE,52
13 - LUCÍA,57
14 - MADRE,41
15 - CANCIÓN,8
16 - PROFESOR,1
17 - PROFESORA,2
18 - PROFESORA DE CIENCIAS,41
19 - ALUMNAS,1
20 - ROSA,40
21 - DIANA,19
22 - MONJA,8
23 - Insert,27
24 - NIÑA,1
25 - VERÓNICA_OFF,2
26 - ROSA-DIANA,2
27 - MÉDICO,15
28 - MADRE DE ROSA,5
29 - VOZ OFF,4
30 - TELEVISIÓN,5
31 - VOZ,2
32 - SEÑORA,1
33 - PROFESORA LITERATURA,21
34 - SOR NARCISA,39
35 - JOSEFA,9
36 - PELÍCULA EN LA TELE,2
37 - LUCÍA E IRENE,2
38 - CHICO,1
39 - ROS,1
40 - CHICA EN EL BAÑO,1
41 - AMIGA,1
42 - CLIENTE DEL BAR,2
43 - CLIENTE,1
44 - CAMARERA,1
45 - CLIENTES,1
46 - LOCUTOR,3
47 - POLICÍA DOS,2
48 - INSPECTOR,1
