1 - MARTIN,223,10123,254
2 - OLGA,9,1018,26
3 - RUSSIAN #2,6,242,7
4 - LISA,94,4056,102
5 - MAXIM,17,421,11
6 - REFEREE,1,89,3
7 - SUZANNE,4,141,4
8 - US ANNOUNCER,2,397,10
9 - MARK RAMLEY,1,128,4
10 - BOUNCER,2,180,5
11 - SASHA,59,3394,85
12 - TREVOR,55,4007,101
13 - TRAVOR,1,75,2
14 - EDWARDS,8,366,10
15 - US PRESIDENT,3,349,9
16 - TATYANA,42,1927,49
17 - FSB GENERAL,3,173,5
18 - Olga (V.O.),1,38,1
19 - ADR,1,61,2
20 - BARMAN,2,18,1
21 - BURNS,4,134,4
22 - CIA IT TECH,11,458,12
23 - SVITANOK DESK #1,1,57,2
24 - ZELENKO,4,110,3
25 - RUSSIAN AMBA,2,263,7
26 - BANK EMPLOYEE,3,167,5
27 - BANK MANAGER,6,337,9
28 - SECURITY OFFICER,4,152,4
29 - SVITANOK CLERK #2,4,90,3
30 - FSB OPERATIVE #3,1,20,1
31 - FSB OPERATIVE #4,2,33,1
32 - UK ANNOUNCER,1,240,6
33 - FSB AGENT,1,20,1
