1 - NICOLÁS,48,3710,93
2 - ADELA,23,1608,41
3 - ISABEL,6,340,9
4 - REMEDIOS,28,2790,70
5 - VICTORIA,47,2597,65
6 - EUGENIA,12,1222,31
7 - EGUENIA,2,227,6
8 - HOMBRE,2,29,1
9 - TRINIDAD,16,1422,36
10 - MIGUEL,27,1502,38
11 - ANA,9,401,11
12 - GRANADOS,6,341,9
13 - PADRE OCTAVIO,8,1038,26
14 - ROSA,16,1430,36
15 - MORALES,27,2181,55
16 - MILAGROS,15,1198,30
17 - MÁRQUEZ,1,17,1
18 - ALONSO,2,67,2
19 - CANDELA,6,336,9
20 - ESCLAVA 2,3,32,1
21 - TOMÁS,17,1026,26
22 - ESCLAVAS,1,12,1
23 - HILARIA,4,322,9
24 - SIERVO,1,23,1
25 - CANCIÓN,1,77,2
