1 - GARANZHIN,192,11091,278
2 - SHURA,13,350,9
3 - TERESHCHENKO,45,3182,80
4 - MOISEEV,81,5593,140
5 - HEAD OF SPORTS COMMITTEE,17,1508,38
6 - OFFICIAL 1,2,28,1
7 - KSENIA,6,203,6
8 - OFFICIAL 2,1,35,1
9 - PAULAUSKAS,57,2436,61
10 - GOMELKIY,4,416,11
11 - ALEXANDER BELOV,33,1260,32
12 - KORKIYA,56,2235,56
13 - EDESHKO,30,749,19
14 - SAKANDELIDZE,22,647,17
15 - ZHARMUKHAMEDOV,9,353,9
16 - SERGEY BELOV,41,2091,53
17 - PLAYER,9,138,4
18 - DOCTOR,8,267,7
19 - PLAYERS,5,63,2
20 - TRANSLATOR,2,132,4
21 - TEAM,1,6,1
22 - PASSAGE,1,15,1
23 - AIRPORT WORKER 1,3,79,2
24 - CHAYKIN,8,251,7
25 - CUSTOMER-FAN,4,185,5
26 - CUSTOMER 1,3,34,1
27 - CUSTOMER 2,3,45,2
28 - KSENIYA,10,636,16
29 - TRAINER,11,303,8
30 - POLYAKOVA,1,5,1
31 - SURKOVA,2,24,1
32 - CANARIS,1,5,1
33 - SMIRNOVA,1,5,1
34 - NIKOLAYEVA,1,5,1
35 - SVESHNIKOVA,26,996,25
36 - VLASOVA,1,5,1
37 - SPORTSWOMAN,2,36,1
38 - SASHA BELOV,22,531,14
39 - EDESHKO/ZHARMUKHAMEDOV/BELOV,1,7,1
40 - VOLNOV,1,25,1
41 - TAXI DRIVER,1,7,1
42 - UNCLE ILIKO,6,178,5
43 - VOLNOV’S WIFE,2,101,3
44 - EDESHKO’S GIRLFRIEND,1,39,1
45 - WOMAN,2,66,2
46 - REPORTER,3,126,4
47 - VSEVOLOD,8,758,19
48 - LITHUANIAN REPORTER,1,167,5
49 - VLEVOLOD,1,7,1
50 - CUBAN,1,11,1
51 - LITHUANIAN DRIVER,2,136,4
52 - DRIVER,4,166,5
53 - LITHUANIAN TOURIST,6,216,6
54 - BRUNDAGE’S VOICE,1,142,4
55 - MEDIC,9,258,7
56 - INTERPRETER,1,18,1
57 - ADMINISTRATOR,1,38,1
58 - ANNOUNCER,9,926,24
59 - SERGEY PAVLOVICH,4,135,4
60 - REFEREE,1,5,1
61 - AKSAKAL,1,35,1
62 - SPECTATORS,1,11,1
63 - GRANDFATHER,2,52,2
64 - BASKETBALL PLAYER,3,69,2
65 - GALYA,1,9,1
66 - YERYOMINA,31,2616,66
67 - MALE VOICE,1,9,1
68 - AUNT KORKIYA,1,28,1
69 - FANS,2,90,3
70 - NOT IDENTIFIED,1,5,1
71 - ANATOLIY,1,41,2
72 - YEREMINA,1,158,4
