1 - GARANZHIN,222
2 - SHURA,7
3 - TERESHCHENKO,64
4 - MOISEEV,112
5 - HEAD OF SPORTS COMMITTEE,31
6 - OFFICIAL 1,1
7 - KSENIA,5
8 - PAULAUSKAS,49
9 - GOMELKIY,9
10 - ALEXANDER BELOV,26
11 - KORKIYA,45
12 - EDESHKO,15
13 - SAKANDELIDZE,13
14 - ZHARMUKHAMEDOV,8
15 - SERGEY BELOV,42
16 - PLAYER,3
17 - DOCTOR,6
18 - PLAYERS,2
19 - TRANSLATOR,3
20 - TEAM,1
21 - PASSAGE,1
22 - AIRPORT WORKER 1,2
23 - CHAYKIN,6
24 - CUSTOMER-FAN,4
25 - CUSTOMER 1,1
26 - CUSTOMER 2,1
27 - KSENIYA,13
28 - TRAINER,7
29 - POLYAKOVA,1
30 - SURKOVA,1
31 - CANARIS,1
32 - SMIRNOVA,1
33 - NIKOLAYEVA,1
34 - SVESHNIKOVA,20
35 - VLASOVA,1
36 - SPORTSWOMAN,1
37 - SASHA BELOV,11
38 - EDESHKO/ZHARMUKHAMEDOV/BELOV,1
39 - VOLNOV,1
40 - TAXI DRIVER,1
41 - UNCLE ILIKO,4
42 - VOLNOV’S WIFE,3
43 - EDESHKO’S GIRLFRIEND,1
44 - WOMAN,2
45 - REPORTER,3
46 - VSEVOLOD,16
47 - LITHUANIAN REPORTER,4
48 - VLEVOLOD,1
49 - CUBAN,1
50 - LITHUANIAN DRIVER,3
51 - DRIVER,4
52 - LITHUANIAN TOURIST,5
53 - BRUNDAGE’S VOICE,3
54 - MEDIC,6
55 - INTERPRETER,1
56 - ADMINISTRATOR,1
57 - ANNOUNCER,19
58 - SERGEY PAVLOVICH,3
59 - REFEREE,1
60 - AKSAKAL,1
61 - SPECTATORS,1
62 - GRANDFATHER,2
63 - BASKETBALL PLAYER,2
64 - GALYA,1
65 - YERYOMINA,53
66 - MALE VOICE,1
67 - AUNT KORKIYA,1
68 - FANS,2
69 - NOT IDENTIFIED,1
70 - ANATOLIY,1
71 - YEREMINA,4
