1 - AUTEUR,9,219,6
2 - VERONICA,63,3986,100
3 - GREGORY,4,113,3
4 - LUIZA,44,1541,39
5 - MINISTRO,1,51,2
6 - ICARO,23,640,16
7 - CLARA,20,1002,26
8 - FEMME 1 EPISODE 5,1,48,2
9 - HOMME 3 EPISODE 5,2,23,1
10 - MAQUEREAU,4,150,4
11 - INSERTS,8,575,15
12 - NELSON,2,189,5
13 - MIGUEL,13,1653,42
14 - NATALIE,51,3754,94
15 - AMIR,12,496,13
16 - OLGA,7,854,22
17 - JUGE,1,68,2
18 - MINEUR 1,3,194,5
19 - JUSSARA,20,808,21
20 - PONTOCOM,18,1142,29
21 - MARIANA,3,372,10
22 - JUIZA,2,236,6
23 - GILBERTO,2,80,2
24 - RESP MINE D'OR,11,413,11
25 - VAL,8,251,7
26 - FALCAO,18,941,24
27 - ANDRE,23,701,18
28 - ROSA,9,552,14
29 - VAGUINHO,2,154,4
30 - JOAO,8,146,4
31 - HOMME 1,3,71,2
32 - HOMME 2,4,179,5
33 - HOMME QUIDAM,2,36,1
34 - ALAN,4,100,3
35 - SHEIK,9,546,14
36 - ASSAILLANT,14,600,15
37 - GORDO,11,271,7
38 - JOYCE,6,321,9
39 - PAYALL,1,22,1
40 - LIGIA,10,1130,29
41 - DECIO,4,358,9
42 - RECEPTADOR,2,79,2
